"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"AP2A2","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.096","0.065","0.908","1.40e-01",NA,NA,NA,0.0332264
"SVIL","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.071","0.048","0.931","1.40e-01",NA,NA,NA,0.037897451
"CAPZB","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.066","0.045","0.936","1.42e-01",NA,NA,NA,0.037572025
"PTPN13","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.048","0.033","0.954","1.43e-01",NA,NA,NA,0.052678578
"RPS6KA2","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.062","0.043","1.064","1.44e-01",NA,NA,NA,0.035312789
"EXD3","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.104","0.071","1.109","1.45e-01",NA,NA,NA,0.087154903
"DLGAP2","Brain Prefrontal cortex","OCD","MR Egger",6," 0.178","0.099","1.195","1.48e-01",0.440728189,0.258813429,0.171419431,0.016014894
"CUBN","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.077","0.053","1.080","1.49e-01",NA,NA,NA,0.035053731
"CACNA1C","Brain Prefrontal cortex","OCD","Weighted median",3," 0.044","0.031","1.045","1.50e-01",0.863123117,0.754537407,0.598368661,0.094713007
"MTFR1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.082","0.057","1.085","1.50e-01",NA,NA,NA,0.040087553
"RIMS2","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.102","0.071","1.107","1.51e-01",NA,NA,NA,0.04514084
"F13A1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.065","0.045","1.067","1.52e-01",NA,NA,NA,0.060317333
"ADAMTS3","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.108","0.076","1.114","1.54e-01",NA,NA,NA,0.035560136
"SCFD1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.046","0.032","0.955","1.56e-01",NA,NA,NA,0.034646377
"TACC3","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.090","0.064","1.094","1.59e-01",NA,NA,NA,0.043650061
"ZNF385B","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.062","0.044","0.940","1.62e-01",NA,NA,NA,0.065876043
"NPM1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.083","0.060","1.087","1.62e-01",NA,NA,NA,0.033356879
"FAM120B","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.059","0.042","1.060","1.63e-01",NA,NA,NA,0.033462523
"GNA12","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.087","0.063","0.916","1.65e-01",NA,NA,NA,0.030599152
"TP63","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.057","0.041","0.945","1.66e-01",NA,NA,NA,0.0548816
"NUDT6","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.069","0.050","0.934","1.68e-01",NA,NA,NA,0.035457974
"MFSD12","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.093","0.067","1.097","1.69e-01",NA,NA,NA,0.03153052
"JKAMP","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.076","0.055","0.927","1.71e-01",NA,NA,NA,0.032385784
"CCDC149","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.064","0.047","0.938","1.72e-01",NA,NA,NA,0.032392748
"TEC","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.054","0.040","1.056","1.73e-01",NA,NA,NA,0.032497796
"HLA-DPB1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.089","0.066","0.915","1.80e-01",NA,NA,NA,0.034312551
"TMEM120B","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.068","0.051","0.935","1.83e-01",NA,NA,NA,0.043220791
"POLR3K","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.071","0.053","0.932","1.85e-01",NA,NA,NA,0.039079166
"TMEM178B","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.081","0.061","0.922","1.86e-01",NA,NA,NA,0.029257279
"C4orf47","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.165","0.125","0.848","1.87e-01",NA,NA,NA,0.03329268
"CAPN11","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.063","0.048","0.939","1.89e-01",NA,NA,NA,0.034318703
"RNF141","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.118","0.090","0.889","1.91e-01",NA,NA,NA,0.028780835
"KCNIP1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.079","0.060","1.082","1.91e-01",NA,NA,NA,0.033680481
"VPS41","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.076","0.059","1.079","1.93e-01",NA,NA,NA,0.026714201
"CR1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.049","0.038","1.050","2.00e-01",NA,NA,NA,0.035013401
"RASA3","Brain Prefrontal cortex","OCD","Inverse variance weighted",2," 0.036","0.028","1.036","2.03e-01",NA,0.969293695,NA,0.022810712
"LHPP","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.041","0.033","1.042","2.04e-01",NA,NA,NA,0.03041342
"THAP4","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.053","0.042","0.948","2.04e-01",NA,NA,NA,0.040271063
"KIF16B","Brain Prefrontal cortex","OCD","Inverse variance weighted",2,"-0.050","0.039","0.952","2.05e-01",NA,0.213628109,NA,0.098763588
"ALDH16A1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.045","0.036","1.046","2.09e-01",NA,NA,NA,0.027683483
"COLEC11","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.061","0.049","1.063","2.12e-01",NA,NA,NA,0.037904656
"PRKN","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.096","0.077","0.909","2.14e-01",NA,NA,NA,0.032697065
"SLX9","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.057","0.046","0.944","2.16e-01",NA,NA,NA,0.038526182
"HOMER1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.081","0.066","0.922","2.16e-01",NA,NA,NA,0.007382079
"RAB2A","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.071","0.057","1.073","2.17e-01",NA,NA,NA,0.027323122
"MMP11","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.072","0.058","0.931","2.19e-01",NA,NA,NA,0.02522436
"ADCY1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.081","0.066","1.084","2.20e-01",NA,NA,NA,0.027505529
"SMYD3","Brain Prefrontal cortex","OCD","Weighted median",4," 0.033","0.027","1.033","2.21e-01",0.630965001,0.782452967,0.730434605,0.00578152
"ERBB4","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.044","0.036","0.957","2.24e-01",NA,NA,NA,0.025890585
"CACNA1C","Brain Prefrontal cortex","OCD","Weighted mode",3," 0.057","0.033","1.059","2.30e-01",0.863123117,0.754537407,0.598368661,0.094713007
"MDGA1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.099","0.083","0.906","2.30e-01",NA,NA,NA,0.041004413
"CLUL1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.070","0.058","0.933","2.30e-01",NA,NA,NA,0.017151802
