"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"AFAP1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.015","0.999","9.32e-01",NA,NA,NA,0.007548378
"NEDD4L","Brain Prefrontal cortex","ED","Wald ratio",1," 0.003","0.032","1.003","9.34e-01",NA,NA,NA,0.007521827
"ZFP37","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.023","0.998","9.36e-01",NA,NA,NA,0.009204479
"MMP11","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.003","0.034","0.997","9.36e-01",NA,NA,NA,0.007142507
"UNC45B","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.027","0.998","9.36e-01",NA,NA,NA,0.006855326
"CLUL1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.003","0.039","0.997","9.37e-01",NA,NA,NA,0.005792787
"FRMD4A","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.029","0.998","9.37e-01",NA,NA,NA,0.005364843
"MTUS1","Brain Prefrontal cortex","ED","Wald ratio",1," 0.002","0.030","1.002","9.38e-01",NA,NA,NA,0.008887013
"PSMF1","Brain Prefrontal cortex","ED","Wald ratio",1," 0.002","0.026","1.002","9.39e-01",NA,NA,NA,0.009047862
"COL5A2","Brain Prefrontal cortex","ED","Wald ratio",1," 0.003","0.035","1.003","9.42e-01",NA,NA,NA,0.0087476
"WDR62","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.028","0.998","9.42e-01",NA,NA,NA,0.006805175
"LRWD1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.034","0.998","9.45e-01",NA,NA,NA,0.00992416
"KLK7","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.036","0.998","9.50e-01",NA,NA,NA,0.008649963
"SCFD1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.019","0.999","9.54e-01",NA,NA,NA,0.007729039
"MS4A15","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.002","0.029","0.998","9.56e-01",NA,NA,NA,0.006964327
"LDLRAD4","Brain Prefrontal cortex","ED","Wald ratio",1," 0.001","0.015","1.001","9.62e-01",NA,NA,NA,0.008261697
"PRPH2","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.019","0.999","9.63e-01",NA,NA,NA,0.007431463
"ADAMTS16","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.014","0.999","9.66e-01",NA,NA,NA,0.00698968
"CACNG8","Brain Prefrontal cortex","ED","Wald ratio",1," 0.002","0.049","1.002","9.67e-01",NA,NA,NA,0.009425192
