Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
NDUF5,ROSMAP,ANX,Wald ratio,1,-1.383,0.847,0.251,0.102,NA,NA,NA,0.002907888
MTHR,ROSMAP,ANX,Inverse variance weighted,3,0.459,0.281,1.583,0.103,0.862816358,0.885983222,0.725153096,0.000126969
HSDL2,ROSMAP,ANX,Wald ratio,1,-2.049,1.256,0.129,0.103,NA,NA,NA,0.021186436
FHIT,ROSMAP,ANX,MR Egger,24,-1.911,1.125,0.148,0.103,0.643363963,0.378761334,0.029400676,1.40E-07
THIOM,ROSMAP,ANX,Inverse variance weighted,4,-1.604,0.985,0.201,0.103,0.104969871,0.191340872,0.775982759,4.84E-05
GRM3,ROSMAP,ANX,Inverse variance weighted,5,-4.166,2.558,0.016,0.103,0.619177254,0.439361314,0.254085963,6.88E-07
PPIF,ROSMAP,ANX,Inverse variance weighted,6,-2.348,1.442,0.096,0.103,0.503233015,0.639714336,0.823965347,1.04E-07
PGES2,ROSMAP,ANX,Wald ratio,1,4.994,3.068,147.576,0.104,NA,NA,NA,7.49E-08
ALG11,ROSMAP,ANX,Wald ratio,1,-5.941,3.657,0.003,0.104,NA,NA,NA,0.0066083
INF2,ROSMAP,ANX,Inverse variance weighted,4,2.136,1.316,8.467,0.105,0.161843915,0.265711178,0.716340149,4.05E-06
SSH1,ROSMAP,ANX,Inverse variance weighted,2,2.023,1.247,7.562,0.105,NA,0.737105134,NA,2.86E-06
NDUA9,ROSMAP,ANX,Inverse variance weighted,2,3.562,2.195,35.226,0.105,NA,0.78879373,NA,1.09E-06
MKLN1,ROSMAP,ANX,MR Egger,5,5.366,2.33,214.06,0.105,0.143108084,0.02227903,0.1664023,4.22E-07
LRC58,ROSMAP,ANX,Wald ratio,1,3.066,1.89,21.461,0.105,NA,NA,NA,6.08E-06
PI5L1,ROSMAP,ANX,Inverse variance weighted,3,-0.766,0.472,0.465,0.105,0.74647991,0.92199665,0.849653463,1.09E-06
KCAB2,ROSMAP,ANX,Weighted mode,5,-4.84,2.317,0.008,0.105,0.110238405,0.173887389,0.712164932,6.43E-08
DMAP1,ROSMAP,ANX,Wald ratio,1,-2.159,1.333,0.115,0.105,NA,NA,NA,7.81E-07
NUP58,ROSMAP,ANX,Inverse variance weighted,3,2.333,1.442,10.309,0.106,0.321771777,0.589253513,0.828678601,2.26E-07
LSS,ROSMAP,ANX,Inverse variance weighted,4,-0.335,0.207,0.715,0.106,0.557940265,0.711386493,0.693026488,0.023507669
RRAGD,ROSMAP,ANX,Inverse variance weighted,2,-1.589,0.983,0.204,0.106,NA,0.996009029,NA,1.73E-07
BRSK2,ROSMAP,ANX,Wald ratio,1,-7.075,4.384,0.001,0.107,NA,NA,NA,1.93E-07
PDS5B,ROSMAP,ANX,Wald ratio,1,10.432,6.468,33915.07,0.107,NA,NA,NA,1.98E-07
ACSL1,ROSMAP,ANX,Weighted median,6,1.254,0.778,3.505,0.107,0.207853096,0.302479583,0.763271322,8.54E-08
KCNA3,ROSMAP,ANX,Inverse variance weighted,2,1.722,1.069,5.595,0.107,NA,0.648619774,NA,3.36E-07
TDRD7,ROSMAP,ANX,Inverse variance weighted,2,-0.812,0.504,0.444,0.107,NA,0.949177975,NA,2.65E-07
ITA3,ROSMAP,ANX,Inverse variance weighted,4,1.749,1.087,5.749,0.108,0.901276529,0.97411796,0.919070352,1.99E-07
LSG1,ROSMAP,ANX,MR Egger,4,13.366,4.796,637946.6,0.108,0.356802825,0.011766464,0.09861465,1.01E-05
DISC1,ROSMAP,ANX,Inverse variance weighted,8,0.418,0.26,1.518,0.108,0.970338899,0.959437813,0.439976266,1.81E-06
TPC13,ROSMAP,ANX,Wald ratio,1,7692.308,4791.667,Inf,0.108,NA,NA,NA,4.08E-07
SGTB,ROSMAP,ANX,Wald ratio,1,-1.101,0.686,0.333,0.108,NA,NA,NA,0.000266171
RN141,ROSMAP,ANX,Inverse variance weighted,2,-0.773,0.482,0.462,0.109,NA,0.233231883,NA,1.81E-07
CABP1,ROSMAP,ANX,Inverse variance weighted,2,-24.585,15.338,0,0.109,NA,0.422598414,NA,2.44E-07
NTRK3,ROSMAP,ANX,Weighted mode,7,2.372,1.262,10.722,0.109,0.19980639,0.280693971,0.750792328,1.27E-06
RM55,ROSMAP,ANX,Wald ratio,1,29.316,18.338,5.39E+12,0.11,NA,NA,NA,3.15E-07
CAF17,ROSMAP,ANX,Wald ratio,1,1.743,1.09,5.713,0.11,NA,NA,NA,0.02209976
CXG2,ROSMAP,ANX,Wald ratio,1,-3.412,2.134,0.033,0.11,NA,NA,NA,2.70E-07
ARF1,ROSMAP,ANX,Wald ratio,1,-67.782,42.399,0,0.11,NA,NA,NA,2.77E-07
HDC,ROSMAP,ANX,Simple mode,4,5.137,2.287,170.193,0.11,0.031311241,0.053678766,0.691509419,5.17E-07
SPD2A,ROSMAP,ANX,Inverse variance weighted,2,3.958,2.48,52.331,0.111,NA,0.476626187,NA,1.37E-07
ECHM,ROSMAP,ANX,Simple mode,4,-3.219,1.438,0.04,0.111,0.398623917,0.457401835,0.474993566,7.88E-07
CTND2,ROSMAP,ANX,Simple mode,11,-3.298,1.887,0.037,0.111,0.063759545,0.0494555,0.298009099,2.64E-05
ERLN2,ROSMAP,ANX,Inverse variance weighted,3,-8.346,5.241,0,0.111,0.610371303,0.843294793,0.823231061,1.30E-06
CERS1,ROSMAP,ANX,Inverse variance weighted,3,-1.844,1.159,0.158,0.111,0.943392527,0.865736755,0.688612835,4.18E-07
CAH3,ROSMAP,ANX,Wald ratio,1,-1.485,0.933,0.226,0.112,NA,NA,NA,5.30E-05
CAH2,ROSMAP,ANX,Wald ratio,1,-1.485,0.933,0.227,0.112,NA,NA,NA,1.43E-06
FHOD3,ROSMAP,ANX,Weighted mode,7,-1.118,0.6,0.327,0.112,0.051836332,0.004493628,0.117497361,6.96E-07
TBCD7,ROSMAP,ANX,Inverse variance weighted,3,2.606,1.639,13.542,0.112,0.58712836,0.704145738,0.638594118,1.64E-07
AMBP,ROSMAP,ANX,Inverse variance weighted,3,0.724,0.456,2.063,0.112,0.62907341,0.286334101,0.373172604,1.76E-06
CATL1,ROSMAP,ANX,Inverse variance weighted,3,-1.683,1.06,0.186,0.112,0.284586229,0.558211802,0.914355332,0.000159658
TPD53,ROSMAP,ANX,Inverse variance weighted,5,-0.798,0.504,0.45,0.113,0.171710219,0.284567418,0.909343603,1.36E-06
ATN1,ROSMAP,ANX,Wald ratio,1,5.579,3.521,264.716,0.113,NA,NA,NA,1.03E-06
ENOG,ROSMAP,ANX,Wald ratio,1,-2.725,1.72,0.066,0.113,NA,NA,NA,1.13E-06
C10,ROSMAP,ANX,Wald ratio,1,-20.361,12.851,0,0.113,NA,NA,NA,3.12E-07
GCYA2,ROSMAP,ANX,Simple mode,6,-5.334,2.783,0.005,0.113,0.274657824,0.393304224,0.835346063,4.16E-08
BMP2K,ROSMAP,ANX,Wald ratio,1,-12.561,7.939,0,0.114,NA,NA,NA,6.20E-06
COXM2,ROSMAP,ANX,Inverse variance weighted,3,-0.418,0.265,0.658,0.114,0.434357769,0.550688251,0.585107462,1.24E-05
ASIC2,ROSMAP,ANX,Weighted mode,18,0.99,0.595,2.691,0.114,0.002045634,0.002468222,0.5397228,0.000175614
UFL1,ROSMAP,ANX,Inverse variance weighted,2,-2.352,1.49,0.095,0.114,NA,0.803578232,NA,9.94E-06
RAB3A,ROSMAP,ANX,Wald ratio,1,3.587,2.275,36.135,0.115,NA,NA,NA,2.07E-06
VAMP4,ROSMAP,ANX,Inverse variance weighted,2,-3.187,2.021,0.041,0.115,NA,0.510622663,NA,5.98E-07
BIN1,ROSMAP,ANX,MR Egger,5,3.918,1.778,50.291,0.115,0.534470429,0.513336917,0.374131809,1.13E-06
P3C2A,ROSMAP,ANX,Wald ratio,1,-61.03,38.721,0,0.115,NA,NA,NA,7.65E-08
RS13,ROSMAP,ANX,Wald ratio,1,-7.129,4.523,0.001,0.115,NA,NA,NA,8.66E-08
HNRPU,ROSMAP,ANX,Inverse variance weighted,4,-3.879,2.472,0.021,0.117,0.845197881,0.949635491,0.907361354,1.16E-07
VWA8,ROSMAP,ANX,Inverse variance weighted,3,0.34,0.216,1.404,0.117,0.63597305,0.700214093,0.611599786,0.051767466
ATPD,ROSMAP,ANX,Wald ratio,1,18.257,11.637,84887260,0.117,NA,NA,NA,5.16E-07
VATB2,ROSMAP,ANX,Inverse variance weighted,6,-3.527,2.25,0.029,0.117,0.589534183,0.648905113,0.511144228,1.40E-07
FCERG,ROSMAP,ANX,Inverse variance weighted,3,-1.021,0.651,0.36,0.117,0.335885485,0.609748273,0.843032545,6.48E-06
EHD4,ROSMAP,ANX,Inverse variance weighted,4,-1.055,0.673,0.348,0.117,0.853099723,0.86390634,0.582741271,4.43E-07
SELW,ROSMAP,ANX,Inverse variance weighted,2,-4.574,2.919,0.01,0.117,NA,0.132942809,NA,3.28E-07
SVIP,ROSMAP,ANX,Inverse variance weighted,2,1.833,1.17,6.252,0.117,NA,0.537533562,NA,5.14E-06
FCL,ROSMAP,ANX,Inverse variance weighted,3,1.549,0.989,4.706,0.117,0.76803283,0.819778559,0.676382416,2.02E-07
RT09,ROSMAP,ANX,Inverse variance weighted,3,1.815,1.161,6.143,0.118,0.548275853,0.829873648,0.928981426,1.94E-07
PTAR1,ROSMAP,ANX,Inverse variance weighted,2,-3.731,2.389,0.024,0.118,NA,0.513109112,NA,3.24E-07
RBM26,ROSMAP,ANX,Wald ratio,1,14.02,8.98,1226635,0.118,NA,NA,NA,1.84E-06
CISD3,ROSMAP,ANX,Inverse variance weighted,3,0.222,0.142,1.249,0.118,0.344512446,0.626734396,0.87296861,9.93E-07
RUN3A,ROSMAP,ANX,Wald ratio,1,85.679,54.891,1.62E+37,0.119,NA,NA,NA,1.39E-06
B3AT,ROSMAP,ANX,Wald ratio,1,8.885,5.692,7221.199,0.119,NA,NA,NA,9.82E-07
F1712,ROSMAP,ANX,Wald ratio,1,3.156,2.022,23.484,0.119,NA,NA,NA,6.05E-06
NUDT4,ROSMAP,ANX,Inverse variance weighted,2,2.992,1.919,19.932,0.119,NA,0.782775328,NA,1.03E-07
DPYS,ROSMAP,ANX,Inverse variance weighted,2,0.149,0.095,1.16,0.119,NA,0.499374437,NA,4.35E-07
HEM2,ROSMAP,ANX,Inverse variance weighted,5,1.449,0.929,4.26,0.119,0.343142804,0.323122477,0.353051145,1.24E-06
NOA1,ROSMAP,ANX,Inverse variance weighted,2,0.774,0.496,2.168,0.119,NA,0.791112397,NA,5.76E-06
ANXA6,ROSMAP,ANX,Weighted median,8,1.521,0.977,4.579,0.12,0.534291428,0.474637366,0.266772827,9.72E-08
GSTK1,ROSMAP,ANX,Inverse variance weighted,3,-16.366,10.514,0,0.12,0.704366034,0.297581918,0.37238029,7.32E-07
IDE,ROSMAP,ANX,Wald ratio,1,-6.931,4.454,0.001,0.12,NA,NA,NA,9.10E-07
MSH6,ROSMAP,ANX,Wald ratio,1,-1.393,0.896,0.248,0.12,NA,NA,NA,6.57E-07
A4,ROSMAP,ANX,MR Egger,7,1.022,0.546,2.779,0.12,0.857851527,0.585221512,0.158444476,8.79E-06
ARMC1,ROSMAP,ANX,Wald ratio,1,6.119,3.941,454.487,0.121,NA,NA,NA,1.10E-07
PANK1,ROSMAP,ANX,Wald ratio,1,12.949,8.341,420300.9,0.121,NA,NA,NA,6.66E-07
SCAM4,ROSMAP,ANX,Inverse variance weighted,2,-5.038,3.246,0.006,0.121,NA,0.998949052,NA,3.13E-07
RL28,ROSMAP,ANX,Inverse variance weighted,5,-3.774,2.434,0.023,0.121,0.4674059,0.627988991,0.838221495,1.10E-06
CO6A2,ROSMAP,ANX,Simple mode,5,6.992,3.56,1087.478,0.121,0.632931311,0.307375743,0.176931193,5.30E-07
PKN1,ROSMAP,ANX,Inverse variance weighted,4,5.468,3.529,236.958,0.121,0.799948097,0.899082721,0.742539659,1.29E-07
SKT,ROSMAP,ANX,Weighted mode,11,-4.297,2.539,0.014,0.121,0.712348986,0.777781189,0.699313266,1.31E-06
SYT4,ROSMAP,ANX,Wald ratio,1,5.018,3.242,151.052,0.122,NA,NA,NA,4.66E-05
CPSM,ROSMAP,ANX,Inverse variance weighted,2,-0.992,0.641,0.371,0.122,NA,0.595194268,NA,6.59E-07
NXN,ROSMAP,ANX,MR Egger,10,-2.326,1.346,0.098,0.122,0.230629571,0.10701763,0.121688486,0.002509605
TNIK,ROSMAP,ANX,Simple mode,9,3.208,1.858,24.723,0.123,0.513665972,0.562188146,0.486562198,4.08E-07
UPAR,ROSMAP,ANX,Inverse variance weighted,2,-0.599,0.388,0.549,0.123,NA,0.614970616,NA,2.66E-05
CHD2,ROSMAP,ANX,Inverse variance weighted,9,1.517,0.983,4.56,0.123,0.519053789,0.619074162,0.794878815,3.10E-07
DEK,ROSMAP,ANX,Inverse variance weighted,2,3.475,2.254,32.303,0.123,NA,0.880396736,NA,1.16E-07
TRXR1,ROSMAP,ANX,Inverse variance weighted,3,2.475,1.607,11.879,0.124,0.436639654,0.716190619,0.844017455,1.07E-06
MORC3,ROSMAP,ANX,Inverse variance weighted,2,2.596,1.686,13.406,0.124,NA,0.640031414,NA,8.05E-07
NED4L,ROSMAP,ANX,Simple mode,7,3.052,1.706,21.15,0.124,0.630593181,0.338691895,0.126344535,1.14E-05
RINT1,ROSMAP,ANX,Weighted mode,3,-2.826,1.1,0.059,0.124,0.490257242,0.742186786,0.787419926,1.51E-07
ADCY9,ROSMAP,ANX,Weighted mode,6,2.252,1.22,9.511,0.124,0.385005479,0.428270627,0.446004658,3.85E-07
MYH11,ROSMAP,ANX,Inverse variance weighted,3,-0.588,0.383,0.555,0.124,0.515232296,0.719406037,0.712514029,1.92E-06
CSK22,ROSMAP,ANX,Wald ratio,1,-3.557,2.315,0.029,0.124,NA,NA,NA,0.000162395
RM13,ROSMAP,ANX,Inverse variance weighted,2,-5.755,3.75,0.003,0.125,NA,0.22110284,NA,1.14E-05
TT39B,ROSMAP,ANX,Simple mode,6,4.398,2.389,81.271,0.125,0.543386546,0.042294218,0.044082633,9.24E-08
RADI,ROSMAP,ANX,Inverse variance weighted,3,1.741,1.135,5.705,0.125,0.481049628,0.322194703,0.41044663,1.44E-06
SGPL1,ROSMAP,ANX,Inverse variance weighted,4,2.274,1.483,9.723,0.125,0.732947515,0.888513172,0.919510796,2.09E-07
FMN1,ROSMAP,ANX,MR Egger,10,2.79,1.629,16.282,0.125,0.169681811,0.120165035,0.229477378,3.69E-06
KCNQ3,ROSMAP,ANX,MR Egger,9,1.601,0.92,4.958,0.125,0.415974011,0.324031883,0.19446847,2.27E-06
NCBP2,ROSMAP,ANX,Inverse variance weighted,2,-14.821,9.682,0,0.126,NA,0.644440107,NA,0.000108429
PHAX,ROSMAP,ANX,MR Egger,4,5.74,2.258,311.115,0.126,0.254497788,0.006804301,0.119535626,2.12E-06
DAAF9,ROSMAP,ANX,Inverse variance weighted,2,-1.225,0.801,0.294,0.126,NA,0.198710287,NA,1.52E-06
CLCB,ROSMAP,ANX,Inverse variance weighted,2,6.958,4.55,1051.782,0.126,NA,0.66894228,NA,4.59E-07
NUDC1,ROSMAP,ANX,Inverse variance weighted,2,1.051,0.688,2.861,0.126,NA,0.702713226,NA,0.000454825
SIAS,ROSMAP,ANX,Inverse variance weighted,3,-0.575,0.377,0.563,0.127,0.09528403,0.24867937,0.992132944,8.54E-07
SIK2,ROSMAP,ANX,Wald ratio,1,-8.523,5.587,0,0.127,NA,NA,NA,9.44E-07
SYPM,ROSMAP,ANX,Inverse variance weighted,4,-1.508,0.989,0.221,0.127,0.51632109,0.510992089,0.42537544,3.07E-06
