"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"AFF3","Brain","SCZ","Wald ratio",1," 0.066","0.042","1.068","1.14e-01",NA,NA,NA,0.019033055
"PHACTR2","Brain","SCZ","Wald ratio",1,"-0.058","0.037","0.943","1.15e-01",NA,NA,NA,0.017069712
"SLC7A7","Brain","SCZ","Wald ratio",1,"-0.056","0.036","0.945","1.18e-01",NA,NA,NA,0.015950748
"LINC02579","Brain","SCZ","Wald ratio",1,"-0.049","0.031","0.952","1.19e-01",NA,NA,NA,0.015088281
"MCF2L","Brain","SCZ","Wald ratio",1,"-0.023","0.015","0.977","1.20e-01",NA,NA,NA,0.017698737
"SEPTIN9","Brain","SCZ","Wald ratio",1,"-0.030","0.019","0.970","1.20e-01",NA,NA,NA,0.014807731
"PEX5L","Brain","SCZ","Wald ratio",1,"-0.039","0.025","0.962","1.23e-01",NA,NA,NA,0.015446295
"RALGPS1","Brain","SCZ","Wald ratio",1,"-0.025","0.016","0.975","1.24e-01",NA,NA,NA,0.013999398
"POLE2","Brain","SCZ","Wald ratio",1,"-0.049","0.032","0.952","1.27e-01",NA,NA,NA,0.016126026
"TTYH2","Brain","SCZ","Wald ratio",1," 0.052","0.034","1.053","1.29e-01",NA,NA,NA,0.013819344
"SLC39A10","Brain","SCZ","Wald ratio",1," 0.038","0.025","1.039","1.31e-01",NA,NA,NA,0.013552319
"GLIPR1","Brain","SCZ","Wald ratio",1,"-0.040","0.026","0.961","1.31e-01",NA,NA,NA,0.013552319
"SYT3","Brain","SCZ","Wald ratio",1,"-0.081","0.054","0.922","1.32e-01",NA,NA,NA,0.035843714
"PRODH","Brain","SCZ","Wald ratio",1,"-0.051","0.034","0.950","1.32e-01",NA,NA,NA,0.013877558
"POMGNT1","Brain","SCZ","Wald ratio",1,"-0.035","0.024","0.965","1.35e-01",NA,NA,NA,0.013658173
"COLGALT2","Brain","SCZ","Wald ratio",1,"-0.044","0.030","0.957","1.36e-01",NA,NA,NA,0.014582589
"","Brain","SCZ","Simple mode",391,"-0.008","0.005","0.992","1.37e-01",1.34e-30,1.08e-30,0.297000182,0.007088342
"SLC16A12","Brain","SCZ","Wald ratio",1,"-0.054","0.036","0.948","1.38e-01",NA,NA,NA,0.01403719
"CAMKK1","Brain","SCZ","Wald ratio",1,"-0.039","0.027","0.961","1.39e-01",NA,NA,NA,0.013775319
"NGRN","Brain","SCZ","Wald ratio",1," 0.040","0.027","1.040","1.39e-01",NA,NA,NA,0.012902384
"LMTK2","Brain","SCZ","Wald ratio",1," 0.041","0.028","1.042","1.44e-01",NA,NA,NA,0.012431394
"HEXB","Brain","SCZ","Wald ratio",1," 0.045","0.031","1.046","1.44e-01",NA,NA,NA,0.012428686
"STEAP1B","Brain","SCZ","Wald ratio",1," 0.035","0.024","1.035","1.46e-01",NA,NA,NA,0.018818766
"STMN4","Brain","SCZ","Wald ratio",1," 0.015","0.010","1.015","1.46e-01",NA,NA,NA,0.012472472
"ERGIC1","Brain","SCZ","Wald ratio",1," 0.017","0.011","1.017","1.46e-01",NA,NA,NA,0.012175553
"CFAP61","Brain","SCZ","Wald ratio",1,"-0.046","0.031","0.955","1.46e-01",NA,NA,NA,0.013422579
"ELL","Brain","SCZ","Wald ratio",1," 0.049","0.034","1.050","1.46e-01",NA,NA,NA,0.014935877
"STX1B","Brain","SCZ","Wald ratio",1," 0.052","0.036","1.053","1.46e-01",NA,NA,NA,0.014935872
"SEPTIN7P14","Brain","SCZ","Wald ratio",1," 0.017","0.012","1.017","1.48e-01",NA,NA,NA,0.013465983
