Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
C16orf95,Brain Cortex,OCD,Wald ratio,1,-0.063,0.077,0.939,0.411,NA,NA,NA,0.029896116
LINC01036,Brain Cortex,OCD,Wald ratio,1,0.088,0.107,1.092,0.412,NA,NA,NA,0.029881344
ANO3,Brain Cortex,OCD,Wald ratio,1,-0.061,0.074,0.941,0.412,NA,NA,NA,0.047404806
MAML3,Brain Cortex,OCD,Wald ratio,1,0.083,0.101,1.086,0.415,NA,NA,NA,0.022758516
PAOX,Brain Cortex,OCD,Inverse variance weighted,2,0.098,0.121,1.103,0.415,NA,0.612061942,NA,0.023759921
HABP2,Brain Cortex,OCD,Wald ratio,1,0.072,0.089,1.075,0.416,NA,NA,NA,0.022777341
WWOX,Brain Cortex,OCD,Wald ratio,1,0.053,0.066,1.055,0.417,NA,NA,NA,0.044149682
LINC02694,Brain Cortex,OCD,Wald ratio,1,-0.054,0.067,0.948,0.419,NA,NA,NA,0.015089672
ENSG00000283098,Brain Cortex,OCD,Wald ratio,1,0.053,0.066,1.055,0.419,NA,NA,NA,0.018410832
LRIG3,Brain Cortex,OCD,Wald ratio,1,-0.164,0.204,0.848,0.421,NA,NA,NA,0.039949749
ENSG00000262801,Brain Cortex,OCD,Wald ratio,1,-0.071,0.089,0.931,0.426,NA,NA,NA,0.017545086
RRP1,Brain Cortex,OCD,Wald ratio,1,0.062,0.078,1.064,0.428,NA,NA,NA,0.019706552
ENSG00000282041,Brain Cortex,OCD,Wald ratio,1,0.109,0.138,1.115,0.429,NA,NA,NA,0.036310974
LGALS12,Brain Cortex,OCD,Wald ratio,1,0.073,0.092,1.075,0.431,NA,NA,NA,0.017689486
SMYD2,Brain Cortex,OCD,Wald ratio,1,0.029,0.037,1.03,0.433,NA,NA,NA,0.016118311
ZFHX3,Brain Cortex,OCD,Wald ratio,1,0.03,0.039,1.03,0.439,NA,NA,NA,0.018443126
WNK1,Brain Cortex,OCD,Wald ratio,1,0.066,0.086,1.068,0.441,NA,NA,NA,0.017099462
LINC00927,Brain Cortex,OCD,Wald ratio,1,0.063,0.082,1.065,0.443,NA,NA,NA,0.017295542
CGNL1,Brain Cortex,OCD,Wald ratio,1,-0.077,0.102,0.926,0.448,NA,NA,NA,0.017442486
MKX,Brain Cortex,OCD,Inverse variance weighted,2,-0.076,0.1,0.927,0.448,NA,0.817858871,NA,0.053074603
KIAA1549L,Brain Cortex,OCD,Wald ratio,1,-0.033,0.044,0.967,0.449,NA,NA,NA,0.018593295
LINC02418,Brain Cortex,OCD,Wald ratio,1,0.072,0.096,1.075,0.45,NA,NA,NA,0.016835776
TSPAN18,Brain Cortex,OCD,Wald ratio,1,-0.037,0.049,0.964,0.452,NA,NA,NA,0.133807258
SYNE3,Brain Cortex,OCD,Wald ratio,1,-0.052,0.069,0.949,0.453,NA,NA,NA,0.025489178
COL13A1,Brain Cortex,OCD,Wald ratio,1,-0.088,0.117,0.916,0.455,NA,NA,NA,0.018975266
PKD1L2,Brain Cortex,OCD,Wald ratio,1,0.053,0.071,1.055,0.455,NA,NA,NA,0.022637741
CHST11,Brain Cortex,OCD,Wald ratio,1,-0.024,0.033,0.976,0.459,NA,NA,NA,0.043843684
ATXN10,Brain Cortex,OCD,Wald ratio,1,-0.088,0.119,0.915,0.459,NA,NA,NA,0.025342141
ENOX1,Brain Cortex,OCD,Wald ratio,1,-0.058,0.078,0.944,0.462,NA,NA,NA,0.017515074
LINC02464,Brain Cortex,OCD,Wald ratio,1,-0.09,0.122,0.914,0.463,NA,NA,NA,0.030549704
POMT2,Brain Cortex,OCD,Wald ratio,1,-0.322,0.438,0.725,0.463,NA,NA,NA,0.173885259
VLDLR-AS1,Brain Cortex,OCD,Wald ratio,1,0.069,0.094,1.071,0.464,NA,NA,NA,0.01305949
TIAM1,Brain Cortex,OCD,Wald ratio,1,-0.027,0.037,0.974,0.466,NA,NA,NA,0.017424465
HSPB7,Brain Cortex,OCD,Wald ratio,1,-0.043,0.058,0.958,0.467,NA,NA,NA,0.024566744
ENSG00000257060,Brain Cortex,OCD,Wald ratio,1,-0.037,0.052,0.963,0.47,NA,NA,NA,0.027170372
FRS2,Brain Cortex,OCD,Wald ratio,1,-0.055,0.077,0.946,0.473,NA,NA,NA,0.012991177
TMEM132C,Brain Cortex,OCD,Wald ratio,1,-0.07,0.098,0.932,0.475,NA,NA,NA,0.016030601
ATP11A,Brain Cortex,OCD,Wald ratio,1,0.038,0.053,1.038,0.476,NA,NA,NA,0.043922898
PSEN1,Brain Cortex,OCD,Wald ratio,1,0.225,0.316,1.252,0.478,NA,NA,NA,0.020207168
PCSK6,Brain Cortex,OCD,Wald ratio,1,-0.067,0.095,0.935,0.479,NA,NA,NA,0.016891643
C12orf42,Brain Cortex,OCD,Wald ratio,1,0.042,0.059,1.042,0.479,NA,NA,NA,0.014127419
GOLM1,Brain Cortex,OCD,Wald ratio,1,-0.063,0.089,0.939,0.479,NA,NA,NA,0.024800732
L3MBTL4,Brain Cortex,OCD,Wald ratio,1,-0.104,0.147,0.901,0.48,NA,NA,NA,0.030276241
ANO4,Brain Cortex,OCD,Wald ratio,1,-0.06,0.085,0.942,0.481,NA,NA,NA,0.035339211
DIRC3-AS1,Brain Cortex,OCD,Wald ratio,1,-0.028,0.039,0.973,0.482,NA,NA,NA,0.465308234
ASIC2,Brain Cortex,OCD,Wald ratio,1,0.128,0.183,1.137,0.484,NA,NA,NA,0.014756246
NTN1,Brain Cortex,OCD,Wald ratio,1,-0.126,0.18,0.882,0.485,NA,NA,NA,0.028823655
SLC1A2,Brain Cortex,OCD,Wald ratio,1,-0.048,0.069,0.953,0.486,NA,NA,NA,0.017185067
OTUD3,Brain Cortex,OCD,Wald ratio,1,0.063,0.09,1.065,0.486,NA,NA,NA,0.015921802
KLHL14,Brain Cortex,OCD,Wald ratio,1,0.049,0.071,1.05,0.489,NA,NA,NA,0.016823456
ANKAR,Brain Cortex,OCD,Wald ratio,1,0.036,0.052,1.037,0.491,NA,NA,NA,0.018135729
RTN4RL1,Brain Cortex,OCD,Wald ratio,1,-0.175,0.255,0.839,0.491,NA,NA,NA,0.02535916
ZRANB1,Brain Cortex,OCD,Wald ratio,1,-0.025,0.037,0.975,0.498,NA,NA,NA,0.018459382
TOGARAM2,Brain Cortex,OCD,Wald ratio,1,-0.063,0.094,0.939,0.502,NA,NA,NA,0.018795536
ADGRD1,Brain Cortex,OCD,Wald ratio,1,0.038,0.056,1.039,0.502,NA,NA,NA,0.023629648
