"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"LANCL2","Brain","ED","Wald ratio",1," 0.028","0.047","1.028","5.60e-01",NA,NA,NA,0.008545106
"TRIB3","Brain","ED","Wald ratio",1,"-0.020","0.035","0.980","5.61e-01",NA,NA,NA,0.008652466
"TIMM50","Brain","ED","Wald ratio",1," 0.024","0.042","1.024","5.62e-01",NA,NA,NA,0.008071655
"TMEM70","Brain","ED","Wald ratio",1,"-0.025","0.043","0.975","5.63e-01",NA,NA,NA,0.011042977
"ZHX2","Brain","ED","Wald ratio",1,"-0.031","0.054","0.970","5.64e-01",NA,NA,NA,0.008692534
"ENSG00000286565","Brain","ED","Wald ratio",1,"-0.024","0.042","0.976","5.65e-01",NA,NA,NA,0.008399206
"BTBD7","Brain","ED","Wald ratio",1," 0.031","0.054","1.031","5.66e-01",NA,NA,NA,0.010216937
"TRIM29","Brain","ED","Wald ratio",1," 0.022","0.038","1.022","5.66e-01",NA,NA,NA,0.007927573
"LINC01356","Brain","ED","Wald ratio",1," 0.044","0.076","1.045","5.66e-01",NA,NA,NA,0.012586072
"ENSG00000254409","Brain","ED","Wald ratio",1," 0.021","0.037","1.021","5.67e-01",NA,NA,NA,0.010721128
"SYNDIG1","Brain","ED","Wald ratio",1," 0.030","0.052","1.030","5.67e-01",NA,NA,NA,0.009640231
"ENSG00000254990","Brain","ED","Wald ratio",1," 0.030","0.053","1.031","5.68e-01",NA,NA,NA,0.008146117
"GCH1","Brain","ED","Wald ratio",1," 0.020","0.034","1.020","5.68e-01",NA,NA,NA,0.012232647
"ESPN","Brain","ED","Wald ratio",1," 0.055","0.097","1.056","5.70e-01",NA,NA,NA,0.02228453
"GRID1","Brain","ED","Wald ratio",1,"-0.098","0.172","0.907","5.70e-01",NA,NA,NA,0.026157791
"ANAPC5","Brain","ED","Wald ratio",1," 0.050","0.089","1.052","5.71e-01",NA,NA,NA,0.01744068
"ABCA5","Brain","ED","Wald ratio",1," 0.033","0.059","1.034","5.71e-01",NA,NA,NA,0.011302478
"CFAP221","Brain","ED","Wald ratio",1," 0.036","0.064","1.037","5.72e-01",NA,NA,NA,0.010729869
