"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"FSD1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.016,0.01,0.984,0.107,NA,NA,NA,0.013155106
"AK5","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.016,0.01,0.985,0.107,NA,NA,NA,6.51e-06
"TRADD","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.03,0.019,0.971,0.107,NA,NA,NA,1.64e-05
"SLA","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.016,0.01,1.016,0.108,NA,NA,NA,2.94e-05
"FAT3","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.013,0.008,0.987,0.108,NA,NA,NA,4.56e-06
"PSMA5","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.01,0.006,1.01,0.108,NA,NA,NA,5.87e-06
"EPB41L3","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.009,1.014,0.108,NA,NA,NA,8.26e-05
"LINC02974","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.009,1.014,0.108,NA,NA,NA,8.26e-05
"TMEM132B","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.008,0.005,0.992,0.109,NA,NA,NA,4.44e-06
"TTC28-AS1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.008,1.014,0.11,NA,NA,NA,0.000199901
"SETMAR","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.01,0.985,0.11,NA,NA,NA,7.1e-06
"SEC11C","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.01,1.015,0.11,NA,NA,NA,7.08e-06
"DPCD","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.009,0.006,0.991,0.11,NA,NA,NA,0.009195845
"CFAP210","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.018,0.012,0.982,0.111,NA,NA,NA,5.61e-06
"ZNF419","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.006,0.004,0.994,0.111,NA,NA,NA,0.008316866
"ZNF773","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.006,0.004,0.994,0.111,NA,NA,NA,0.008316866
"EPSTI1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.009,1.014,0.111,NA,NA,NA,7.69e-06
"CAVIN3","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.009,0.985,0.111,NA,NA,NA,4.16e-05
"BCKDHA","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.011,0.007,0.99,0.112,NA,NA,NA,0.002001213
"DMAC2","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.005,0.003,1.005,0.112,NA,NA,NA,0.007731766
"NT5C","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.017,0.011,0.983,0.112,NA,NA,NA,2.38e-05
"CYFIP1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.018,0.012,1.019,0.112,NA,NA,NA,1.11e-05
"EXOC1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.01,0.006,0.99,0.112,NA,NA,NA,1.31e-05
"ZNF554","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.014,0.009,0.986,0.112,NA,NA,NA,4.87e-05
"ANKRD13B","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.024,0.015,1.024,0.112,NA,NA,NA,1.42e-05
"ZNF470-DT","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.009,0.986,0.113,NA,NA,NA,7.13e-06
"TEX10","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.01,1.015,0.113,NA,NA,NA,7.13e-06
"RPL30","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.013,0.008,1.013,0.113,NA,NA,NA,8.06e-06
"CD44","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.022,0.014,1.023,0.114,NA,NA,NA,9.88e-06
"DUSP6","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.01,1.015,0.114,NA,NA,NA,4.79e-06
"CRNKL1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.009,0.985,0.114,NA,NA,NA,0.001224939
"MGAT1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.011,0.007,0.989,0.114,NA,NA,NA,0.001352192
"PTGS1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.009,1.014,0.114,NA,NA,NA,1.13e-05
"NASP","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.011,0.007,0.989,0.114,NA,NA,NA,6.99e-06
