"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"JAG2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.008","0.015","0.992","5.83e-01",NA,NA,NA,0.008673038
"LHCGR","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.021","0.989","5.84e-01",NA,NA,NA,0.010633706
"THEGL","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.020","0.036","1.020","5.84e-01",NA,NA,NA,0.011354193
"CYP4V2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.017","0.991","5.86e-01",NA,NA,NA,0.011611466
"CDC16","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.020","1.011","5.88e-01",NA,NA,NA,0.015277027
"PLCB4","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.013","0.024","1.013","5.89e-01",NA,NA,NA,0.008461658
"ZNF415","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.013","0.025","1.013","5.90e-01",NA,NA,NA,0.011188189
"DIP2C","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.017","0.991","5.93e-01",NA,NA,NA,0.008431489
"LRBA","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.027","1.015","5.96e-01",NA,NA,NA,0.008471002
"TPO","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.017","0.032","1.017","5.96e-01",NA,NA,NA,0.008470992
"TSHR","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.023","0.043","0.977","5.96e-01",NA,NA,NA,0.009830442
"EHMT1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.022","0.989","5.97e-01",NA,NA,NA,0.008800743
"RAB2A","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.017","0.033","0.983","5.99e-01",NA,NA,NA,0.008621982
"EIF4E3","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.010","0.020","1.010","5.99e-01",NA,NA,NA,0.008731992
"AP5Z1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.026","0.050","1.027","5.99e-01",NA,NA,NA,0.018153725
"SORCS2","Brain Prefrontal cortex","PTSD","Weighted median",3,"-0.011","0.022","0.989","6.02e-01",0.751405785,0.473476563,0.447266548,0.00939751
"LHPP","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.010","0.019","0.990","6.02e-01",NA,NA,NA,0.009321884
"MYOM2","Brain Prefrontal cortex","PTSD","Inverse variance weighted",2,"-0.010","0.019","0.990","6.03e-01",NA,0.586090131,NA,0.009361541
"SORCS2","Brain Prefrontal cortex","PTSD","Weighted mode",3,"-0.014","0.023","0.986","6.04e-01",0.751405785,0.473476563,0.447266548,0.00939751
"NCOA7","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.017","0.034","1.018","6.10e-01",NA,NA,NA,0.008193212
"PREX1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.025","0.049","0.976","6.12e-01",NA,NA,NA,0.010916582
"RNF141","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.027","0.053","1.027","6.12e-01",NA,NA,NA,0.009218331
"PIGP","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.023","0.046","1.024","6.12e-01",NA,NA,NA,0.008315349
"RPS6KA2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.012","0.024","1.012","6.12e-01",NA,NA,NA,0.008315349
"LRP1B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.020","0.039","0.980","6.15e-01",NA,NA,NA,0.019343138
"ACYP2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.013","0.026","0.987","6.15e-01",NA,NA,NA,0.008576648
"RFTN1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.022","0.044","0.978","6.19e-01",NA,NA,NA,0.021503782
"ITPR2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.025","0.050","0.975","6.19e-01",NA,NA,NA,0.009582122
"WDR35","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.013","0.026","0.987","6.22e-01",NA,NA,NA,0.00837048
"LRWD1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.028","1.014","6.24e-01",NA,NA,NA,0.009291129
"EEF2K","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.029","1.014","6.25e-01",NA,NA,NA,0.010100609
"STX6","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.023","1.011","6.27e-01",NA,NA,NA,0.008343362
"S100A16","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.013","0.028","1.014","6.28e-01",NA,NA,NA,0.008713402
"SLC6A3","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.010","0.020","0.990","6.29e-01",NA,NA,NA,0.010073916
"MDGA1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.024","0.051","0.976","6.34e-01",NA,NA,NA,0.014784305
"WDR33","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.016","0.034","0.984","6.36e-01",NA,NA,NA,0.006989692
"GNA12","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.017","0.036","0.983","6.38e-01",NA,NA,NA,0.007730958
"UTS2R","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.023","1.011","6.40e-01",NA,NA,NA,0.020022295
"MCOLN2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.024","0.989","6.45e-01",NA,NA,NA,0.009752155
