"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"LINC02080","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.032,0.019,0.968,0.0907,NA,NA,NA,0.004124998
"MYOM2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.019,0.011,0.981,0.0907,NA,NA,NA,0.019201763
"RAB30-DT","Brain Caudate basal ganglia","BP","Wald ratio",1,0.043,0.025,1.044,0.0908,NA,NA,NA,0.013976916
"ADH1C","Brain Caudate basal ganglia","BP","Wald ratio",1,0.035,0.02,1.035,0.0908,NA,NA,NA,0.001328302
"C1orf50","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.029,0.017,0.971,0.0908,NA,NA,NA,0.021749444
"C1orf50-AS1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.028,0.017,1.029,0.0908,NA,NA,NA,0.021738096
"SVBP","Brain Caudate basal ganglia","BP","Wald ratio",1,0.032,0.019,1.032,0.0908,NA,NA,NA,0.021749444
"GSTM3","Brain Caudate basal ganglia","BP","Wald ratio",1,0.019,0.011,1.019,0.0909,NA,NA,NA,0.022316658
"RPS20","Brain Caudate basal ganglia","BP","Wald ratio",1,0.07,0.041,1.072,0.091,NA,NA,NA,0.022873834
"FKBP9","Brain Caudate basal ganglia","BP","Wald ratio",1,0.173,0.102,1.189,0.0914,NA,NA,NA,0.003690603
"NUSAP1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.019,0.011,1.019,0.0919,NA,NA,NA,0.021742563
"NDUFAF1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.038,0.022,0.963,0.0919,NA,NA,NA,0.021742563
"CCDC40","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.067,0.04,0.935,0.0922,NA,NA,NA,0.005853002
"SFXN4","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.017,0.01,0.983,0.0928,NA,NA,NA,0.018274047
"LINC01260","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,-0.041,0.025,0.96,0.0928,NA,0.28755252,NA,0.005952829
"SCGB3A1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.031,0.018,0.969,0.0936,NA,NA,NA,0.020787332
"FLT4","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.018,0.011,0.982,0.0936,NA,NA,NA,0.020850645
"MAPK9","Brain Caudate basal ganglia","BP","Wald ratio",1,0.148,0.088,1.159,0.0937,NA,NA,NA,0.026673669
"SWINGN","Brain Caudate basal ganglia","BP","Wald ratio",1,0.047,0.028,1.048,0.0942,NA,NA,NA,0.001661739
"RWDD1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.083,0.05,1.087,0.0944,NA,NA,NA,0.000176374
"DLGAP4","Brain Caudate basal ganglia","BP","Wald ratio",1,0.15,0.09,1.162,0.0945,NA,NA,NA,0.00792935
"LRRC37A4P","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.025,0.015,1.025,0.0945,NA,0.152417927,NA,0.026715225
"HADHB","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.077,0.046,0.926,0.0946,NA,NA,NA,0.037168386
"ADAT1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.028,0.017,1.028,0.0955,NA,NA,NA,0.019961662
"RDH10-AS1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.028,0.017,1.028,0.0957,NA,NA,NA,1.61e-05
"GOLGA6L4","Brain Caudate basal ganglia","BP","Wald ratio",1,0.032,0.019,1.032,0.0961,NA,NA,NA,0.002707207
"MTHFR","Brain Caudate basal ganglia","BP","Wald ratio",1,0.042,0.026,1.043,0.0962,NA,NA,NA,0.020205741
"RRP12","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.051,0.031,1.053,0.0963,NA,0.240121202,NA,0.061257584
"ADCK2","Brain Caudate basal ganglia","BP","Wald ratio",1,0.046,0.028,1.047,0.0964,NA,NA,NA,2.53e-05
"NUP42","Brain Caudate basal ganglia","BP","Wald ratio",1,0.025,0.015,1.026,0.097,NA,NA,NA,0.018781649
"GPNMB","Brain Caudate basal ganglia","BP","Wald ratio",1,0.025,0.015,1.026,0.097,NA,NA,NA,0.018780161
"KLHL7-DT","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.014,0.008,0.986,0.097,NA,NA,NA,0.018781649
"PPWD1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.039,0.023,0.962,0.0975,NA,NA,NA,0.01907608
"LINC02568","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.022,0.013,0.979,0.0988,NA,NA,NA,0.019626831
"PPP2R1B","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.027,0.017,0.973,0.099,NA,NA,NA,0.018477981
"LINC02995","Brain Caudate basal ganglia","BP","Wald ratio",1,0.035,0.021,1.035,0.099,NA,NA,NA,0.014608071
"DHRS11","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.071,0.043,1.074,0.0992,NA,0.063679767,NA,0.112298542
"SGCD","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.036,0.022,0.964,0.0993,NA,NA,NA,0.009057014
"SIGIRR","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.038,0.023,0.963,0.0994,NA,NA,NA,0.023547101
"GIGYF1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.07,0.042,0.933,0.0996,NA,NA,NA,0.027289983
"CCDC57","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.048,0.029,0.953,0.101,NA,NA,NA,0.018156801
"DMAC1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.066,0.04,1.068,0.101,NA,NA,NA,0.001507743
"ZNF292","Brain Caudate basal ganglia","BP","Wald ratio",1,0.07,0.043,1.073,0.102,NA,NA,NA,0.000297021
"ATP6V1D","Brain Caudate basal ganglia","BP","Wald ratio",1,0.161,0.098,1.174,0.102,NA,NA,NA,0.021884867
"SLFN5","Brain Caudate basal ganglia","BP","Wald ratio",1,0.031,0.019,1.031,0.102,NA,NA,NA,0.017318128
"NPM3","Brain Caudate basal ganglia","BP","Wald ratio",1,0.036,0.022,1.037,0.103,NA,NA,NA,0.01758201
"ACCS","Brain Caudate basal ganglia","BP","Weighted median",3,-0.028,0.017,0.973,0.103,0.012542891,0.044148407,0.977300576,0.000390325
"GRAMD2B","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.076,0.047,0.927,0.103,NA,NA,NA,0.016373283
"NDST1-AS1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.019,0.011,0.982,0.103,NA,NA,NA,0.030670384
"FEN1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.079,0.049,1.082,0.103,NA,NA,NA,0.006719318
"NME9","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.055,0.034,0.947,0.103,NA,NA,NA,0.017013207
"P2RX1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.063,0.039,1.065,0.104,NA,NA,NA,0.000576512
"SLC47A1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.032,0.019,0.969,0.104,NA,NA,NA,0.015215091
"ZDHHC11","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.048,0.03,0.953,0.105,NA,NA,NA,0.007627838
"SNHG28","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.045,0.028,0.956,0.105,NA,NA,NA,0.025945433
"CUBN","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.051,0.032,0.95,0.105,NA,NA,NA,0.01802175
"SPPL2A","Brain Caudate basal ganglia","BP","Wald ratio",1,0.066,0.041,1.068,0.105,NA,NA,NA,0.02628748
"ZFAND2A-DT","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.012,0.007,0.988,0.106,NA,NA,NA,0.017570622
"NEIL2","Brain Caudate basal ganglia","BP","Wald ratio",1,0.048,0.03,1.05,0.106,NA,NA,NA,0.017582037
"TCP11L1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.059,0.036,0.943,0.106,NA,NA,NA,0.015461626
"LINC00294","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.067,0.041,0.935,0.106,NA,NA,NA,0.002048082
"EIF5A2","Brain Caudate basal ganglia","BP","Wald ratio",1,0.093,0.057,1.097,0.107,NA,NA,NA,0.008278397
