"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"GPR151","Brain Spinal cord cervical","ED","Wald ratio",1,-0.001,0.039,0.999,0.985,NA,NA,NA,0.000250136
"GPR35","Brain Spinal cord cervical","ED","Wald ratio",1,-0.001,0.033,0.999,0.988,NA,NA,NA,0.009756778
"POGK","Brain Spinal cord cervical","ED","Wald ratio",1,0.001,0.055,1.001,0.989,NA,NA,NA,0.00304641
"STPG1","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.026,1,0.99,NA,NA,NA,0.007703008
"GRPEL1","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.034,1,0.991,NA,NA,NA,0.002722277
"CAPN8","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.018,1,0.991,NA,NA,NA,0.012964092
"ANKUB1","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.025,1,0.992,NA,NA,NA,8.68e-06
"DPY19L3-DT","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.029,1,0.994,NA,NA,NA,0.001695483
"TMEM220","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.023,1,0.994,NA,NA,NA,0.006689791
"SCO1","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.035,1,0.994,NA,NA,NA,0.006507029
"STAG1-DT","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.02,1,0.994,NA,NA,NA,0.006872206
"TPBG","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.019,1,0.994,NA,NA,NA,0.007032539
"LINC02821","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.014,1,0.994,NA,NA,NA,0.007081462
"MGRN1","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.017,1,0.994,NA,NA,NA,0.007179277
"CDS2","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.036,1,0.994,NA,NA,NA,0.006408806
"CMAHP","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.042,1,1,NA,NA,NA,0.004934572
"ETFDH","Brain Spinal cord cervical","ED","Wald ratio",1,0,0.021,1,1,NA,NA,NA,0.009561224
"FGF14-AS2","Brain Substantia nigra","ED","Wald ratio",1,-0.118,0.03,0.889,0.000102,NA,NA,NA,0.939495579
"STX19","Brain Substantia nigra","ED","Wald ratio",1,-0.077,0.02,0.926,0.000145,NA,NA,NA,0.694026747
"RGPD8","Brain Substantia nigra","ED","Wald ratio",1,0.062,0.016,1.064,0.000151,NA,NA,NA,0.92097987
"CLCNKA","Brain Substantia nigra","ED","Wald ratio",1,-0.054,0.015,0.947,0.000267,NA,NA,NA,0.842225903
