Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
RHG39,BannerBBDP,ASD,Wald ratio,1,-5.791,2.077,0.003,0.0053,NA,NA,NA,2.33E-06
ALAT1,BannerBBDP,ASD,Wald ratio,1,1.105,0.396,3.018,0.0053,NA,NA,NA,0.000518532
TAGL2,BannerBBDP,ASD,Inverse variance weighted,6,-1.179,0.423,0.308,0.00531,0.881764387,0.913566188,0.602904282,2.67E-07
GBRD,BannerBBDP,ASD,Inverse variance weighted,3,-1.63,0.586,0.196,0.00544,0.779727278,0.820796253,0.673658063,1.29E-07
DICER,BannerBBDP,ASD,Inverse variance weighted,4,0.751,0.27,2.119,0.00545,0.569128737,0.766500261,0.90939759,5.97E-08
RS9,BannerBBDP,ASD,Inverse variance weighted,4,-0.968,0.351,0.38,0.00578,0.358232504,0.534927391,0.754429401,5.46E-08
NGEF,BannerBBDP,ASD,Inverse variance weighted,2,1.006,0.365,2.733,0.00585,NA,0.695835574,NA,4.40E-08
PSA7,BannerBBDP,ASD,Inverse variance weighted,2,4.659,1.695,105.567,0.00598,NA,0.441967609,NA,2.50E-06
NOA1,BannerBBDP,ASD,Inverse variance weighted,4,-0.856,0.313,0.425,0.00625,0.924170611,0.852671016,0.510900234,0.000110788
ENAH,BannerBBDP,ASD,Wald ratio,1,-10.356,3.793,0,0.00632,NA,NA,NA,4.16E-06
FAAH1,BannerBBDP,ASD,Inverse variance weighted,2,0.513,0.19,1.671,0.00675,NA,0.519970168,NA,0.006929599
DDHD2,BannerBBDP,ASD,Wald ratio,1,4.015,1.483,55.438,0.00679,NA,NA,NA,4.24E-07
DUS26,BannerBBDP,ASD,Wald ratio,1,-2.519,0.936,0.081,0.00713,NA,NA,NA,5.27E-05
COX7C,BannerBBDP,ASD,Wald ratio,1,-3.885,1.448,0.021,0.0073,NA,NA,NA,3.00E-07
BAG4,BannerBBDP,ASD,Inverse variance weighted,2,24.71,9.218,53889800000,0.00735,NA,0.587297742,NA,2.90E-06
WDTC1,BannerBBDP,ASD,Inverse variance weighted,2,1.408,0.525,4.086,0.00737,NA,0.758171646,NA,4.57E-07
RPGF4,BannerBBDP,ASD,Inverse variance weighted,5,-2.082,0.778,0.125,0.00743,0.68143048,0.801486365,0.735951162,3.43E-07
MXRA7,BannerBBDP,ASD,Inverse variance weighted,2,1.539,0.575,4.658,0.00748,NA,0.865053486,NA,0.01168038
PLBL2,BannerBBDP,ASD,Wald ratio,1,-2.209,0.827,0.11,0.0076,NA,NA,NA,6.52E-07
BOLA1,BannerBBDP,ASD,Wald ratio,1,-0.44,0.165,0.644,0.00769,NA,NA,NA,0.290991699
H2B2F,BannerBBDP,ASD,Wald ratio,1,2.85,1.069,17.294,0.00769,NA,NA,NA,5.42E-06
SV2A,BannerBBDP,ASD,Wald ratio,1,5.104,1.915,164.613,0.00769,NA,NA,NA,1.62E-06
SF3B4,BannerBBDP,ASD,Wald ratio,1,11.933,4.477,152220.6,0.00769,NA,NA,NA,5.54E-06
H2A2B,BannerBBDP,ASD,Wald ratio,1,1.958,0.735,7.084,0.00769,NA,NA,NA,9.37E-06
H2A2C,BannerBBDP,ASD,Wald ratio,1,3.895,1.461,49.135,0.00769,NA,NA,NA,4.57E-05
MOC2B,BannerBBDP,ASD,Wald ratio,1,0.439,0.165,1.55,0.00778,NA,NA,NA,2.97E-07
MOC2A,BannerBBDP,ASD,Wald ratio,1,2.997,1.126,20.02,0.00778,NA,NA,NA,2.41E-07
MCES,BannerBBDP,ASD,Wald ratio,1,-3.998,1.505,0.018,0.00788,NA,NA,NA,7.97E-08
LACTB,BannerBBDP,ASD,Wald ratio,1,0.432,0.163,1.54,0.00792,NA,NA,NA,0.197466512
RAB8B,BannerBBDP,ASD,Wald ratio,1,1.918,0.722,6.808,0.00792,NA,NA,NA,2.11E-06
MYH14,BannerBBDP,ASD,Inverse variance weighted,2,1.241,0.468,3.461,0.00794,NA,0.365942023,NA,7.88E-07
RMC1,BannerBBDP,ASD,Wald ratio,1,-2.089,0.789,0.124,0.00813,NA,NA,NA,3.05E-08
NPC1,BannerBBDP,ASD,Wald ratio,1,-2.009,0.759,0.134,0.00813,NA,NA,NA,1.57E-07
S39A6,BannerBBDP,ASD,Inverse variance weighted,2,-2.137,0.809,0.118,0.00825,NA,0.394834705,NA,6.52E-06
VP13C,BannerBBDP,ASD,Inverse variance weighted,4,-1.496,0.566,0.224,0.00826,0.45616998,0.649770599,0.812572672,4.00E-07
CDR2L,BannerBBDP,ASD,Inverse variance weighted,2,4.56,1.732,95.607,0.00845,NA,0.354591073,NA,0.000175357
HGS,BannerBBDP,ASD,Inverse variance weighted,2,5.213,1.983,183.694,0.00857,NA,0.492123206,NA,3.49E-07
NT5C,BannerBBDP,ASD,Wald ratio,1,0.72,0.274,2.055,0.00869,NA,NA,NA,2.42E-07
KCTD2,BannerBBDP,ASD,Wald ratio,1,1.717,0.654,5.57,0.00869,NA,NA,NA,5.85E-07
JUPI1,BannerBBDP,ASD,Wald ratio,1,2.789,1.063,16.261,0.00869,NA,NA,NA,9.35E-08
MAG,BannerBBDP,ASD,Inverse variance weighted,4,0.589,0.225,1.802,0.00888,0.590853468,0.564768295,0.425636674,1.00E-07
SQOR,BannerBBDP,ASD,Inverse variance weighted,5,-0.51,0.195,0.6,0.0089,0.943132756,0.983564871,0.982059329,3.22E-07
MIB1,BannerBBDP,ASD,Wald ratio,1,-1.244,0.476,0.288,0.00902,NA,NA,NA,6.15E-08
PROS,BannerBBDP,ASD,Inverse variance weighted,2,0.73,0.28,2.076,0.00908,NA,0.641375887,NA,1.63E-06
