"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"PLEKHG7","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.016","0.037","0.985","6.71e-01",NA,NA,NA,0.007525833
"ACOXL","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.012","0.029","0.988","6.72e-01",NA,NA,NA,0.009545179
"OSBPL3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.025","0.990","6.73e-01",NA,NA,NA,0.007944799
"ST7L","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.023","0.990","6.74e-01",NA,NA,NA,0.009215879
"SLC41A3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.015","0.994","6.78e-01",NA,NA,NA,0.008295941
"SLC1A2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.018","0.993","6.90e-01",NA,NA,NA,0.007393703
"LRPAP1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.010","0.025","1.010","6.93e-01",NA,NA,NA,0.007594671
"DISP3","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.011","0.028","1.011","6.95e-01",NA,NA,NA,0.010831521
"PPP1R2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.013","0.033","1.013","7.00e-01",NA,NA,NA,0.007882852
"TPCN2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.008","0.020","0.992","7.01e-01",NA,NA,NA,0.009396769
"CECR2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.019","1.007","7.01e-01",NA,NA,NA,0.008035797
"SLC35F1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.009","0.023","0.991","7.03e-01",NA,NA,NA,0.007397487
"CACNA1C","Brain Prefrontal cortex","ASD","MR Egger",3,"-0.016","0.032","0.985","7.07e-01",0.272278557,0.478372717,0.718798584,0.016967226
"PDIA5","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.018","1.007","7.09e-01",NA,NA,NA,0.009203468
"SETBP1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.028","0.990","7.09e-01",NA,NA,NA,0.001365905
"MTSS1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.011","0.029","0.989","7.11e-01",NA,NA,NA,0.007521644
"RPH3AL","Brain Prefrontal cortex","ASD","Weighted mode",3," 0.012","0.029","1.012","7.14e-01",0.503260879,0.351035919,0.421523656,0.01662251
"TSHR","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.014","0.038","0.986","7.14e-01",NA,NA,NA,0.008064469
"ARHGAP39","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.024","0.065","0.977","7.16e-01",NA,NA,NA,0.023215659
"EIF4E3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.018","0.993","7.18e-01",NA,NA,NA,0.007603734
"ANGPT4","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.021","1.008","7.20e-01",NA,NA,NA,0.007650378
"CDH4","Brain Prefrontal cortex","ASD","Inverse variance weighted",3,"-0.004","0.011","0.996","7.21e-01",0.345848819,0.45059827,0.555190879,0.007946772
"AFAP1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.005","0.015","0.995","7.25e-01",NA,NA,NA,0.008203149
"PTDSS1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.008","0.021","1.008","7.26e-01",NA,NA,NA,0.007367454
"AK3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.028","0.990","7.28e-01",NA,NA,NA,0.00844831
"SORCS2","Brain Prefrontal cortex","ASD","Inverse variance weighted",3," 0.007","0.021","1.007","7.31e-01",0.118075243,0.285293423,0.896431943,0.01516363
"CACNA1C","Brain Prefrontal cortex","ASD","Weighted mode",3,"-0.007","0.019","0.993","7.32e-01",0.272278557,0.478372717,0.718798584,0.016967226
"CROCC2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.013","0.037","0.987","7.32e-01",NA,NA,NA,0.00703229
"MEIS1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.012","0.037","1.012","7.36e-01",NA,NA,NA,0.007707653
"NEK8","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.009","0.028","0.991","7.39e-01",NA,NA,NA,0.007377243
"KREMEN1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.021","0.993","7.40e-01",NA,NA,NA,0.008967874
"LHPP","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.017","0.994","7.40e-01",NA,NA,NA,0.008042714
"MET","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.009","0.026","1.009","7.41e-01",NA,NA,NA,0.007268476
"ATP11A","Brain Prefrontal cortex","ASD","Inverse variance weighted",2," 0.006","0.019","1.006","7.41e-01",NA,0.762128337,NA,0.006938859
"NXN","Brain Prefrontal cortex","ASD","Inverse variance weighted",2," 0.005","0.014","1.005","7.44e-01",NA,0.545267572,NA,0.008994109
"GPR35","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.030","0.990","7.46e-01",NA,NA,NA,0.007870438
"HRNR","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.005","0.016","1.005","7.46e-01",NA,NA,NA,0.007406365
"NBPF3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.009","0.026","0.992","7.46e-01",NA,NA,NA,0.007251506
"MCOLN2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.022","0.993","7.47e-01",NA,NA,NA,0.008687547
"GFPT2","Brain Prefrontal cortex","ASD","Inverse variance weighted",2," 0.004","0.012","1.004","7.49e-01",NA,0.812437919,NA,0.007253694
"TMEM120B","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.009","0.028","1.009","7.51e-01",NA,NA,NA,0.011211588
"CMIP","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.008","0.026","0.992","7.52e-01",NA,NA,NA,0.007234951
"IQCA1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.004","0.014","0.996","7.57e-01",NA,NA,NA,0.007373935
"HS1BP3","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.009","0.030","1.009","7.57e-01",NA,NA,NA,0.007373136
"WDR35","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.024","0.993","7.60e-01",NA,NA,NA,0.007311623
"HSD17B4","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.017","0.055","0.983","7.61e-01",NA,NA,NA,0.007140616
"ARHGEF38","Brain Prefrontal cortex","ASD","Inverse variance weighted",2,"-0.006","0.020","0.994","7.61e-01",NA,0.296449463,NA,0.011498355
"ANKRD33B","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.008","0.028","0.992","7.64e-01",NA,NA,NA,0.007244761
"FRMD4A","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.009","0.030","1.009","7.65e-01",NA,NA,NA,0.005809688
"CA4","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.012","0.041","1.012","7.66e-01",NA,NA,NA,0.009929247
"HEATR4","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.019","0.994","7.66e-01",NA,NA,NA,0.007296138
"NMNAT2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.023","1.007","7.66e-01",NA,NA,NA,0.007652423
"ZNF577","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.012","0.041","1.012","7.67e-01",NA,NA,NA,0.011021653
"MTUS1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.009","0.030","1.009","7.68e-01",NA,NA,NA,0.009400016
"LY96","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.019","0.064","1.019","7.70e-01",NA,NA,NA,0.010719537
