"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"RPS6KA2","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.015","0.007","1.016","2.88e-02",NA,NA,NA,0.022882759
"ST6GAL1","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.028","0.013","0.972","2.94e-02",NA,NA,NA,0.022594308
"TMEM132D","Brain Prefrontal cortex","DEP","Inverse variance weighted",2,"-0.009","0.004","0.991","3.06e-02",NA,0.668595913,NA,0.02040614
"PSMD5","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.018","0.008","0.982","3.08e-02",NA,NA,NA,0.022099982
"FBXO34","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.016","0.007","1.016","3.24e-02",NA,NA,NA,0.020739223
"SCG3","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.020","0.009","1.020","3.26e-02",NA,NA,NA,0.021031283
"SCFD1","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.012","0.006","0.988","3.31e-02",NA,NA,NA,0.021733351
"CYP2W1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.028","0.013","1.028","3.38e-02",NA,NA,NA,0.023186877
"ARHGEF38","Brain Prefrontal cortex","DEP","Inverse variance weighted",2,"-0.013","0.006","0.987","3.39e-02",NA,0.2993818,NA,0.046578679
"STAC","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.024","0.011","1.024","3.44e-02",NA,NA,NA,0.023634229
"KCNMB2","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.028","0.013","0.972","3.50e-02",NA,NA,NA,0.02074508
"CSGALNACT1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.018","0.009","1.018","3.63e-02",NA,NA,NA,0.018789129
"HFM1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.029","0.014","1.029","3.92e-02",NA,NA,NA,0.032132652
"TBC1D1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.014","0.007","1.014","3.94e-02",NA,NA,NA,0.020406137
"TSNARE1","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.014","0.007","0.986","4.07e-02",NA,NA,NA,0.017134452
