"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"FAM167A","Brain","ANX","Wald ratio",1," 0.061","0.043","1.063","1.57e-01",NA,NA,NA,0.036221827
"LINC02558","Brain","ANX","Wald ratio",1," 0.228","0.162","1.256","1.60e-01",NA,NA,NA,0.069776609
"ANK3","Brain","ANX","Wald ratio",1,"-0.156","0.111","0.855","1.61e-01",NA,NA,NA,0.061123149
"ARFIP1","Brain","ANX","Wald ratio",1,"-0.171","0.123","0.843","1.63e-01",NA,NA,NA,0.041270983
"RNF157","Brain","ANX","Wald ratio",1," 0.178","0.128","1.195","1.65e-01",NA,NA,NA,0.041539799
"SYT3","Brain","ANX","Wald ratio",1," 1.034","0.745","2.813","1.65e-01",NA,NA,NA,0.099435465
"GSDME","Brain","ANX","Wald ratio",1," 0.111","0.080","1.117","1.66e-01",NA,NA,NA,0.036032729
"CLK3P2","Brain","ANX","Wald ratio",1," 0.101","0.073","1.106","1.67e-01",NA,NA,NA,0.049266627
"MYOCOS","Brain","ANX","Wald ratio",1,"-0.136","0.098","0.873","1.67e-01",NA,NA,NA,0.034531668
"ENSG00000260288","Brain","ANX","Wald ratio",1," 0.183","0.133","1.201","1.68e-01",NA,NA,NA,0.046982211
"ENSG00000269504","Brain","ANX","Wald ratio",1,"-0.115","0.083","0.892","1.68e-01",NA,NA,NA,0.045486593
"C2orf74","Brain","ANX","Wald ratio",1," 0.093","0.068","1.098","1.70e-01",NA,NA,NA,0.032128116
"MKRN2OS","Brain","ANX","Wald ratio",1,"-0.129","0.094","0.879","1.71e-01",NA,NA,NA,0.045886459
"ATP12A","Brain","ANX","Wald ratio",1,"-0.222","0.162","0.801","1.72e-01",NA,NA,NA,0.058361333
"ENSG00000228793","Brain","ANX","Inverse variance weighted",2," 0.054","0.040","1.056","1.72e-01",NA,0.734017821,NA,0.022570301
"HDAC4","Brain","ANX","Weighted median",3," 0.061","0.045","1.063","1.72e-01",0.406360349,0.3135056,0.422959307,0.016591824
"PPP5D1P","Brain","ANX","Wald ratio",1," 0.170","0.124","1.185","1.72e-01",NA,NA,NA,0.059174429
"RNF25","Brain","ANX","Wald ratio",1," 0.087","0.064","1.091","1.73e-01",NA,NA,NA,0.032236542
"C20orf96","Brain","ANX","Wald ratio",1," 0.142","0.105","1.153","1.75e-01",NA,NA,NA,0.033757871
"TRMT61A","Brain","ANX","Wald ratio",1," 0.141","0.104","1.152","1.76e-01",NA,NA,NA,0.033499436
"CDC42BPA","Brain","ANX","Wald ratio",1,"-0.174","0.129","0.841","1.77e-01",NA,NA,NA,0.046147731
"ENSG00000260071","Brain","ANX","Wald ratio",1," 0.138","0.103","1.148","1.82e-01",NA,NA,NA,0.036272475
"LINC01915","Brain","ANX","Inverse variance weighted",2,"-0.056","0.042","0.945","1.82e-01",NA,0.646109565,NA,0.013234297
"RASGRP3","Brain","ANX","Wald ratio",1,"-0.141","0.106","0.869","1.83e-01",NA,NA,NA,0.033296108
"MAGI2","Brain","ANX","Wald ratio",1," 0.121","0.091","1.129","1.83e-01",NA,NA,NA,0.032670613
"SLC41A3","Brain","ANX","Wald ratio",1,"-0.123","0.093","0.884","1.84e-01",NA,NA,NA,0.033096887
"CASP8","Brain","ANX","Wald ratio",1,"-0.112","0.084","0.894","1.84e-01",NA,NA,NA,0.032840515
"STOX1","Brain","ANX","Wald ratio",1,"-0.151","0.114","0.860","1.84e-01",NA,NA,NA,0.039353688
"DGKI","Brain","ANX","Wald ratio",1," 0.129","0.098","1.138","1.86e-01",NA,NA,NA,0.031869533
"BTBD7","Brain","ANX","Wald ratio",1," 0.145","0.110","1.156","1.86e-01",NA,NA,NA,0.039672201
"ENSG00000225359","Brain","ANX","Wald ratio",1,"-0.087","0.066","0.917","1.86e-01",NA,NA,NA,0.032556367
"RGS9","Brain","ANX","Wald ratio",1," 0.076","0.058","1.079","1.86e-01",NA,NA,NA,0.035404647
"GET1-SH3BGR","Brain","ANX","Wald ratio",1," 0.106","0.081","1.112","1.87e-01",NA,NA,NA,0.03709281
"FAM193A","Brain","ANX","Wald ratio",1,"-0.150","0.114","0.861","1.87e-01",NA,NA,NA,0.036238655
"ENSG00000260086","Brain","ANX","Wald ratio",1,"-0.065","0.050","0.937","1.90e-01",NA,NA,NA,0.030497237
"KCNJ12","Brain","ANX","Wald ratio",1," 0.147","0.112","1.158","1.92e-01",NA,NA,NA,0.039167913
"ZNF827","Brain","ANX","Wald ratio",1," 0.131","0.100","1.140","1.93e-01",NA,NA,NA,0.031607283
"CYB5B","Brain","ANX","Wald ratio",1,"-0.092","0.070","0.912","1.93e-01",NA,NA,NA,0.031981556
"IFITM3","Brain","ANX","Wald ratio",1,"-0.207","0.160","0.813","1.95e-01",NA,NA,NA,0.064451425
"CHRNE","Brain","ANX","Wald ratio",1," 0.113","0.087","1.119","1.96e-01",NA,NA,NA,0.049947695
"MRPL15P1","Brain","ANX","Wald ratio",1," 0.151","0.117","1.162","1.98e-01",NA,NA,NA,0.033245587
"TIAM1","Brain","ANX","Wald ratio",1,"-0.196","0.153","0.822","1.99e-01",NA,NA,NA,0.043494779
"TNFAIP2","Brain","ANX","Wald ratio",1,"-0.127","0.100","0.881","2.02e-01",NA,NA,NA,0.041264405
"GGH","Brain","ANX","Wald ratio",1," 0.139","0.109","1.149","2.03e-01",NA,NA,NA,0.031737542
"ENSG00000251357","Brain","ANX","Wald ratio",1," 0.080","0.063","1.084","2.03e-01",NA,NA,NA,0.031111217
"CHD1L","Brain","ANX","Wald ratio",1,"-0.130","0.103","0.878","2.04e-01",NA,NA,NA,0.028699123
"TSPAN5","Brain","ANX","Wald ratio",1,"-0.126","0.099","0.882","2.06e-01",NA,NA,NA,0.030164303
"DMAC1","Brain","ANX","Wald ratio",1,"-0.102","0.080","0.903","2.07e-01",NA,NA,NA,0.031421852
"SLC8A3","Brain","ANX","Wald ratio",1,"-0.136","0.108","0.873","2.07e-01",NA,NA,NA,0.046112593
"AK6","Brain","ANX","Wald ratio",1,"-0.112","0.089","0.894","2.08e-01",NA,NA,NA,0.027871362
"ZNF415","Brain","ANX","Wald ratio",1," 0.063","0.050","1.065","2.08e-01",NA,NA,NA,0.027936137
"IGKV2OR2-1","Brain","ANX","Wald ratio",1," 0.130","0.103","1.138","2.09e-01",NA,NA,NA,0.050236168
"ENSG00000233754","Brain","ANX","Wald ratio",1,"-0.117","0.094","0.889","2.12e-01",NA,NA,NA,0.038572279
"CDH23","Brain","ANX","Wald ratio",1,"-0.140","0.112","0.870","2.12e-01",NA,NA,NA,0.034026961
"ING5","Brain","ANX","Wald ratio",1,"-0.205","0.165","0.815","2.15e-01",NA,NA,NA,0.047203742
"KIF25","Brain","ANX","Wald ratio",1," 0.129","0.105","1.138","2.16e-01",NA,NA,NA,0.049638957
"TRMT9B","Brain","ANX","Inverse variance weighted",2," 0.349","0.284","1.418","2.19e-01",NA,0.018927956,NA,0.920014422
"GUSBP1","Brain","ANX","Wald ratio",1,"-0.070","0.057","0.932","2.21e-01",NA,NA,NA,0.030292736
"TRHDE","Brain","ANX","Wald ratio",1,"-0.141","0.115","0.869","2.21e-01",NA,NA,NA,0.053767765
"CIT","Brain","ANX","Wald ratio",1," 0.116","0.095","1.123","2.23e-01",NA,NA,NA,0.028592666
"FAM174B","Brain","ANX","Wald ratio",1,"-0.068","0.055","0.935","2.23e-01",NA,NA,NA,0.033604836
"GNB1","Brain","ANX","Wald ratio",1," 0.072","0.059","1.074","2.23e-01",NA,NA,NA,0.026988362
"ANXA4","Brain","ANX","Wald ratio",1," 0.101","0.083","1.106","2.24e-01",NA,NA,NA,0.026669038
