Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
SLC2A13,Brain Cortex,SCZ,Wald ratio,1,0.023,0.016,1.023,0.137,NA,NA,NA,0.004837754
DYNC2H1,Brain Cortex,SCZ,Wald ratio,1,-0.031,0.021,0.97,0.138,NA,NA,NA,0.011479779
DOCK8,Brain Cortex,SCZ,Wald ratio,1,0.017,0.011,1.017,0.138,NA,NA,NA,0.012858308
LINC02671,Brain Cortex,SCZ,Wald ratio,1,0.053,0.036,1.054,0.139,NA,NA,NA,0.007053949
NALF1,Brain Cortex,SCZ,Wald ratio,1,0.048,0.032,1.049,0.14,NA,NA,NA,0.007711721
C9orf40,Brain Cortex,SCZ,Wald ratio,1,-0.044,0.03,0.956,0.14,NA,NA,NA,0.006320698
OBI1-AS1,Brain Cortex,SCZ,Wald ratio,1,-0.029,0.02,0.971,0.141,NA,NA,NA,0.01292624
LINC02668,Brain Cortex,SCZ,Wald ratio,1,0.053,0.036,1.054,0.142,NA,NA,NA,0.014155842
WSCD2,Brain Cortex,SCZ,Wald ratio,1,-0.028,0.019,0.972,0.142,NA,NA,NA,0.015234306
GULP1,Brain Cortex,SCZ,Wald ratio,1,-0.05,0.034,0.951,0.142,NA,NA,NA,0.015675937
SPA17,Brain Cortex,SCZ,Wald ratio,1,0.085,0.058,1.089,0.142,NA,NA,NA,0.007288546
ENSG00000237356,Brain Cortex,SCZ,Wald ratio,1,0.04,0.027,1.041,0.142,NA,NA,NA,0.004900488
FARP1,Brain Cortex,SCZ,Wald ratio,1,-0.054,0.037,0.948,0.143,NA,NA,NA,0.005603402
PIP4K2C,Brain Cortex,SCZ,Wald ratio,1,-0.105,0.071,0.901,0.143,NA,NA,NA,0.006712599
FANCC,Brain Cortex,SCZ,Wald ratio,1,0.091,0.062,1.095,0.144,NA,NA,NA,0.027473614
PCBP1-AS1,Brain Cortex,SCZ,Wald ratio,1,0.047,0.032,1.048,0.144,NA,NA,NA,0.024900338
