Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ARHGEF16,Lymphocyte,OCD,Wald ratio,1,1.236,1.32E-03,NA,NA,NA,0.736871257
SPATA6,Lymphocyte,OCD,Wald ratio,1,0.738,2.01E-03,NA,NA,NA,0.63814798
PCSK9,Lymphocyte,OCD,Wald ratio,1,0.908,7.80E-03,NA,NA,NA,0.304539613
CTTNBP2NL,Lymphocyte,OCD,Wald ratio,1,0.92,3.54E-02,NA,NA,NA,0.104925694
ASAP3,Lymphocyte,OCD,Wald ratio,1,1.084,4.30E-02,NA,NA,NA,0.109428891
FCER1A,Lymphocyte,OCD,Wald ratio,1,1.068,4.30E-02,NA,NA,NA,0.09869865
DNTTIP2,Lymphocyte,OCD,Wald ratio,1,0.902,4.92E-02,NA,NA,NA,0.131833588
LPAR3,Lymphocyte,OCD,Wald ratio,1,1.34,6.78E-02,NA,NA,NA,0.091137546
COPA,Lymphocyte,OCD,Wald ratio,1,0.912,9.87E-02,NA,NA,NA,0.046621587
VSIG8,Lymphocyte,OCD,Wald ratio,1,0.867,1.18E-01,NA,NA,NA,0.044263813
TSPAN2,Lymphocyte,OCD,Wald ratio,1,1.149,1.21E-01,NA,NA,NA,0.044105941
LOC100130557,Lymphocyte,OCD,Wald ratio,1,0.507,1.35E-01,NA,NA,NA,0.043503197
AJAP1,Lymphocyte,OCD,Inverse variance weighted,2,1.058,1.37E-01,NA,0.28726358,NA,0.012682192
CLCC1,Lymphocyte,OCD,Wald ratio,1,1.042,1.41E-01,NA,NA,NA,0.035886189
GLIS1,Lymphocyte,OCD,Wald ratio,1,1.046,1.63E-01,NA,NA,NA,0.037729735
CYP2J2,Lymphocyte,OCD,Wald ratio,1,2.507,1.66E-01,NA,NA,NA,0.058576995
CD160,Lymphocyte,OCD,Wald ratio,1,0.586,1.68E-01,NA,NA,NA,0.03223442
