Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
MS4A4E,Stem-cell-iPSC,ALZ,Wald ratio,1,0.743,4.77E-28,NA,NA,NA,0.890546631
BIN1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.709,1.33E-24,NA,NA,NA,0.91293307
PICALM,Stem-cell-iPSC,ALZ,Wald ratio,1,0.559,4.28E-24,NA,NA,NA,0.999999992
RNU6-2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.889,2.71E-06,NA,NA,NA,0.997792158
TSPAN14,Stem-cell-iPSC,ALZ,Wald ratio,1,0.926,5.84E-06,NA,NA,NA,0.861074703
HTRA1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.863,4.14E-05,NA,NA,NA,0.051427616
LYPD5,Stem-cell-iPSC,ALZ,Wald ratio,1,0.802,4.44E-05,NA,NA,NA,0.95313136
MEPCE,Stem-cell-iPSC,ALZ,Wald ratio,1,0.881,1.05E-04,NA,NA,NA,0.399549594
FGD3,Stem-cell-iPSC,ALZ,Wald ratio,1,1.138,1.20E-04,NA,NA,NA,0.749168814
UNC5CL,Stem-cell-iPSC,ALZ,Wald ratio,1,1.199,1.49E-04,NA,NA,NA,0.018205613
HLA-DQB1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.756,1.80E-04,NA,NA,NA,0.901053098
ACVR1B,Stem-cell-iPSC,ALZ,Wald ratio,1,0.904,3.54E-04,NA,NA,NA,0.001080024
CCDC6,Stem-cell-iPSC,ALZ,Wald ratio,1,0.91,5.51E-04,NA,NA,NA,0.123307533
CCNT2-AS1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.943,6.25E-04,NA,NA,NA,0.093080302
BST1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.944,2.02E-03,NA,NA,NA,0.036193599
TRPC4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.061,2.03E-03,NA,NA,NA,0.001182657
NCALD,Stem-cell-iPSC,ALZ,Wald ratio,1,0.869,2.25E-03,NA,NA,NA,0.001478978
RNF214,Stem-cell-iPSC,ALZ,Wald ratio,1,0.924,2.45E-03,NA,NA,NA,0.000414314
CUX1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.889,2.94E-03,NA,NA,NA,0.046192977
ANK1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.909,3.39E-03,NA,NA,NA,0.000603804
C1QTNF9B,Stem-cell-iPSC,ALZ,Wald ratio,1,1.076,3.98E-03,NA,NA,NA,0.005395362
LIFR-AS1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.935,4.37E-03,NA,NA,NA,0.000264847
SLC7A1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.077,4.88E-03,NA,NA,NA,0.021080058
CTXN3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.915,5.55E-03,NA,NA,NA,0.000424935
PDGFRL,Stem-cell-iPSC,ALZ,Wald ratio,1,0.954,5.86E-03,NA,NA,NA,0.222762352
D2HGDH,Stem-cell-iPSC,ALZ,Wald ratio,1,1.069,7.39E-03,NA,NA,NA,0.000573325
CEACAM22P,Stem-cell-iPSC,ALZ,Wald ratio,1,0.961,7.52E-03,NA,NA,NA,0.000158254
KBTBD8,Stem-cell-iPSC,ALZ,Wald ratio,1,0.933,7.57E-03,NA,NA,NA,0.000222064
LINC00882,Stem-cell-iPSC,ALZ,Wald ratio,1,0.934,9.22E-03,NA,NA,NA,0.000126029
PRKD1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.961,9.37E-03,NA,NA,NA,0.000372637
RGCC,Stem-cell-iPSC,ALZ,Wald ratio,1,1.088,9.47E-03,NA,NA,NA,0.000778701
DSC1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.246,9.76E-03,NA,NA,NA,0.121925245
APOL4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.104,1.01E-02,NA,NA,NA,0.087052286
ANO4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.064,1.09E-02,NA,NA,NA,0.125549874
MXRA7,Stem-cell-iPSC,ALZ,Wald ratio,1,1.116,1.12E-02,NA,NA,NA,0.11604079
MYOD1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.956,1.23E-02,NA,NA,NA,0.000132169
TMEM132B,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,0.964,1.23E-02,NA,0.862378722,NA,0.000139611
PDE4B,Stem-cell-iPSC,ALZ,Wald ratio,1,0.934,1.45E-02,NA,NA,NA,0.000261767
PARN,Stem-cell-iPSC,ALZ,Wald ratio,1,0.936,1.45E-02,NA,NA,NA,6.76E-05
SPPL2A,Stem-cell-iPSC,ALZ,Wald ratio,1,1.039,1.67E-02,NA,NA,NA,0.000109361
GRM8,Stem-cell-iPSC,ALZ,Wald ratio,1,0.959,1.69E-02,NA,NA,NA,4.65E-05
EIF3H,Stem-cell-iPSC,ALZ,Wald ratio,1,1.08,1.69E-02,NA,NA,NA,0.000391413
SLC24A4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.083,1.73E-02,NA,NA,NA,0.050350911
GYG1P2,Stem-cell-iPSC,ALZ,Wald ratio,1,1.051,1.73E-02,NA,NA,NA,8.36E-05
ECM1P2,Stem-cell-iPSC,ALZ,Wald ratio,1,1.044,1.75E-02,NA,NA,NA,7.24E-05
ANXA5,Stem-cell-iPSC,ALZ,Wald ratio,1,0.96,1.80E-02,NA,NA,NA,5.72E-05
INVS,Stem-cell-iPSC,ALZ,Wald ratio,1,1.037,1.84E-02,NA,NA,NA,9.41E-05
VAV2,Stem-cell-iPSC,ALZ,Wald ratio,1,1.039,1.87E-02,NA,NA,NA,9.59E-05
VSX1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.962,1.92E-02,NA,NA,NA,0.069413023
FBP1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.132,1.95E-02,NA,NA,NA,0.082825202
STARD6,Stem-cell-iPSC,ALZ,Wald ratio,1,1.074,1.96E-02,NA,NA,NA,0.057235057
SH3PXD2A,Stem-cell-iPSC,ALZ,Wald ratio,1,1.143,2.08E-02,NA,NA,NA,0.00482381
PRDM2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.905,2.17E-02,NA,NA,NA,0.000372249
MTND4LP25,Stem-cell-iPSC,ALZ,Wald ratio,1,0.964,2.31E-02,NA,NA,NA,2.26E-05
PLXND1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.073,2.34E-02,NA,NA,NA,0.005497419
RNU6-248P,Stem-cell-iPSC,ALZ,Wald ratio,1,0.966,2.44E-02,NA,NA,NA,1.30E-05
FGF5,Stem-cell-iPSC,ALZ,Wald ratio,1,1.066,2.47E-02,NA,NA,NA,0.002565166
CCNY,Stem-cell-iPSC,ALZ,Wald ratio,1,0.963,2.47E-02,NA,NA,NA,7.56E-05
CRB2,Stem-cell-iPSC,ALZ,Wald ratio,1,1.04,2.50E-02,NA,NA,NA,3.66E-05
RNU6-765P,Stem-cell-iPSC,ALZ,Wald ratio,1,0.966,2.55E-02,NA,NA,NA,0.008381155
ZNF292,Stem-cell-iPSC,ALZ,Wald ratio,1,0.89,2.65E-02,NA,NA,NA,0.000334545
CYYR1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.07,2.67E-02,NA,NA,NA,0.049441548
FBLN5,Stem-cell-iPSC,ALZ,Wald ratio,1,0.96,2.85E-02,NA,NA,NA,0.000518466
OXR1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.894,2.93E-02,NA,NA,NA,0.001994068
KCNIP3,Stem-cell-iPSC,ALZ,Wald ratio,1,1.034,2.96E-02,NA,NA,NA,9.88E-05
OTP,Stem-cell-iPSC,ALZ,Wald ratio,1,0.938,2.97E-02,NA,NA,NA,7.04E-05
SNRPCP13,Stem-cell-iPSC,ALZ,Wald ratio,1,0.882,3.04E-02,NA,NA,NA,0.000156944
CECR5-AS1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.089,3.14E-02,NA,NA,NA,0.000724246
TMEM168,Stem-cell-iPSC,ALZ,Wald ratio,1,0.933,3.17E-02,NA,NA,NA,0.000101766
RASA3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.933,3.18E-02,NA,NA,NA,0.003458688
GALNTL6,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,0.96,3.21E-02,NA,0.871807509,NA,5.63E-05
ANKDD1B,Stem-cell-iPSC,ALZ,Wald ratio,1,0.919,3.50E-02,NA,NA,NA,0.000208091
RUFY1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.932,3.55E-02,NA,NA,NA,0.005050507
TNIP3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.868,3.55E-02,NA,NA,NA,0.000401646
EIF1B,Stem-cell-iPSC,ALZ,Wald ratio,1,1.048,3.61E-02,NA,NA,NA,0.000188981
SEC16B,Stem-cell-iPSC,ALZ,Wald ratio,1,1.112,3.68E-02,NA,NA,NA,0.001190964
DPY19L4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.105,3.73E-02,NA,NA,NA,0.001154642
UGT2B15,Stem-cell-iPSC,ALZ,Wald ratio,1,1.125,3.75E-02,NA,NA,NA,0.046672945
PLEKHG7,Stem-cell-iPSC,ALZ,Wald ratio,1,1.052,3.85E-02,NA,NA,NA,0.000318008
WDYHV1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.034,3.86E-02,NA,NA,NA,0.000799185
SPARCL1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.074,4.14E-02,NA,NA,NA,0.000989678
PAK7,Stem-cell-iPSC,ALZ,Wald ratio,1,1.032,4.15E-02,NA,NA,NA,1.19E-05
IMMP2L,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,1.025,4.22E-02,NA,0.593329972,NA,3.64E-06
C1orf106,Stem-cell-iPSC,ALZ,Wald ratio,1,0.965,4.26E-02,NA,NA,NA,0.029868499
THRAP3P1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.113,4.27E-02,NA,NA,NA,0.015652042
IPO11,Stem-cell-iPSC,ALZ,Wald ratio,1,1.037,4.35E-02,NA,NA,NA,4.98E-05
VENTXP4,Stem-cell-iPSC,ALZ,Wald ratio,1,0.866,4.43E-02,NA,NA,NA,0.028151158
RARB,Stem-cell-iPSC,ALZ,Wald ratio,1,1.026,4.44E-02,NA,NA,NA,0.03394667
BTBD11,Stem-cell-iPSC,ALZ,Wald ratio,1,0.971,4.45E-02,NA,NA,NA,5.02E-05
AK4P4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.034,4.45E-02,NA,NA,NA,7.12E-05
KLRAP1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.044,4.48E-02,NA,NA,NA,3.00E-05
RIMS3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.947,4.55E-02,NA,NA,NA,3.70E-05
RNU6-725P,Stem-cell-iPSC,ALZ,Wald ratio,1,0.862,4.65E-02,NA,NA,NA,0.038102191
OXNAD1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.086,4.66E-02,NA,NA,NA,0.034403637
HERPUD2,Stem-cell-iPSC,ALZ,Wald ratio,1,1.04,4.69E-02,NA,NA,NA,7.94E-05
PROK2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.947,4.87E-02,NA,NA,NA,0.000522629
CSGALNACT1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.925,4.92E-02,NA,NA,NA,0.000750437
LINC00578,Stem-cell-iPSC,ALZ,Wald ratio,1,0.969,4.94E-02,NA,NA,NA,0.003305919
PRSS2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.97,4.95E-02,NA,NA,NA,3.57E-05
SH3YL1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.032,4.99E-02,NA,NA,NA,1.46E-05
SETP2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.937,5.01E-02,NA,NA,NA,0.010347391
FAM227A,Stem-cell-iPSC,ALZ,Wald ratio,1,1.026,5.05E-02,NA,NA,NA,9.35E-05
LDLRAD4,Stem-cell-iPSC,ALZ,Wald ratio,1,0.948,5.13E-02,NA,NA,NA,2.71E-05
CLDN10,Stem-cell-iPSC,ALZ,Wald ratio,1,1.052,5.21E-02,NA,NA,NA,1.36E-05
GRAMD4,Stem-cell-iPSC,ALZ,Wald ratio,1,0.885,5.29E-02,NA,NA,NA,0.000178182
MIR3681HG,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,1.023,5.31E-02,NA,0.499688919,NA,0.000300426
PITPNM2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.964,5.33E-02,NA,NA,NA,1.49E-05
RYR3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.933,5.33E-02,NA,NA,NA,0.005713379
OSBPL9P3,Stem-cell-iPSC,ALZ,Wald ratio,1,1.106,5.33E-02,NA,NA,NA,0.000740406
LINC01104,Stem-cell-iPSC,ALZ,Wald ratio,1,1.023,5.43E-02,NA,NA,NA,0.000908494
LINC00680,Stem-cell-iPSC,ALZ,Wald ratio,1,0.967,5.52E-02,NA,NA,NA,1.19E-05
VGLL2,Stem-cell-iPSC,ALZ,Wald ratio,1,0.854,5.56E-02,NA,NA,NA,0.027510659
KLHL31,Stem-cell-iPSC,ALZ,Wald ratio,1,0.909,5.60E-02,NA,NA,NA,0.000224516
IFIT1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.923,5.63E-02,NA,NA,NA,0.009510478
ZNF286B,Stem-cell-iPSC,ALZ,Wald ratio,1,0.912,5.63E-02,NA,NA,NA,0.043387958
PPP2R4,Stem-cell-iPSC,ALZ,Wald ratio,1,0.948,5.66E-02,NA,NA,NA,0.024663543
SRPRB,Stem-cell-iPSC,ALZ,Wald ratio,1,0.974,5.74E-02,NA,NA,NA,0.026821856
CRTAC1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.951,5.76E-02,NA,NA,NA,0.00010995
FBLN7,Stem-cell-iPSC,ALZ,Wald ratio,1,1.03,5.76E-02,NA,NA,NA,1.32E-05
WISP3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.945,5.79E-02,NA,NA,NA,7.07E-05
CBX5,Stem-cell-iPSC,ALZ,Wald ratio,1,1.076,5.81E-02,NA,NA,NA,0.000403367
FGF9,Stem-cell-iPSC,ALZ,Wald ratio,1,1.037,5.82E-02,NA,NA,NA,0.000379568
RPS2P48,Stem-cell-iPSC,ALZ,Wald ratio,1,1.029,5.86E-02,NA,NA,NA,0.029137717
AK9,Stem-cell-iPSC,ALZ,Wald ratio,1,0.974,5.92E-02,NA,NA,NA,3.79E-05
NXPH1,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,0.963,5.97E-02,NA,0.861760032,NA,1.29E-05
BUD13,Stem-cell-iPSC,ALZ,Wald ratio,1,1.023,6.04E-02,NA,NA,NA,0.004749101
C8orf37-AS1,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,0.96,6.07E-02,NA,0.524006673,NA,0.001966676
HS1BP3,Stem-cell-iPSC,ALZ,Wald ratio,1,0.97,6.11E-02,NA,NA,NA,0.000167987
SDHB,Stem-cell-iPSC,ALZ,Wald ratio,1,1.027,6.17E-02,NA,NA,NA,5.27E-05
ATP10A,Stem-cell-iPSC,ALZ,Wald ratio,1,1.057,6.31E-02,NA,NA,NA,4.59E-05
TMEM117,Stem-cell-iPSC,ALZ,Wald ratio,1,1.042,6.32E-02,NA,NA,NA,0.000768524
FAM160A1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.057,6.33E-02,NA,NA,NA,5.64E-05
IGFN1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.816,6.39E-02,NA,NA,NA,0.04277799
ALCAM,Stem-cell-iPSC,ALZ,Wald ratio,1,1.071,6.49E-02,NA,NA,NA,0.023575838
RPS3AP1,Stem-cell-iPSC,ALZ,Inverse variance weighted,2,1.022,6.50E-02,NA,0.392714689,NA,1.93E-05
MAST4,Stem-cell-iPSC,ALZ,Wald ratio,1,1.06,6.53E-02,NA,NA,NA,0.000908894
LINC01257,Stem-cell-iPSC,ALZ,Wald ratio,1,1.038,6.55E-02,NA,NA,NA,2.68E-05
RPL13AP25,Stem-cell-iPSC,ALZ,Wald ratio,1,1.063,6.55E-02,NA,NA,NA,0.000133577
MIR548XHG,Stem-cell-iPSC,ALZ,Wald ratio,1,1.025,6.58E-02,NA,NA,NA,0.000945743
LINC01272,Stem-cell-iPSC,ALZ,Wald ratio,1,1.028,6.59E-02,NA,NA,NA,0.000275652
CDH8,Stem-cell-iPSC,ALZ,Wald ratio,1,1.043,6.61E-02,NA,NA,NA,2.77E-05
VLDLR-AS1,Stem-cell-iPSC,ALZ,Wald ratio,1,1.106,6.77E-02,NA,NA,NA,0.030324336
BBS9,Stem-cell-iPSC,ALZ,Wald ratio,1,1.058,6.89E-02,NA,NA,NA,0.000236666
LINC01115,Stem-cell-iPSC,ALZ,Wald ratio,1,1.05,6.90E-02,NA,NA,NA,0.000176669
PLEKHG1,Stem-cell-iPSC,ALZ,Wald ratio,1,0.948,7.02E-02,NA,NA,NA,1.22E-05
ADGB,Stem-cell-iPSC,ALZ,Wald ratio,1,0.929,7.15E-02,NA,NA,NA,0.012213489
