Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
BIN1,Lymphocyte,ALZ,Wald ratio,1,1.108,1.18E-08,NA,NA,NA,0.995957524
SLC23A2,Lymphocyte,ALZ,Wald ratio,1,0.958,5.39E-06,NA,NA,NA,0.796992955
HLA-DQB1,Lymphocyte,ALZ,Wald ratio,1,1.041,8.87E-05,NA,NA,NA,0.922100237
NAA40,Lymphocyte,ALZ,Wald ratio,1,0.97,2.56E-04,NA,NA,NA,0.001755625
FAM96A,Lymphocyte,ALZ,Wald ratio,1,0.918,3.43E-04,NA,NA,NA,0.000372303
CASS4,Lymphocyte,ALZ,Wald ratio,1,0.957,4.73E-04,NA,NA,NA,0.726831637
DOCK10,Lymphocyte,ALZ,Wald ratio,1,1.039,8.58E-04,NA,NA,NA,0.563658717
IGHVIII-67-3,Lymphocyte,ALZ,Wald ratio,1,0.954,9.58E-04,NA,NA,NA,0.047469713
PTPRA,Lymphocyte,ALZ,Wald ratio,1,0.969,1.09E-03,NA,NA,NA,0.515407251
MARK4,Lymphocyte,ALZ,Wald ratio,1,1.043,1.20E-03,NA,NA,NA,0.010337056
MEF2A,Lymphocyte,ALZ,Wald ratio,1,1.054,1.67E-03,NA,NA,NA,0.123489426
ADAMTSL3,Lymphocyte,ALZ,Wald ratio,1,0.962,1.82E-03,NA,NA,NA,0.021313566
RPF2,Lymphocyte,ALZ,Wald ratio,1,1.051,4.05E-03,NA,NA,NA,0.27930422
CLEC16A,Lymphocyte,ALZ,Wald ratio,1,0.959,4.31E-03,NA,NA,NA,0.182830016
CTD-2210P24.6,Lymphocyte,ALZ,Wald ratio,1,0.952,4.59E-03,NA,NA,NA,0.230032083
CAPZB,Lymphocyte,ALZ,Wald ratio,1,0.965,4.97E-03,NA,NA,NA,0.064389034
BMP8A,Lymphocyte,ALZ,Wald ratio,1,1.024,5.16E-03,NA,NA,NA,0.002784715
SRCRB4D,Lymphocyte,ALZ,Wald ratio,1,1.02,5.66E-03,NA,NA,NA,0.000300003
IGHV1-69,Lymphocyte,ALZ,Wald ratio,1,0.97,6.20E-03,NA,NA,NA,0.001030076
B4GALT4,Lymphocyte,ALZ,Wald ratio,1,1.017,7.00E-03,NA,NA,NA,0.001096057
H6PD,Lymphocyte,ALZ,Wald ratio,1,0.972,7.22E-03,NA,NA,NA,0.083560892
MGAT5,Lymphocyte,ALZ,Wald ratio,1,0.978,7.44E-03,NA,NA,NA,0.001317317
DTD1,Lymphocyte,ALZ,Wald ratio,1,0.967,7.74E-03,NA,NA,NA,0.045806889
FBXO10,Lymphocyte,ALZ,Wald ratio,1,0.964,9.00E-03,NA,NA,NA,0.035517219
PLEC,Lymphocyte,ALZ,Wald ratio,1,1.047,9.11E-03,NA,NA,NA,0.114235347
HSPA4,Lymphocyte,ALZ,Wald ratio,1,0.967,1.01E-02,NA,NA,NA,0.086159926
BCAT1,Lymphocyte,ALZ,Wald ratio,1,0.975,1.01E-02,NA,NA,NA,0.162734814
AGMAT,Lymphocyte,ALZ,Wald ratio,1,1.05,1.05E-02,NA,NA,NA,0.115974648
BCAS4,Lymphocyte,ALZ,Wald ratio,1,0.958,1.11E-02,NA,NA,NA,0.003938218
SH3RF3,Lymphocyte,ALZ,Wald ratio,1,1.032,1.15E-02,NA,NA,NA,0.002026919
RPS9,Lymphocyte,ALZ,Wald ratio,1,1.06,1.33E-02,NA,NA,NA,0.056139139
SYK,Lymphocyte,ALZ,Wald ratio,1,1.036,1.35E-02,NA,NA,NA,0.103430479
RP11-693J15.3,Lymphocyte,ALZ,Wald ratio,1,1.019,1.35E-02,NA,NA,NA,0.092954353
LDLRAP1,Lymphocyte,ALZ,Wald ratio,1,0.945,1.38E-02,NA,NA,NA,0.003561515
AC005592.2,Lymphocyte,ALZ,Wald ratio,1,0.976,1.38E-02,NA,NA,NA,0.094577706
PTGIR,Lymphocyte,ALZ,Wald ratio,1,0.948,1.39E-02,NA,NA,NA,0.094495629
ARHGAP22,Lymphocyte,ALZ,Wald ratio,1,0.976,1.41E-02,NA,NA,NA,0.005373575
AHRR,Lymphocyte,ALZ,Wald ratio,1,1.048,1.48E-02,NA,NA,NA,0.008207002
AK3,Lymphocyte,ALZ,Wald ratio,1,0.967,1.49E-02,NA,NA,NA,0.093946767
CUX1,Lymphocyte,ALZ,Wald ratio,1,0.97,1.65E-02,NA,NA,NA,0.016003318
MYCBPAP,Lymphocyte,ALZ,Wald ratio,1,0.971,1.85E-02,NA,NA,NA,0.04044408
USP10,Lymphocyte,ALZ,Wald ratio,1,1.024,1.98E-02,NA,NA,NA,8.80E-06
OAS1,Lymphocyte,ALZ,Wald ratio,1,1.031,2.05E-02,NA,NA,NA,0.070258199
TLDC1,Lymphocyte,ALZ,Wald ratio,1,1.023,2.08E-02,NA,NA,NA,0.072491349
KCNN4,Lymphocyte,ALZ,Wald ratio,1,0.959,2.13E-02,NA,NA,NA,0.063460916
VAC14,Lymphocyte,ALZ,Wald ratio,1,1.025,2.24E-02,NA,NA,NA,0.078833879
ESRP1,Lymphocyte,ALZ,Wald ratio,1,0.97,2.24E-02,NA,NA,NA,0.061627996
NCALD,Lymphocyte,ALZ,Wald ratio,1,1.031,2.35E-02,NA,NA,NA,0.012643258
RERE,Lymphocyte,ALZ,Wald ratio,1,0.968,2.39E-02,NA,NA,NA,0.004741063
WDR18,Lymphocyte,ALZ,Wald ratio,1,0.955,2.70E-02,NA,NA,NA,0.056168565
MRPL42,Lymphocyte,ALZ,Wald ratio,1,0.973,2.71E-02,NA,NA,NA,0.048272064
