Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
DEP,smoking initiation ,Weighted median,0.217766772,0.035127982,5.67E-10,1.243297062,1.160575412,1.331914814,0.000800078,0.000740461,0.310689123
SCZ,Neuroticism score ,Weighted median,0.187552006,0.030941634,1.35E-09,1.206292982,1.135310752,1.281713185,1.78E-29,3.12E-29,0.849084363
PTSD,Body mass index (BMI) ,Inverse variance weighted,0.286110447,0.047373549,1.55E-09,1.331239479,1.213196111,1.460768406,6.63E-60,1.01E-59,0.813425492
DEP,Sleeplessness / insomnia ,Inverse variance weighted,0.861964027,0.142919631,1.63E-09,2.367806566,1.789330541,3.13329919,1.65E-10,2.97E-10,0.924188828
PTSD,Neuroticism score ,Weighted median,0.257990067,0.04363558,3.37E-09,1.294325962,1.188229436,1.409895804,1.78E-29,3.12E-29,0.849084363
SCZ,Neuroticism score ,Inverse variance weighted,0.241992615,0.041520674,5.60E-09,1.273784786,1.17422939,1.381780847,1.78E-29,3.12E-29,0.849084363
DEP,Educational attainment,Weighted median,0.134056054,0.023003026,5.62E-09,1.143456913,1.093047999,1.196190573,0.04184904,0.040477225,0.177159832
ASD,Qualifications: College or University degree ,Inverse variance weighted,1.038886628,0.181300242,1.00E-08,2.826068796,1.980873985,4.03188941,0.299161324,0.311386341,0.634434752
ADHD,Maternal smoking around birth ,Inverse variance weighted,3.700919295,0.650649552,1.29E-08,40.48450446,11.30953498,144.921529,0.000455772,0.000101393,0.17534613
ADHD,Maternal smoking around birth ,Inverse variance weighted,3.700919295,0.650649552,1.29E-08,40.48450446,11.30953498,144.921529,0.000455772,0.000101393,0.17534613
ADHD,Neuroticism score ,Weighted median,0.172131177,0.030512294,1.69E-08,1.187833639,1.118878765,1.261038103,1.82E-12,2.46E-12,0.677211234
ADHD,Neuroticism score ,Inverse variance weighted,0.157640447,0.028180838,2.22E-08,1.170745174,1.107833166,1.237229851,1.82E-12,2.46E-12,0.677211234
DEP,Neuroticism score ,Simple mode,0.267897321,0.04644075,7.58E-08,1.30721291,1.19348005,1.43178396,1.55E-10,6.41E-11,0.134958317
ASD,Educational attainment,MR Egger,-0.546519726,0.102680165,1.14E-07,0.578961252,0.473419757,0.708031565,7.40E-79,6.12E-79,0.267199899
ANX,Neuroticism score ,Weighted median,0.435282635,0.084907235,2.95E-07,1.545399781,1.308477771,1.825220525,0.116157396,0.088506609,0.078855935
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,2.58540254,0.505273151,3.11E-07,13.26862917,4.92866009,35.72097017,0.355063156,0.444063915,0.731465866
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,2.58540254,0.505273151,3.11E-07,13.26862917,4.92866009,35.72097017,0.355063156,0.444063915,0.731465866
PTSD,Trauma exposure ,Inverse variance weighted,0.470251172,0.092358835,3.55E-07,1.600396117,1.335395971,1.91798372,0.012004512,0.016874844,0.618837049
DEP,Body mass index (BMI) ,Inverse variance weighted,0.113789783,0.022437905,3.95E-07,1.120516548,1.072306021,1.170894606,2.57E-14,3.16E-14,0.736769716
DEP,smoking initiation ,Inverse variance weighted,0.205419801,0.040671203,4.40E-07,1.228040489,1.133946746,1.329942035,0.000800078,0.000740461,0.310689123
ED,Neuroticism score ,Inverse variance weighted,-0.197898882,0.039198657,4.45E-07,0.820452811,0.759778565,0.88597237,1.55E-10,6.41E-11,0.134958317
ADHD,Intelligence ,Weighted median,-0.370839021,0.073605986,4.70E-07,0.690155033,0.597436813,0.797262505,8.19E-17,1.09E-16,0.643105235
ED,Qualifications: College or University degree ,Inverse variance weighted,-0.952341241,0.190414902,5.69E-07,0.385836629,0.265655626,0.560386792,7.01E-11,6.87E-12,0.008009552
ADHD,smoking initiation ,Weighted mode,0.907973655,0.168053184,6.43E-07,2.479293536,1.783520847,3.446495424,3.61E-20,6.44E-21,0.153206716
ADHD,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself ",Inverse variance weighted,9.926116929,1.994948957,6.50E-07,20457.74726,409.9425276,1020922.19,NA,0.587369101,NA
BP,Neuroticism score ,Inverse variance weighted,0.165561443,0.033670638,8.78E-07,1.180055467,1.104692474,1.260559782,0.116157396,0.088506609,0.078855935
BP,Educational attainment,Inverse variance weighted,-0.189314569,0.038880206,1.12E-06,0.827526152,0.766807281,0.893052986,0.04184904,0.040477225,0.177159832
DEP,Qualifications: College or University degree ,Weighted median,-0.38043029,0.078656091,1.32E-06,0.683567214,0.585905815,0.797507251,0.299161324,0.311386341,0.634434752
SCZ,Primary sclerosing cholangitis ,Weighted mode,-0.139203801,0.01872074,2.09E-06,0.870050693,0.838704826,0.902568086,0.000522623,0.000142129,0.183882486
BP,Qualifications: College or University degree ,Weighted median,0.79445717,0.168095556,2.29E-06,2.213239258,1.591998078,3.076905733,0.299161324,0.311386341,0.634434752
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,2.743730084,0.580862374,2.32E-06,15.54486073,4.979053591,48.5318526,0.355063156,0.444063915,0.731465866
ASD,Intelligence ,Inverse variance weighted,0.425276887,0.090101274,2.36E-06,1.530014002,1.282329557,1.825539179,0.431569958,0.444654134,0.508952987
BP,Qualifications: College or University degree ,Inverse variance weighted,0.758831637,0.161134708,2.49E-06,2.135779397,1.557384185,2.928984174,0.299161324,0.311386341,0.634434752
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,2.743730084,0.593663349,3.81E-06,15.54486073,4.855683721,49.76491651,0.355063156,0.444063915,0.731465866
SCZ,Part of a multiple birth ,Wald ratio,-21.44092902,4.689803028,4.84E-06,4.88E-10,4.97E-14,4.79E-06,NA,NA,NA
DEP,Body mass index (BMI) ,Weighted median,0.121844326,0.026898372,5.90E-06,1.129578242,1.071568558,1.190728298,2.57E-14,3.16E-14,0.736769716
BP,Neuroticism score ,Weighted median,0.143180459,0.031838045,6.89E-06,1.153938021,1.084130075,1.228240954,0.116157396,0.088506609,0.078855935
SCZ,smoking initiation ,Weighted median,0.355981868,0.079645447,7.84E-06,1.427581663,1.221252281,1.668770194,2.26E-27,4.38E-27,0.991805771
DEP,Neuroticism score ,Weighted mode,0.259455103,0.055372212,8.11E-06,1.296223586,1.162910097,1.444819844,1.55E-10,6.41E-11,0.134958317
ADHD,Unable to work because of sickness or disability,MR Egger,-2.37637544,0.537835141,1.06E-05,0.092886641,0.032369705,0.266543302,4.62E-43,5.56E-43,0.728913603
PTSD,Age at first birth ,Inverse variance weighted,-0.162746127,0.037111418,1.16E-05,0.849806904,0.790187906,0.913924104,3.09E-13,1.34E-13,0.278809734
PTSD,Unable to work because of sickness or disability,MR Egger,-2.872639073,0.65827211,1.34E-05,0.056549491,0.015563102,0.205476062,0.000254644,0.000252594,0.299104165
ADHD,smoking initiation ,Simple mode,0.928661275,0.200669873,1.39E-05,2.531118437,1.708043091,3.750819037,3.61E-20,6.44E-21,0.153206716
DEP,Sleeplessness / insomnia ,Weighted median,0.565936082,0.130223806,1.39E-05,1.761095541,1.364376329,2.273168656,1.65E-10,2.97E-10,0.924188828
SCZ,smoking initiation ,Inverse variance weighted,0.415380607,0.097867466,2.19E-05,1.51494723,1.250521137,1.835286941,2.26E-27,4.38E-27,0.991805771
DEP,Iron intake,Inverse variance weighted,-1.635453517,0.386599382,2.33E-05,0.194863977,0.091338006,0.415730224,0.425825758,0.422716305,0.225977787
ADHD,Qualifications: College or University degree ,Simple mode,-2.558755681,0.596663533,2.61E-05,0.077400992,0.024035672,0.249250926,1.18E-25,1.37E-25,0.526042364
BP,Primary sclerosing cholangitis ,Weighted median,-0.073463254,0.017474018,2.62E-05,0.929170288,0.897885855,0.961544745,0.316985214,0.391643836,0.843794435
ASD,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative ",Wald ratio,15.57829669,3.7428405,3.15E-05,5828654.193,3798.377611,8944136993,NA,NA,NA
BP,"Diagnoses - main ICD10: J45.9 Asthma, unspecified ",Weighted median,-39.65129218,9.571550213,3.43E-05,6.02E-18,4.29E-26,8.46E-10,NA,NA,NA
PTSD,Educational attainment,Inverse variance weighted,0.195990546,0.047306441,3.43E-05,1.216515404,1.108790655,1.33470617,2.71E-14,1.31E-14,0.011722259
ASD,Educational attainment,Weighted median,-0.300713301,0.073012346,3.81E-05,0.740289983,0.641582499,0.854183615,7.40E-79,6.12E-79,0.267199899
ADHD,Current employment status: Retired,Inverse variance weighted,0.39211432,0.095399301,3.95E-05,1.480106908,1.227686728,1.784426277,6.63E-12,6.82E-12,0.41326421
ED,Intelligence ,Inverse variance weighted,-0.402500943,0.098057776,4.05E-05,0.668645708,0.551731268,0.810334866,1.44E-11,1.54E-11,0.454530892
OCD,Educational attainment,Inverse variance weighted,0.382120301,0.093955449,4.76E-05,1.465388362,1.218922926,1.761688953,2.71E-14,1.31E-14,0.011722259
ADHD,Trauma exposure ,Inverse variance weighted,0.455230734,0.113245705,5.82E-05,1.576537102,1.262721298,1.96834348,0.399724107,0.007397481,0.045065228
ED,Qualifications: College or University degree ,Weighted median,-0.958032824,0.238306789,5.82E-05,0.383646845,0.240481015,0.612043747,7.01E-11,6.87E-12,0.008009552
ASD,Qualifications: College or University degree ,MR Egger,2.927654413,0.728752346,7.85E-05,18.68375469,4.478552156,77.94543348,0.299161324,0.311386341,0.634434752
DEP,Trauma exposure ,Inverse variance weighted,0.146453647,0.037102779,7.91E-05,1.157721266,1.076518475,1.245049258,0.715846263,0.777849379,0.565530554
PTSD,Unable to work because of sickness or disability,Weighted median,-1.868480078,0.476082048,8.68E-05,0.154358096,0.06071279,0.392444849,0.000254644,0.000252594,0.299104165
ED,Body mass index (BMI) ,Weighted median,0.312045284,0.079906604,9.42E-05,1.366216559,1.168158223,1.597855197,2.57E-14,3.16E-14,0.736769716
BP,Primary sclerosing cholangitis ,Weighted mode,-0.084725192,0.016103707,9.59E-05,0.918764734,0.890218396,0.948226457,0.316985214,0.391643836,0.843794435
BP,smoking initiation ,Inverse variance weighted,0.325981402,0.083892349,0.000102031,1.385389603,1.175334042,1.63298627,0.40086885,0.431189543,0.98282675
DEP,Qualifications: College or University degree ,Inverse variance weighted,-0.318563457,0.08217244,0.000105853,0.727192931,0.619017683,0.854272137,0.299161324,0.311386341,0.634434752
OCD,Qualifications: College or University degree ,Inverse variance weighted,-1.283519719,0.332493572,0.000113255,0.277060407,0.144394359,0.531616817,7.01E-11,6.87E-12,0.008009552
PTSD,Body mass index (BMI) ,Weighted median,0.304560915,0.079283405,0.000122324,1.35602946,1.160865028,1.584004903,6.63E-60,1.01E-59,0.813425492
ANX,Educational attainment,Inverse variance weighted,0.350313768,0.09133663,0.000125353,1.419512876,1.186839597,1.697800454,7.40E-79,6.12E-79,0.267199899
ADHD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.301686096,1.382947516,0.000126275,200.674882,13.34456205,3017.73922,0.000731059,0.000784041,0.543584028
ADHD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.301686096,1.384372681,0.000128317,200.674882,13.30733838,3026.180526,0.000731059,0.000784041,0.543584028
ADHD,Qualifications: College or University degree ,Weighted mode,-2.120988396,0.551133788,0.000152619,0.119913048,0.040712886,0.353183979,1.18E-25,1.37E-25,0.526042364
SCZ,Unable to work because of sickness or disability,MR Egger,-1.85549442,0.498067428,0.000200055,0.156375608,0.058912229,0.415080724,0.000254644,0.000252594,0.299104165
ASD,Intelligence ,Weighted median,0.398112545,0.10801971,0.000228205,1.489011601,1.204896792,1.840120717,0.431569958,0.444654134,0.508952987
ED,Intelligence ,Weighted median,-0.378462957,0.104280528,0.000284216,0.684913342,0.558303369,0.840235456,1.44E-11,1.54E-11,0.454530892
PTSD,Trauma exposure ,Weighted median,0.462220446,0.128067787,0.000307159,1.587595244,1.235168729,2.040578423,0.012004512,0.016874844,0.618837049
ED,Educational attainment,MR Egger,0.423928531,0.119177152,0.000386408,1.527952389,1.209662401,1.92999179,0.04184904,0.040477225,0.177159832
DEP,Age at first birth ,Weighted mode,-0.130073159,0.034233909,0.000387698,0.878031193,0.821049712,0.938967232,0.000341239,0.000134204,0.098355856
ANX,Extraversion,Inverse variance weighted,0.012720866,0.00358708,0.00039068,1.01280212,1.005706409,1.019947895,3.79E-20,3.65E-20,0.300348565
BP,Unable to work because of sickness or disability,Weighted median,-1.084765374,0.30682689,0.00040711,0.337981076,0.18523202,0.616692555,0.08396925,0.086891469,0.9157505
BP,smoking initiation ,Weighted median,0.299511391,0.085022059,0.000427095,1.349199416,1.142099409,1.593853432,0.40086885,0.431189543,0.98282675
BP,Extraversion,Inverse variance weighted,0.004651447,0.001324464,0.000444839,1.004662282,1.002057612,1.007273722,0.209564815,0.211052289,0.406035228
SCZ,Type 1 diabetes ,Weighted mode,-0.025580442,0.006695323,0.0004663,0.974743965,0.962036127,0.987619666,2.89E-07,1.77E-07,0.2824836
DEP,Living alone,Weighted median,-1.292538887,0.369738907,0.000472616,0.274572788,0.13302381,0.56674227,0.38827519,0.393915525,0.750780149
SCZ,Trauma exposure ,Inverse variance weighted,0.445141668,0.12761522,0.000486366,1.560711283,1.215330233,2.004245136,0.012004512,0.016874844,0.618837049
OCD,Educational attainment,MR Egger,0.711011246,0.20384049,0.000498478,2.036049165,1.365449783,3.035993159,2.71E-14,1.31E-14,0.011722259
ED,Qualifications: College or University degree ,MR Egger,-2.756652453,0.780659293,0.00050991,0.063503996,0.013749612,0.293299726,7.01E-11,6.87E-12,0.008009552
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,4.639183464,1.335837332,0.000514933,103.4598344,7.545431594,1418.59842,0.572938675,0.151465487,0.040689839
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,4.639183464,1.335837332,0.000514933,103.4598344,7.545431594,1418.59842,0.572938675,0.151465487,0.040689839
ADHD,Age at first birth ,Weighted mode,-0.34700996,0.092653256,0.000542651,0.706798289,0.589423498,0.847546496,5.82E-09,2.33E-09,0.22057734
PTSD,smoking initiation ,Inverse variance weighted,0.280198566,0.081145541,0.000554313,1.323392567,1.12879795,1.551533546,2.26E-27,4.38E-27,0.991805771
DEP,Maternal smoking around birth ,Inverse variance weighted,0.966011824,0.280767316,0.000580397,2.627444824,1.51544312,4.555411028,0.001256999,0.00210072,0.872675286
DEP,Maternal smoking around birth ,Inverse variance weighted,0.966011824,0.280767316,0.000580397,2.627444824,1.51544312,4.555411028,0.001256999,0.00210072,0.872675286
BP,Unable to work because of sickness or disability,MR Egger,-1.587432069,0.460784646,0.000581906,0.204449952,0.082862723,0.504446161,0.08396925,0.086891469,0.9157505
DEP,Maternal smoking around birth ,Weighted median,0.888924548,0.258911303,0.000596245,2.432512194,1.464418733,4.040589923,0.001256999,0.00210072,0.872675286
ADHD,smoking initiation ,MR Egger,1.464997703,0.410510616,0.00060991,4.3275333,1.935560397,9.675515415,3.61E-20,6.44E-21,0.153206716
ADHD,Age at first birth ,Simple mode,-0.374603357,0.101459529,0.000635406,0.687561941,0.563569829,0.838833804,5.82E-09,2.33E-09,0.22057734
ADHD,Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence,Inverse variance weighted,-0.014908867,0.004410022,0.000723071,0.98520172,0.976722685,0.993754362,5.57E-09,1.67E-09,0.000624709
