Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
DAG1,Brain Meta Analysis,ED,Wald ratio,1,1.113,1.26E-06,NA,NA,NA,0.998688613
AMT,Fetal Brain,ED,Wald ratio,1,0.088,2.73E-06,NA,NA,NA,0.997457367
WDR6,Fetal Brain,ED,Wald ratio,1,17.49,2.73E-06,NA,NA,NA,0.997467473
KLHDC8B,Fetal Brain,ED,Wald ratio,1,152930300,2.73E-06,NA,NA,NA,0.997467473
GNB1,Brain Meta Analysis,ED,Wald ratio,1,1.115,8.86E-06,NA,NA,NA,0.992299444
GNB1,Fetal Brain,ED,Wald ratio,1,13.147,1.68E-05,NA,NA,NA,0.986381199
DBT,Fetal Brain,ED,Wald ratio,1,0.075,1.68E-05,NA,NA,NA,0.986380981
CALML6,Fetal Brain,ED,Wald ratio,1,0.234,1.68E-05,NA,NA,NA,0.986381199
MMP9,Fetal Brain,ED,Wald ratio,1,4.323,3.30E-05,NA,NA,NA,0.973375592
IKZF5,Fetal Brain,ED,Wald ratio,1,14.222,4.33E-05,NA,NA,NA,0.967509853
IVNS1ABP,Brain Meta Analysis,ED,Wald ratio,1,0.954,7.36E-05,NA,NA,NA,0.945599108
LHPP,Brain Cortex,ED,Wald ratio,1,1.151,7.65E-05,NA,NA,NA,0.016471753
LHPP,Fetal Brain,ED,Wald ratio,1,3.447,7.65E-05,NA,NA,NA,0.968294666
NR5A1,Fetal Brain,ED,Wald ratio,1,2.766,9.18E-05,NA,NA,NA,0.931728755
AKAP13,Brain Meta Analysis,ED,Inverse variance weighted,2,0.899,1.01E-04,NA,0.707944751,NA,0.130946014
SYCE3,Brain Meta Analysis,ED,Wald ratio,1,0.863,1.05E-04,NA,NA,NA,0.460292773
ZEB2,Brain Meta Analysis,ED,Wald ratio,1,1.141,1.11E-04,NA,NA,NA,0.92169591
LGR4,Fetal Brain,ED,Wald ratio,1,3.633,1.89E-04,NA,NA,NA,0.931201161
TMEM107,Fetal Brain,ED,Wald ratio,1,0.162,2.07E-04,NA,NA,NA,0.871959458
PRMT8,Brain Cortex,ED,Wald ratio,1,1.249,2.20E-04,NA,NA,NA,0.010030731
PSMC3,Fetal Brain,ED,Wald ratio,1,0.253,2.21E-04,NA,NA,NA,0.858476119
