Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SLC25A12,Brain Anterior cingulate cortex,ED,Wald ratio,1,1.35,4.67E-05,NA,NA,NA,0.962008623
PXDNL,Brain Prefrontal Cortex PsychENCODE,ED,Wald ratio,1,1.687,5.64E-05,NA,NA,NA,0.938257409
RNF123,Brain Amygdala,ED,Wald ratio,1,0.759,5.94E-05,NA,NA,NA,0.936299447
RBM6,Brain Putamen basal ganglia,ED,Wald ratio,1,1.131,6.33E-05,NA,NA,NA,0.950915658
CNTLN,Brain Hippocampus,ED,Wald ratio,1,1.198,7.43E-05,NA,NA,NA,0.942356891
VCL,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,0.854,8.02E-05,NA,NA,NA,0.939894356
SLC25A12,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,1.31,8.16E-05,NA,NA,NA,0.943146387
RBM6,Brain Caudate basal ganglia,ED,Wald ratio,1,1.142,8.40E-05,NA,NA,NA,0.936046137
MST1R,Brain Caudate basal ganglia,ED,Wald ratio,1,0.863,8.40E-05,NA,NA,NA,0.412802102
PRKCSH,Brain Cortex SMR,ED,Wald ratio,1,0.77,8.81E-05,NA,NA,NA,0.96300628
SPINT2,Brain Frontal Cortex,ED,Wald ratio,1,1.385,8.94E-05,NA,NA,NA,0.867868031
CBR1,Brain Cortex SMR,ED,Inverse variance weighted,2,1.144,9.09E-05,NA,0.582409598,NA,0.048923311
KRTCAP3,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,0.809,9.43E-05,NA,NA,NA,0.070955854
STX19,Brain Putamen basal ganglia,ED,Wald ratio,1,0.909,9.71E-05,NA,NA,NA,0.300326306
CNTLN,Brain Caudate basal ganglia,ED,Wald ratio,1,1.183,9.79E-05,NA,NA,NA,0.937381397
CNTLN,Brain Frontal Cortex,ED,Wald ratio,1,1.24,9.79E-05,NA,NA,NA,0.934984148
CNTLN,Brain Putamen basal ganglia,ED,Wald ratio,1,1.184,9.79E-05,NA,NA,NA,0.681585749
