Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ALDH16A1,Brain Prefrontal cortex,ED,Wald ratio,1,1.069,4.53E-04,NA,NA,NA,0.76286496
FAM131C,Brain Prefrontal cortex,ED,Wald ratio,1,1.102,6.74E-04,NA,NA,NA,0.718924543
HLA-DQB1,Brain Prefrontal cortex,ED,Wald ratio,1,0.909,7.57E-04,NA,NA,NA,0.747992592
CARMIL3,Brain Prefrontal cortex,ED,Wald ratio,1,0.932,1.23E-03,NA,NA,NA,0.581819057
TRPS1,Brain Prefrontal cortex,ED,Wald ratio,1,0.913,1.50E-03,NA,NA,NA,0.508013476
ARHGEF38,Brain Prefrontal cortex,ED,Wald ratio,1,1.071,1.79E-03,NA,NA,NA,0.51870432
ZNF385B,Brain Prefrontal cortex,ED,Wald ratio,1,1.077,1.82E-03,NA,NA,NA,0.645212531
FOXP1,Brain Prefrontal cortex,ED,Wald ratio,1,0.914,2.09E-03,NA,NA,NA,0.462151318
TTC13,Brain Prefrontal cortex,ED,Wald ratio,1,1.111,2.88E-03,NA,NA,NA,0.435852606
KIF16B,Brain Prefrontal cortex,ED,Inverse variance weighted,2,0.955,6.11E-03,NA,0.597046588,NA,0.066921544
PTPRN2,Brain Prefrontal cortex,ED,Inverse variance weighted,3,1.032,6.51E-03,0.547645443,0.818942059,0.87754452,0.010832893
PPP1R14C,Brain Prefrontal cortex,ED,Wald ratio,1,0.953,7.75E-03,NA,NA,NA,0.218590171
LHPP,Brain Prefrontal cortex,ED,Wald ratio,1,1.045,9.40E-03,NA,NA,NA,0.175370554
TSNARE1,Brain Prefrontal cortex,ED,Wald ratio,1,1.055,1.03E-02,NA,NA,NA,0.150949285
ANO2,Brain Prefrontal cortex,ED,Wald ratio,1,1.054,1.12E-02,NA,NA,NA,0.15257672
DCC,Brain Prefrontal cortex,ED,Wald ratio,1,0.95,1.13E-02,NA,NA,NA,0.155403114
PIAS4,Brain Prefrontal cortex,ED,Wald ratio,1,0.945,1.28E-02,NA,NA,NA,0.141033836
ABCA1,Brain Prefrontal cortex,ED,Wald ratio,1,1.111,1.30E-02,NA,NA,NA,0.175074149
SLC5A10,Brain Prefrontal cortex,ED,Wald ratio,1,1.129,1.42E-02,NA,NA,NA,0.15972826
PRDX1,Brain Prefrontal cortex,ED,Wald ratio,1,0.895,1.53E-02,NA,NA,NA,0.116040755
PTPRN2,Brain Prefrontal cortex,ED,Weighted median,3,1.032,1.85E-02,0.547645443,0.818942059,0.87754452,0.010832893
SLC41A3,Brain Prefrontal cortex,ED,Wald ratio,1,1.036,1.89E-02,NA,NA,NA,0.103654461
FRY,Brain Prefrontal cortex,ED,Wald ratio,1,1.051,1.93E-02,NA,NA,NA,0.109051035
MET,Brain Prefrontal cortex,ED,Wald ratio,1,1.061,2.08E-02,NA,NA,NA,0.087729139
JKAMP,Brain Prefrontal cortex,ED,Wald ratio,1,1.067,2.36E-02,NA,NA,NA,0.081739833
VPS53,Brain Prefrontal cortex,ED,Inverse variance weighted,2,0.968,2.47E-02,NA,0.331758566,NA,0.024152737
PLEKHG7,Brain Prefrontal cortex,ED,Wald ratio,1,0.923,2.47E-02,NA,NA,NA,0.076099283
GPATCH2,Brain Prefrontal cortex,ED,Wald ratio,1,1.081,2.49E-02,NA,NA,NA,0.078544315
LATS2,Brain Prefrontal cortex,ED,Wald ratio,1,1.085,2.55E-02,NA,NA,NA,0.077829876
TYW1,Brain Prefrontal cortex,ED,Wald ratio,1,0.957,2.61E-02,NA,NA,NA,0.085325002
EGFR,Brain Prefrontal cortex,ED,Wald ratio,1,0.954,2.88E-02,NA,NA,NA,0.103963507
ARHGEF18,Brain Prefrontal cortex,ED,Wald ratio,1,0.932,2.96E-02,NA,NA,NA,0.081966052
SLC38A9,Brain Prefrontal cortex,ED,Wald ratio,1,1.061,2.97E-02,NA,NA,NA,0.070083324
DDX11,Brain Prefrontal cortex,ED,Wald ratio,1,0.955,3.22E-02,NA,NA,NA,0.08173345
ABCA7,Brain Prefrontal cortex,ED,Wald ratio,1,1.095,3.50E-02,NA,NA,NA,0.073338355
SLC66A2,Brain Prefrontal cortex,ED,Wald ratio,1,0.967,3.64E-02,NA,NA,NA,0.058102074
PLCB4,Brain Prefrontal cortex,ED,Wald ratio,1,1.047,3.80E-02,NA,NA,NA,0.054232938
SLC8A2,Brain Prefrontal cortex,ED,Wald ratio,1,1.082,3.92E-02,NA,NA,NA,0.062238666
PPP4R4,Brain Prefrontal cortex,ED,Wald ratio,1,1.055,4.08E-02,NA,NA,NA,0.072243941
CUBN,Brain Prefrontal cortex,ED,Wald ratio,1,0.945,4.10E-02,NA,NA,NA,0.051868765
RACK1,Brain Prefrontal cortex,ED,Wald ratio,1,1.072,4.17E-02,NA,NA,NA,0.060832172
EPHB2,Brain Prefrontal cortex,ED,Wald ratio,1,0.939,4.19E-02,NA,NA,NA,0.053963412
WDR7,Brain Prefrontal cortex,ED,Wald ratio,1,1.05,4.87E-02,NA,NA,NA,0.045398254
TMEM132C,Brain Prefrontal cortex,ED,Wald ratio,1,0.942,5.01E-02,NA,NA,NA,0.036832681
CHCHD3,Brain Prefrontal cortex,ED,Wald ratio,1,1.042,5.23E-02,NA,NA,NA,0.042057325
ITPR2,Brain Prefrontal cortex,ED,Wald ratio,1,1.093,5.25E-02,NA,NA,NA,0.04809786
RPTOR,Brain Prefrontal cortex,ED,Inverse variance weighted,2,0.955,5.56E-02,NA,0.824343351,NA,0.015052165
DIP2C,Brain Prefrontal cortex,ED,Wald ratio,1,1.03,6.27E-02,NA,NA,NA,0.036918802
CKMT2,Brain Prefrontal cortex,ED,Wald ratio,1,0.947,6.29E-02,NA,NA,NA,0.027565168
MAD1L1,Brain Prefrontal cortex,ED,Wald ratio,1,1.058,6.62E-02,NA,NA,NA,0.037767581
JAZF1,Brain Prefrontal cortex,ED,Wald ratio,1,0.957,6.84E-02,NA,NA,NA,0.041956714
ITGB3,Brain Prefrontal cortex,ED,Wald ratio,1,0.932,6.92E-02,NA,NA,NA,0.0341473
ARHGEF7,Brain Prefrontal cortex,ED,Wald ratio,1,1.043,7.05E-02,NA,NA,NA,0.033416036
MYH15,Brain Prefrontal cortex,ED,Wald ratio,1,0.975,7.33E-02,NA,NA,NA,0.036208061
NCOA7,Brain Prefrontal cortex,ED,Wald ratio,1,0.946,7.61E-02,NA,NA,NA,0.030974512
CECR2,Brain Prefrontal cortex,ED,Wald ratio,1,1.034,7.84E-02,NA,NA,NA,0.033709064
SLC8A1,Brain Prefrontal cortex,ED,Wald ratio,1,0.951,8.01E-02,NA,NA,NA,0.029832933
COL22A1,Brain Prefrontal cortex,ED,Wald ratio,1,0.943,8.28E-02,NA,NA,NA,0.036940441
DNAJC15,Brain Prefrontal cortex,ED,Wald ratio,1,0.941,8.63E-02,NA,NA,NA,0.032854905
PNLDC1,Brain Prefrontal cortex,ED,Wald ratio,1,0.97,8.68E-02,NA,NA,NA,0.028970966
HPR,Brain Prefrontal cortex,ED,Wald ratio,1,1.047,8.75E-02,NA,NA,NA,0.034320161
RIMS2,Brain Prefrontal cortex,ED,Wald ratio,1,1.066,8.80E-02,NA,NA,NA,0.037889772
PIGP,Brain Prefrontal cortex,ED,Wald ratio,1,0.93,9.37E-02,NA,NA,NA,0.027296143
HEATR4,Brain Prefrontal cortex,ED,Wald ratio,1,0.969,9.51E-02,NA,NA,NA,0.026428538
SLC6A3,Brain Prefrontal cortex,ED,Wald ratio,1,0.969,9.56E-02,NA,NA,NA,0.032169221
GOLGA8B,Brain Prefrontal cortex,ED,Wald ratio,1,1.046,9.70E-02,NA,NA,NA,0.026314148
GHRL,Brain Prefrontal cortex,ED,Wald ratio,1,0.958,9.76E-02,NA,NA,NA,0.025529949
MYRFL,Brain Prefrontal cortex,ED,Wald ratio,1,1.043,9.77E-02,NA,NA,NA,0.02913062
GAS7,Brain Prefrontal cortex,ED,Wald ratio,1,1.056,1.01E-01,NA,NA,NA,0.025988655
MARCHF6,Brain Prefrontal cortex,ED,Wald ratio,1,1.049,1.01E-01,NA,NA,NA,0.04018045
ABCB8,Brain Prefrontal cortex,ED,Wald ratio,1,1.051,1.03E-01,NA,NA,NA,0.038078725
DOCK8,Brain Prefrontal cortex,ED,Wald ratio,1,1.068,1.03E-01,NA,NA,NA,0.02518586
MYT1L,Brain Prefrontal cortex,ED,Wald ratio,1,0.952,1.04E-01,NA,NA,NA,0.022965604
