Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PDSS2,Excitatory neurons,DEP,Wald ratio,1,1.129,1.55E-04,NA,NA,NA,0.000789348
CPNE8,Epen1_D30,DEP,Wald ratio,1,0.951,1.61E-04,NA,NA,NA,0.729766215
CRYM,Sert_D52,DEP,Wald ratio,1,0.959,1.66E-04,NA,NA,NA,0.737559959
CRYM,Sert_D52_ROT,DEP,Wald ratio,1,0.966,1.66E-04,NA,NA,NA,0.737547435
TMEM242,Inhibitory neurons,DEP,Wald ratio,1,0.916,1.77E-04,NA,NA,NA,0.000310151
LINC01680,Excitatory neurons,DEP,Wald ratio,1,0.936,1.89E-04,NA,NA,NA,0.007351502
PDCD11,P_FPP_D11,DEP,Wald ratio,1,0.941,1.89E-04,NA,NA,NA,0.636354628
PM20D1,Excitatory neurons,DEP,Wald ratio,1,1.021,2.12E-04,NA,NA,NA,0.676770393
PM20D1,Endothelial cells,DEP,Wald ratio,1,1.032,2.12E-04,NA,NA,NA,0.008303691
PM20D1,Inhibitory neurons,DEP,Wald ratio,1,1.021,2.12E-04,NA,NA,NA,0.676770393
SLC26A9,Astrocytes,DEP,Wald ratio,1,1.041,2.12E-04,NA,NA,NA,0.000887277
SQOR,Astrocytes,DEP,Wald ratio,1,1.049,2.12E-04,NA,NA,NA,0.004841389
PM20D1,OPCs / COPs,DEP,Wald ratio,1,1.027,2.12E-04,NA,NA,NA,0.676277333
PM20D1,Astrocytes,DEP,Wald ratio,1,1.029,2.12E-04,NA,NA,NA,0.676770377
RAB7L1,Sert_D52,DEP,Wald ratio,1,1.046,2.12E-04,NA,NA,NA,0.67050476
TUBGCP3,Inhibitory neurons,DEP,Wald ratio,1,0.912,2.38E-04,NA,NA,NA,0.00017374
FCHSD1,Astrocytes,DEP,Wald ratio,1,0.93,2.56E-04,NA,NA,NA,0.000735436
ZBTB25,Excitatory neurons,DEP,Wald ratio,1,0.921,2.60E-04,NA,NA,NA,0.00688118
ZBTB25,Inhibitory neurons,DEP,Wald ratio,1,0.935,2.60E-04,NA,NA,NA,0.000939247
TTC12,Excitatory neurons,DEP,Wald ratio,1,0.979,2.78E-04,NA,NA,NA,0.698239114
TTC12,OPCs / COPs,DEP,Wald ratio,1,0.966,2.78E-04,NA,NA,NA,0.005922953
TTC12,Oligodendrocytes,DEP,Wald ratio,1,0.953,2.78E-04,NA,NA,NA,0.031237714
TTC12,Inhibitory neurons,DEP,Wald ratio,1,0.979,2.78E-04,NA,NA,NA,0.696446398
GNL3,Epen1_D52_ROT,DEP,Wald ratio,1,1.039,2.86E-04,NA,NA,NA,0.605668257
SPECC1,Oligodendrocytes,DEP,Wald ratio,1,0.949,3.02E-04,NA,NA,NA,0.321063517
SFRP4,Excitatory neurons,DEP,Wald ratio,1,1.069,3.30E-04,NA,NA,NA,0.000503048
SLC36A4,OPCs / COPs,DEP,Wald ratio,1,1.043,3.37E-04,NA,NA,NA,0.001350702
GLRX5,Endothelial cells,DEP,Wald ratio,1,0.938,3.52E-04,NA,NA,NA,0.000220169
ZNF407,Inhibitory neurons,DEP,Wald ratio,1,0.917,3.59E-04,NA,NA,NA,0.000180146
TTLL3,Endothelial cells,DEP,Wald ratio,1,1.038,3.84E-04,NA,NA,NA,0.000411513
TCTEX1D1,Excitatory neurons,DEP,Wald ratio,1,0.952,3.85E-04,NA,NA,NA,0.013700389
CAMK2D,Endothelial cells,DEP,Wald ratio,1,1.057,4.04E-04,NA,NA,NA,0.000253946
WDR1,Oligodendrocytes,DEP,Wald ratio,1,0.937,4.04E-04,NA,NA,NA,0.0001718
PPIF,Oligodendrocytes,DEP,Wald ratio,1,0.922,4.13E-04,NA,NA,NA,0.000300512
EXOC4,Microglia,DEP,Wald ratio,1,1.095,4.16E-04,NA,NA,NA,0.000124156
UBE3D,Epen1_D52_ROT,DEP,Wald ratio,1,1.05,4.16E-04,NA,NA,NA,0.104979294
AC104088.1,Endothelial cells,DEP,Wald ratio,1,1.031,4.18E-04,NA,NA,NA,0.000150915
LINC02143,Excitatory neurons,DEP,Wald ratio,1,1.054,4.30E-04,NA,NA,NA,0.005603426
GZMB,Endothelial cells,DEP,Wald ratio,1,1.036,4.42E-04,NA,NA,NA,0.000197029
TRPS1,Oligodendrocytes,DEP,Wald ratio,1,1.031,4.45E-04,NA,NA,NA,0.505067165
ZNF638,Excitatory neurons,DEP,Wald ratio,1,0.866,4.47E-04,NA,NA,NA,0.000807076
TEX30,Endothelial cells,DEP,Wald ratio,1,0.948,5.08E-04,NA,NA,NA,0.000185162
