Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RNU6-1103P,Stem-cell-iPSC,DEP,Wald ratio,1,0.972,3.29E-05,NA,NA,NA,0.088604417
TTC28,Stem-cell-iPSC,DEP,Wald ratio,1,1.068,5.75E-05,NA,NA,NA,0.121271817
SGIP1,Stem-cell-iPSC,DEP,Wald ratio,1,0.901,1.02E-04,NA,NA,NA,0.80405833
RARB,Stem-cell-iPSC,DEP,Wald ratio,1,0.979,1.03E-04,NA,NA,NA,0.79270008
LINC01088,Stem-cell-iPSC,DEP,Wald ratio,1,1.02,1.65E-04,NA,NA,NA,0.035167492
RPL5P28,Stem-cell-iPSC,DEP,Wald ratio,1,0.933,1.77E-04,NA,NA,NA,0.745341366
IPO11,Stem-cell-iPSC,DEP,Wald ratio,1,0.971,2.19E-04,NA,NA,NA,0.002621683
CNTN5,Stem-cell-iPSC,DEP,Wald ratio,1,1.027,2.46E-04,NA,NA,NA,0.002194128
WDPCP,Stem-cell-iPSC,DEP,Wald ratio,1,0.963,3.13E-04,NA,NA,NA,0.001473105
RNU6-812P,Stem-cell-iPSC,DEP,Wald ratio,1,0.921,3.28E-04,NA,NA,NA,0.428953407
PDE4B,Stem-cell-iPSC,DEP,Wald ratio,1,0.958,4.08E-04,NA,NA,NA,0.0029669
TEC,Stem-cell-iPSC,DEP,Wald ratio,1,0.925,4.85E-04,NA,NA,NA,0.496503844
STARD6,Stem-cell-iPSC,DEP,Wald ratio,1,0.955,5.07E-04,NA,NA,NA,0.422156289
ARHGEF7,Stem-cell-iPSC,DEP,Wald ratio,1,1.054,5.51E-04,NA,NA,NA,0.454759271
PDP1,Stem-cell-iPSC,DEP,Wald ratio,1,0.976,6.00E-04,NA,NA,NA,0.061470653
MIR8070,Stem-cell-iPSC,DEP,Wald ratio,1,0.807,6.74E-04,NA,NA,NA,0.46981172
SHANK2,Stem-cell-iPSC,DEP,Wald ratio,1,0.961,8.58E-04,NA,NA,NA,0.000237958
TRPS1,Stem-cell-iPSC,DEP,Wald ratio,1,0.955,9.59E-04,NA,NA,NA,0.001953444
GHR,Stem-cell-iPSC,DEP,Wald ratio,1,1.021,1.13E-03,NA,NA,NA,0.000634128
PPP3CC,Stem-cell-iPSC,DEP,Wald ratio,1,1.021,1.13E-03,NA,NA,NA,0.000190031
CACNA2D1,Stem-cell-iPSC,DEP,Wald ratio,1,0.977,1.15E-03,NA,NA,NA,0.004137148
B3GNTL1,Stem-cell-iPSC,DEP,Wald ratio,1,1.077,1.19E-03,NA,NA,NA,0.293266659
NREP-AS1,Stem-cell-iPSC,DEP,Wald ratio,1,0.948,1.50E-03,NA,NA,NA,0.147712888
MAMDC2-AS1,Stem-cell-iPSC,DEP,Wald ratio,1,0.957,1.57E-03,NA,NA,NA,0.000763144
CTNNA1,Stem-cell-iPSC,DEP,Wald ratio,1,1.022,1.89E-03,NA,NA,NA,0.000144805
CCDC188,Stem-cell-iPSC,DEP,Wald ratio,1,1.025,1.89E-03,NA,NA,NA,0.000589326
RPSAP74,Stem-cell-iPSC,DEP,Wald ratio,1,0.982,2.01E-03,NA,NA,NA,0.208994342
CYP4X1,Stem-cell-iPSC,DEP,Wald ratio,1,0.946,2.06E-03,NA,NA,NA,0.03085196
DPY19L2P2,Stem-cell-iPSC,DEP,Wald ratio,1,1.096,2.22E-03,NA,NA,NA,0.195771948
LINC01122,Stem-cell-iPSC,DEP,Wald ratio,1,0.961,2.36E-03,NA,NA,NA,0.000562774
MEPE,Stem-cell-iPSC,DEP,Wald ratio,1,1.029,2.49E-03,NA,NA,NA,0.282556577
CD34,Stem-cell-iPSC,DEP,Wald ratio,1,1.036,2.51E-03,NA,NA,NA,0.001425993
INTS7,Stem-cell-iPSC,DEP,Wald ratio,1,0.98,2.70E-03,NA,NA,NA,4.62E-05
MEAF6P1,Stem-cell-iPSC,DEP,Wald ratio,1,0.985,2.91E-03,NA,NA,NA,0.095334453
FAM135B,Stem-cell-iPSC,DEP,Wald ratio,1,1.023,3.01E-03,NA,NA,NA,0.000227546
SH3RF3,Stem-cell-iPSC,DEP,Wald ratio,1,1.039,3.13E-03,NA,NA,NA,0.099006611
LYRM4,Stem-cell-iPSC,DEP,Wald ratio,1,0.964,3.13E-03,NA,NA,NA,0.147168736
KANK4,Stem-cell-iPSC,DEP,Wald ratio,1,1.021,3.35E-03,NA,NA,NA,0.000133546
RNF123,Stem-cell-iPSC,DEP,Wald ratio,1,1.031,3.39E-03,NA,NA,NA,6.20E-05
