Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
DGLA,BannerBBDP,BP,Wald ratio,1,3639.01,1.45E-11,NA,NA,NA,6.46E-05
FEN1,BannerBBDP,BP,Wald ratio,1,91.469,1.45E-11,NA,NA,NA,0.000401278
FADS2,BannerBBDP,BP,Inverse variance weighted,2,0.558,1.85E-11,NA,0.468122569,NA,0.005642284
ADDG,ROSMAP,BP,Inverse variance weighted,2,0.093,8.57E-11,NA,0.348798397,NA,0.920769808
ADDG,BannerBBDP,BP,Wald ratio,1,0.055,1.59E-10,NA,NA,NA,4.28E-08
MCTP1,ROSMAP,BP,Inverse variance weighted,6,4.726,4.38E-10,0.421124582,0.486185626,0.494680512,1.67E-05
GNL3,ROSMAP,BP,Wald ratio,1,136.164,4.23E-09,NA,NA,NA,4.52E-05
BLTP1,BannerBBDP,BP,Wald ratio,1,25.514,1.35E-08,NA,NA,NA,0.000270926
GSDME,ROSMAP,BP,Wald ratio,1,0.348,2.58E-08,NA,NA,NA,0.999029342
SNP23,ROSMAP,BP,Wald ratio,1,834382500,5.38E-08,NA,NA,NA,1.93E-07
LRC57,ROSMAP,BP,Wald ratio,1,0.149,5.38E-08,NA,NA,NA,5.76E-07
SUGP1,ROSMAP,BP,Wald ratio,1,0.319,1.49E-07,NA,NA,NA,1.45E-06
HPLN4,ROSMAP,BP,Wald ratio,1,0.106,1.49E-07,NA,NA,NA,6.82E-07
PACN2,ROSMAP,BP,Wald ratio,1,0.193,3.28E-07,NA,NA,NA,2.39E-06
ARFG3,ROSMAP,BP,Inverse variance weighted,2,0,3.51E-07,NA,0.699854868,NA,0.000685149
CUL4A,ROSMAP,BP,Wald ratio,1,44693600,5.72E-07,NA,NA,NA,4.31E-08
CDR2L,BannerBBDP,BP,Inverse variance weighted,2,348.815,7.23E-07,NA,0.328525229,NA,0.000302498
TBR1,ROSMAP,BP,Inverse variance weighted,2,0.049,8.69E-07,NA,0.51260217,NA,1.88E-05
PGPI,ROSMAP,BP,Inverse variance weighted,3,0.3,1.51E-06,0.185409533,0.287441305,0.633303081,9.85E-07
U520,BannerBBDP,BP,Wald ratio,1,0,1.55E-06,NA,NA,NA,1.24E-06
CIAO1,BannerBBDP,BP,Wald ratio,1,0,1.55E-06,NA,NA,NA,2.77E-08
TM127,BannerBBDP,BP,Wald ratio,1,0.033,1.55E-06,NA,NA,NA,7.29E-08
MARK2,BannerBBDP,BP,Wald ratio,1,0,1.88E-06,NA,NA,NA,0.000144104
ERF1,ROSMAP,BP,Inverse variance weighted,2,0.004,2.59E-06,NA,0.367346214,NA,1.05E-07
ARL3,BannerBBDP,BP,Wald ratio,1,0.323,3.38E-06,NA,NA,NA,3.20E-06
SYYC,BannerBBDP,BP,Inverse variance weighted,3,0.07,3.39E-06,0.171064025,0.389659648,0.950508283,1.07E-05
DNPH1,BannerBBDP,BP,Inverse variance weighted,2,0.265,4.39E-06,NA,0.837115044,NA,7.65E-08
