Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ZNF396,Brain,BP,Wald ratio,1,0.943,3.01E-02,NA,NA,NA,0.047207907
ZNF500,Brain,BP,Wald ratio,1,1.061,3.10E-02,NA,NA,NA,0.046517519
ENSG00000286679,Brain,BP,Wald ratio,1,0.962,3.11E-02,NA,NA,NA,0.049618525
TM2D3,Brain,BP,Wald ratio,1,0.944,3.19E-02,NA,NA,NA,0.045515621
LRRIQ4,Brain,BP,Wald ratio,1,0.949,3.26E-02,NA,NA,NA,0.044287145
C20orf96,Brain,BP,Wald ratio,1,0.927,3.38E-02,NA,NA,NA,0.044265031
CASP7,Brain,BP,Wald ratio,1,1.061,3.40E-02,NA,NA,NA,0.044903724
ENSG00000228852,Brain,BP,Wald ratio,1,0.905,3.56E-02,NA,NA,NA,0.058327694
CERT1,Brain,BP,Wald ratio,1,1.095,3.70E-02,NA,NA,NA,0.057331464
ENSG00000223646,Brain,BP,Wald ratio,1,0.933,3.72E-02,NA,NA,NA,0.044841654
TRHDE,Brain,BP,Wald ratio,1,1.081,3.73E-02,NA,NA,NA,0.076371122
OBI1,Brain,BP,Wald ratio,1,0.955,3.73E-02,NA,NA,NA,0.04511678
JAKMIP3,Brain,BP,Inverse variance weighted,2,0.956,3.86E-02,NA,0.768963133,NA,0.014196086
ITGB3,Brain,BP,Wald ratio,1,1.032,4.00E-02,NA,NA,NA,0.036711405
MSRA,Brain,BP,Wald ratio,1,0.808,4.16E-02,NA,NA,NA,0.114105983
PLCH2,Brain,BP,Wald ratio,1,1.092,4.23E-02,NA,NA,NA,0.058631529
CRELD2,Brain,BP,Wald ratio,1,1.119,4.41E-02,NA,NA,NA,0.053145669
SIRT5,Brain,BP,Wald ratio,1,1.053,4.44E-02,NA,NA,NA,0.036458855
EPHA10,Brain,BP,Wald ratio,1,1.036,4.55E-02,NA,NA,NA,0.037454673
NOTCH1,Brain,BP,Wald ratio,1,1.048,4.55E-02,NA,NA,NA,0.036401499
SPATC1L,Brain,BP,Wald ratio,1,0.944,4.64E-02,NA,NA,NA,0.042105504
PIP4P2,Brain,BP,Wald ratio,1,1.063,4.65E-02,NA,NA,NA,0.03710789
ENSG00000262633,Brain,BP,Wald ratio,1,1.04,4.65E-02,NA,NA,NA,0.035433397
C8orf34,Brain,BP,Wald ratio,1,0.933,4.66E-02,NA,NA,NA,0.032732404
TMED4,Brain,BP,Wald ratio,1,0.963,4.67E-02,NA,NA,NA,0.033030829
ATXN2,Brain,BP,Wald ratio,1,0.922,4.74E-02,NA,NA,NA,0.038799927
ICE2,Brain,BP,Wald ratio,1,1.076,4.76E-02,NA,NA,NA,0.035438402
DENND6B,Brain,BP,Wald ratio,1,1.09,4.80E-02,NA,NA,NA,0.057473222
ZC3H3,Brain,BP,Wald ratio,1,0.97,4.80E-02,NA,NA,NA,0.043119046
CIPC,Brain,BP,Wald ratio,1,0.933,4.87E-02,NA,NA,NA,0.034470526
ENSG00000262039,Brain,BP,Wald ratio,1,0.93,4.89E-02,NA,NA,NA,0.032427878
COL26A1,Brain,BP,Wald ratio,1,1.071,5.02E-02,NA,NA,NA,0.031469763
PRODH,Brain,BP,Wald ratio,1,0.924,5.08E-02,NA,NA,NA,0.034868352
PTCH1,Brain,BP,Wald ratio,1,0.92,5.10E-02,NA,NA,NA,0.045565751
NTM,Brain,BP,Wald ratio,1,0.939,5.11E-02,NA,NA,NA,0.032855424
CNTN3,Brain,BP,Wald ratio,1,0.865,5.13E-02,NA,NA,NA,0.076065572
YEATS2,Brain,BP,Wald ratio,1,1.065,5.14E-02,NA,NA,NA,0.031168458
RMI2,Brain,BP,Wald ratio,1,1.041,5.16E-02,NA,NA,NA,0.030143087
CCDC77,Brain,BP,Wald ratio,1,1.06,5.20E-02,NA,NA,NA,0.033627349
TMEM132C,Brain,BP,Wald ratio,1,0.938,5.34E-02,NA,NA,NA,0.031706386
