Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CACNA1C,Brain Cortex,BP,Wald ratio,1,1.29,1.68E-13,NA,NA,NA,0.337665411
FADS2,Fetal Brain,BP,Wald ratio,1,0.005,1.31E-12,NA,NA,NA,0.999999997
FADS2,Brain Meta Analysis,BP,Wald ratio,1,0.863,2.35E-09,NA,NA,NA,0.999992587
ALOX5AP,Brain Meta Analysis,BP,Wald ratio,1,1.115,5.23E-08,NA,NA,NA,0.99992137
HTR6,Fetal Brain,BP,Wald ratio,1,3.831,1.12E-07,NA,NA,NA,0.99983775
BCL11B,Brain Cortex,BP,Wald ratio,1,0.843,1.19E-07,NA,NA,NA,0.009119044
ZNF389,Fetal Brain,BP,Wald ratio,1,0.533,2.60E-07,NA,NA,NA,0.99967938
ZSCAN16,Fetal Brain,BP,Wald ratio,1,0.035,2.60E-07,NA,NA,NA,0.99967903
GRINA,Fetal Brain,BP,Wald ratio,1,3.04,2.66E-07,NA,NA,NA,0.99961783
PLEC1,Fetal Brain,BP,Wald ratio,1,0.371,2.66E-07,NA,NA,NA,0.999616636
PACSIN2,Brain Meta Analysis,BP,Wald ratio,1,0.956,4.61E-07,NA,NA,NA,0.999345878
PCDHA1,Brain Meta Analysis,BP,Wald ratio,1,0.882,5.43E-07,NA,NA,NA,0.999264206
C15orf53,Fetal Brain,BP,Wald ratio,1,6.293,7.41E-07,NA,NA,NA,0.999025275
WDR73,Fetal Brain,BP,Wald ratio,1,0.001,1.44E-06,NA,NA,NA,0.998025761
IL21,Fetal Brain,BP,Wald ratio,1,1.48,1.66E-06,NA,NA,NA,0.99786215
TRANK1,Fetal Brain,BP,Wald ratio,1,2.523,3.01E-06,NA,NA,NA,0.99600987
KIAA0892,Fetal Brain,BP,Wald ratio,1,4915987.662,3.47E-06,NA,NA,NA,0.996251951
SLC12A5,Brain Cortex,BP,Wald ratio,1,1.099,5.43E-06,NA,NA,NA,0.993753039
ITIH4,Fetal Brain,BP,Wald ratio,1,0.561,6.66E-06,NA,NA,NA,0.992740868
ZNF318,Brain Meta Analysis,BP,Wald ratio,1,1.078,8.18E-06,NA,NA,NA,0.993361362
KDM2B,Brain Meta Analysis,BP,Wald ratio,1,1.084,8.29E-06,NA,NA,NA,0.019871922
INSYN1,Brain Meta Analysis,BP,Wald ratio,1,0.859,8.66E-06,NA,NA,NA,0.991059959
PLCL1,Fetal Brain,BP,Wald ratio,1,0,9.00E-06,NA,NA,NA,0.989360348
INSYN2B,Brain Meta Analysis,BP,Wald ratio,1,0.924,9.49E-06,NA,NA,NA,0.988593681
