Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NEK4,Brain Prefrontal cortex,BP,Wald ratio,1,1.135,1.97E-09,NA,NA,NA,0.99998798
RPS6KA2,Brain Prefrontal cortex,BP,Wald ratio,1,1.089,3.17E-08,NA,NA,NA,0.999950094
CERS6,Brain Prefrontal cortex,BP,Wald ratio,1,0.9,4.90E-08,NA,NA,NA,0.99974788
SH3RF3,Brain Prefrontal cortex,BP,Wald ratio,1,1.094,1.52E-07,NA,NA,NA,0.999776873
CDAN1,Brain Prefrontal cortex,BP,Wald ratio,1,1.112,1.50E-05,NA,NA,NA,0.984828968
MYH15,Brain Prefrontal cortex,BP,Wald ratio,1,1.04,5.40E-05,NA,NA,NA,0.94723443
LYPLA1,Brain Prefrontal cortex,BP,Wald ratio,1,0.871,7.21E-05,NA,NA,NA,0.940391815
TSNARE1,Brain Prefrontal cortex,BP,Wald ratio,1,0.944,8.65E-05,NA,NA,NA,0.911082145
PCDHB16,Brain Prefrontal cortex,BP,Wald ratio,1,1.045,1.40E-04,NA,NA,NA,0.867203225
PTDSS1,Brain Prefrontal cortex,BP,Wald ratio,1,1.053,3.23E-04,NA,NA,NA,0.748379724
TAF4,Brain Prefrontal cortex,BP,Wald ratio,1,1.032,4.16E-04,NA,NA,NA,0.714062433
GABRG3,Brain Prefrontal cortex,BP,Wald ratio,1,0.937,5.13E-04,NA,NA,NA,0.661183105
ADCY2,Brain Prefrontal cortex,BP,Wald ratio,1,0.932,5.42E-04,NA,NA,NA,0.622906487
SLC41A1,Brain Prefrontal cortex,BP,Wald ratio,1,0.964,5.77E-04,NA,NA,NA,0.636347655
PCBP3,Brain Prefrontal cortex,BP,Wald ratio,1,1.06,5.89E-04,NA,NA,NA,0.650253346
NT5DC1,Brain Prefrontal cortex,BP,Wald ratio,1,1.047,6.82E-04,NA,NA,NA,0.625006096
MYT1L,Brain Prefrontal cortex,BP,Wald ratio,1,1.071,1.05E-03,NA,NA,NA,0.477912233
GRIN2A,Brain Prefrontal cortex,BP,Wald ratio,1,0.968,1.08E-03,NA,NA,NA,0.490045635
RERG,Brain Prefrontal cortex,BP,Wald ratio,1,0.937,1.10E-03,NA,NA,NA,0.487500394
VWA5B2,Brain Prefrontal cortex,BP,Wald ratio,1,1.049,1.22E-03,NA,NA,NA,0.513860297
KLK7,Brain Prefrontal cortex,BP,Wald ratio,1,0.933,1.28E-03,NA,NA,NA,0.478333959
B3GAT1,Brain Prefrontal cortex,BP,Wald ratio,1,0.95,1.41E-03,NA,NA,NA,0.52675816
