Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SUSD4,Brain Meta Analysis,ANX,Wald ratio,1,0.729,6.64E-05,NA,NA,NA,0.96850934
NPY5R,Brain Meta Analysis,ANX,Wald ratio,1,1.478,3.48E-04,NA,NA,NA,0.888464794
NOD2,Fetal Brain,ANX,Wald ratio,1,0.044,5.27E-04,NA,NA,NA,0.829296617
LYN,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.841,6.77E-04,NA,0.238443121,NA,0.079344922
MKX,Fetal Brain,ANX,Wald ratio,1,72.182,1.07E-03,NA,NA,NA,0.791153697
ICA1,Brain Meta Analysis,ANX,Inverse variance weighted,2,1.184,1.10E-03,NA,0.64317591,NA,0.496528466
ST18,Brain Meta Analysis,ANX,Wald ratio,1,0.782,1.18E-03,NA,NA,NA,0.734468941
ST3GAL4,Brain Cortex,ANX,Inverse variance weighted,2,1.228,1.21E-03,NA,0.96115116,NA,0.066982827
ODF1,Brain Meta Analysis,ANX,Wald ratio,1,0.93,1.25E-03,NA,NA,NA,0.699616931
MGAM2,Brain Meta Analysis,ANX,Wald ratio,1,1.201,1.31E-03,NA,NA,NA,0.743065205
ALPL,Brain Meta Analysis,ANX,Wald ratio,1,0.915,1.37E-03,NA,NA,NA,0.691888585
ATP6V1G1,Fetal Brain,ANX,Wald ratio,1,10.559,1.60E-03,NA,NA,NA,0.682057097
DNAH10,Brain Meta Analysis,ANX,Wald ratio,1,1.185,1.64E-03,NA,NA,NA,0.643326018
SPG7,Fetal Brain,ANX,Wald ratio,1,8.362,1.85E-03,NA,NA,NA,0.611836223
SUPT5H,Fetal Brain,ANX,Wald ratio,1,12019.455,1.87E-03,NA,NA,NA,0.640039318
RPS16,Fetal Brain,ANX,Wald ratio,1,0.044,1.87E-03,NA,NA,NA,0.641625894
SYNM,Brain Cortex,ANX,Wald ratio,1,1.243,2.06E-03,NA,NA,NA,0.048459129
MYO1C,Fetal Brain,ANX,Wald ratio,1,0.235,2.17E-03,NA,NA,NA,0.634397089
CELF4,Brain Cortex,ANX,Wald ratio,1,0.817,2.36E-03,NA,NA,NA,0.023717894
VENTX,Brain Meta Analysis,ANX,Wald ratio,1,1.194,2.98E-03,NA,NA,NA,0.626784307
ARHGEF10L,Fetal Brain,ANX,Wald ratio,1,0.119,3.05E-03,NA,NA,NA,0.56217008
L3MBTL4,Brain Meta Analysis,ANX,Wald ratio,1,1.277,3.20E-03,NA,NA,NA,0.488478957
SH3BP1,Brain Meta Analysis,ANX,Wald ratio,1,1.327,3.25E-03,NA,NA,NA,0.606390262
GMEB2,Brain Meta Analysis,ANX,Wald ratio,1,0.76,3.37E-03,NA,NA,NA,0.509593715
LARGE2,Brain Cortex,ANX,Wald ratio,1,1.439,3.50E-03,NA,NA,NA,0.585892933
DPYSL2,Brain Meta Analysis,ANX,Wald ratio,1,0.83,3.74E-03,NA,NA,NA,0.575986345
YES1,Brain Meta Analysis,ANX,Wald ratio,1,1.168,3.75E-03,NA,NA,NA,0.450932779
RPH3AL,Brain Cortex,ANX,Wald ratio,1,1.321,3.80E-03,NA,NA,NA,0.029122171
PYGL,Brain Meta Analysis,ANX,Wald ratio,1,0.833,3.82E-03,NA,NA,NA,0.481123568
ADHFE1,Fetal Brain,ANX,Wald ratio,1,619832.538,3.87E-03,NA,NA,NA,0.549802663
PCSK6,Brain Cortex,ANX,Wald ratio,1,0.379,4.31E-03,NA,NA,NA,0.125406383
NDST1,Brain Meta Analysis,ANX,Wald ratio,1,0.922,4.47E-03,NA,NA,NA,0.451372352
GALR1,Brain Meta Analysis,ANX,Wald ratio,1,1.191,4.56E-03,NA,NA,NA,0.449681747
CXCL5,Fetal Brain,ANX,Wald ratio,1,0.107,4.76E-03,NA,NA,NA,0.48771879
ENSG00000285584,Brain Cortex,ANX,Inverse variance weighted,2,1.241,4.83E-03,NA,0.341743668,NA,0.23127731
GPRC5A,Fetal Brain,ANX,Wald ratio,1,23.716,4.84E-03,NA,NA,NA,0.423052766
ENOSF1,Fetal Brain,ANX,Wald ratio,1,0.311,5.38E-03,NA,NA,NA,0.380308912
BLTP3B,Brain Meta Analysis,ANX,Wald ratio,1,1.129,5.75E-03,NA,NA,NA,0.479645469
ARHGAP15,Brain Meta Analysis,ANX,Wald ratio,1,1.222,5.82E-03,NA,NA,NA,0.379906083
TNS3,Brain Meta Analysis,ANX,Inverse variance weighted,4,1.046,6.03E-03,0.312255681,0.307755203,0.405227975,0.020643051
HIKESHI,Brain Cortex,ANX,Wald ratio,1,0.772,6.08E-03,NA,NA,NA,0.352413422
ZBTB46,Brain Meta Analysis,ANX,Wald ratio,1,0.817,6.20E-03,NA,NA,NA,0.454840382
RGCC,Brain Meta Analysis,ANX,Wald ratio,1,0.593,6.47E-03,NA,NA,NA,0.413150444
PFKFB3,Brain Cortex,ANX,Wald ratio,1,0.74,6.92E-03,NA,NA,NA,0.024920346
PFKFB3,Brain Meta Analysis,ANX,Wald ratio,1,0.807,6.92E-03,NA,NA,NA,0.374288393
XKR4,Brain Meta Analysis,ANX,Wald ratio,1,1.065,7.13E-03,NA,NA,NA,0.315325819
CAPN2,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.777,7.16E-03,NA,0.219538493,NA,0.283031224
ANKS1A,Brain Meta Analysis,ANX,Wald ratio,1,0.936,7.21E-03,NA,NA,NA,0.32218598
SYTL2,Brain Meta Analysis,ANX,Wald ratio,1,0.861,7.43E-03,NA,NA,NA,0.324795116
MYH11,Brain Cortex,ANX,Wald ratio,1,1.356,7.48E-03,NA,NA,NA,0.015230623
ZFHX3,Brain Meta Analysis,ANX,Weighted median,3,0.933,7.56E-03,0.782816999,0.535240803,0.474483486,0.015503855
AQP11,Fetal Brain,ANX,Wald ratio,1,45517785.15,7.61E-03,NA,NA,NA,0.392351941
C1orf125,Fetal Brain,ANX,Wald ratio,1,4.648,7.78E-03,NA,NA,NA,0.406769725
CACNG2,Brain Meta Analysis,ANX,Wald ratio,1,1.306,8.12E-03,NA,NA,NA,0.324673358
MYL12B,Fetal Brain,ANX,Wald ratio,1,294567.462,8.16E-03,NA,NA,NA,0.309976761
WDR95P,Brain Cortex,ANX,Wald ratio,1,1.362,8.66E-03,NA,NA,NA,0.372741786
DTX4,Brain Cortex,ANX,Wald ratio,1,0.836,8.69E-03,NA,NA,NA,0.366793134
FSIP1,Brain Meta Analysis,ANX,Wald ratio,1,0.846,8.74E-03,NA,NA,NA,0.276090387
RNF220,Brain Meta Analysis,ANX,Wald ratio,1,1.217,8.77E-03,NA,NA,NA,0.326189437
PLCG2,Brain Meta Analysis,ANX,Inverse variance weighted,2,0.887,8.83E-03,NA,0.359815219,NA,0.360265338
COX10,Brain Cortex,ANX,Wald ratio,1,1.445,9.18E-03,NA,NA,NA,0.330547939
KTN1,Brain Meta Analysis,ANX,Wald ratio,1,1.188,9.30E-03,NA,NA,NA,0.344308781
CTR9,Fetal Brain,ANX,Wald ratio,1,52.71,9.57E-03,NA,NA,NA,0.278197455
SGIP1,Brain Meta Analysis,ANX,Wald ratio,1,1.32,9.72E-03,NA,NA,NA,0.2919361
HOOK1,Fetal Brain,ANX,Inverse variance weighted,2,994.615,9.81E-03,NA,0.751212398,NA,0.019508934
ATOH7,Brain Meta Analysis,ANX,Wald ratio,1,1.079,9.97E-03,NA,NA,NA,0.295992969
DHX37,Brain Cortex,ANX,Wald ratio,1,1.112,1.01E-02,NA,NA,NA,0.018789924
SYNE3,Brain Cortex,ANX,Wald ratio,1,0.813,1.03E-02,NA,NA,NA,0.301645235
TIAM1,Brain Meta Analysis,ANX,Wald ratio,1,1.059,1.04E-02,NA,NA,NA,0.252887848
HOXC10,Brain Cortex,ANX,Wald ratio,1,1.338,1.05E-02,NA,NA,NA,0.28993188
LINS1,Brain Meta Analysis,ANX,Wald ratio,1,0.795,1.07E-02,NA,NA,NA,0.274852118
PTPRN2,Brain Meta Analysis,ANX,Inverse variance weighted,11,0.934,1.08E-02,0.933069194,0.314886491,0.020220852,0.015606338
CAPN2,Fetal Brain,ANX,Wald ratio,1,0.011,1.10E-02,NA,NA,NA,0.273041563
PTHLH,Brain Meta Analysis,ANX,Wald ratio,1,0.759,1.11E-02,NA,NA,NA,0.301829128
YAF2,Fetal Brain,ANX,Inverse variance weighted,2,1.951,1.11E-02,NA,0.44856071,NA,0.033793536
CFAP299,Brain Meta Analysis,ANX,Wald ratio,1,1.068,1.16E-02,NA,NA,NA,0.249551266
TSBP1,Brain Meta Analysis,ANX,Wald ratio,1,0.88,1.18E-02,NA,NA,NA,0.348969875
FAM171B,Brain Meta Analysis,ANX,Wald ratio,1,0.941,1.23E-02,NA,NA,NA,0.249091609
TMBIM6,Fetal Brain,ANX,Wald ratio,1,36.525,1.24E-02,NA,NA,NA,0.3023627
SMG9,Brain Meta Analysis,ANX,Wald ratio,1,0.937,1.25E-02,NA,NA,NA,0.23079995
CCDC92,Brain Cortex,ANX,Wald ratio,1,0.871,1.26E-02,NA,NA,NA,0.226227815
DCLK2,Brain Meta Analysis,ANX,Wald ratio,1,1.284,1.26E-02,NA,NA,NA,0.250599093
ZSWIM4,Brain Meta Analysis,ANX,Wald ratio,1,1.21,1.28E-02,NA,NA,NA,0.267347386
ESPL1,Fetal Brain,ANX,Wald ratio,1,0.292,1.28E-02,NA,NA,NA,0.222262894
RAMP3,Brain Meta Analysis,ANX,Wald ratio,1,0.845,1.30E-02,NA,NA,NA,0.319625673
GJB5,Fetal Brain,ANX,Wald ratio,1,6.183,1.33E-02,NA,NA,NA,0.311854798
SYTL2,Fetal Brain,ANX,Wald ratio,1,10.122,1.34E-02,NA,NA,NA,0.232081672
PRKG1,Brain Meta Analysis,ANX,Weighted median,3,1.053,1.36E-02,0.058455805,0.143376392,0.819529046,0.10547813
FARP1,Brain Cortex,ANX,Wald ratio,1,0.881,1.37E-02,NA,NA,NA,0.023002385
GJB4,Brain Meta Analysis,ANX,Wald ratio,1,1.202,1.37E-02,NA,NA,NA,0.30762795
SNX20,Brain Meta Analysis,ANX,Wald ratio,1,0.843,1.38E-02,NA,NA,NA,0.229882441
DAXX,Fetal Brain,ANX,Wald ratio,1,6269.167,1.38E-02,NA,NA,NA,0.330233908
