Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
TMEM167A,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.094,2.00E-03,NA,NA,NA,0.589765522
TMEM167A,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.083,2.00E-03,NA,NA,NA,0.589765522
TMEM167A,Brain Spinal cord cervical,ANX,Wald ratio,1,1.089,2.00E-03,NA,NA,NA,0.589765503
DCAF13,Brain Substantia nigra,ANX,Wald ratio,1,0.78,2.00E-03,NA,NA,NA,0.002209174
GLO1,Brain Cortex,ANX,Wald ratio,1,6.32,2.03E-03,NA,NA,NA,0.031206928
ZNF781,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.803,2.05E-03,NA,NA,NA,0.004263759
FO393400.1,Brain Cortex,ANX,Wald ratio,1,2.765,2.15E-03,NA,NA,NA,0.581892114
AC079154.1,Brain Cortex,ANX,Inverse variance weighted,2,1.224,2.27E-03,NA,0.803549681,NA,0.055987808
BARD1,Brain Cortex,ANX,Wald ratio,1,2.907,2.36E-03,NA,NA,NA,0.555672676
SLC22A15,Brain Cortex,ANX,Wald ratio,1,1.817,2.40E-03,NA,NA,NA,0.576098982
INVS,Brain Cortex,ANX,Wald ratio,1,0.504,2.41E-03,NA,NA,NA,0.54682532
MFN2,Brain Cortex,ANX,Inverse variance weighted,2,0.875,2.49E-03,NA,0.893508996,NA,0.032964555
METTL22,Brain Hypothalamus,ANX,Wald ratio,1,1.115,2.51E-03,NA,NA,NA,0.494763326
DDHD1,Brain Hippocampus,ANX,Wald ratio,1,0.833,2.57E-03,NA,NA,NA,0.341333309
PXMP2,Brain Cortex,ANX,Wald ratio,1,9.407,2.74E-03,NA,NA,NA,0.084103099
CEACAM19,Brain Hippocampus,ANX,Wald ratio,1,0.856,2.88E-03,NA,NA,NA,0.327976559
SPATA7,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.873,2.88E-03,NA,NA,NA,0.275527318
THSD4,Brain Substantia nigra,ANX,Wald ratio,1,1.818,2.91E-03,NA,NA,NA,8.85E-05
P2RX4,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.877,2.98E-03,NA,NA,NA,0.176143806
