Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CCDC174,Brain Hippocampus,ANX,Wald ratio,1,0.793,2.09E-05,NA,NA,NA,0.991178061
CCDC174,Brain Hypothalamus,ANX,Wald ratio,1,0.813,2.09E-05,NA,NA,NA,0.991178061
C3orf20,Brain Hypothalamus,ANX,Wald ratio,1,1.266,2.09E-05,NA,NA,NA,0.990762548
CCDC174,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.797,2.09E-05,NA,NA,NA,0.991178061
CCDC174,Brain Spinal cord cervical,ANX,Wald ratio,1,0.769,2.09E-05,NA,NA,NA,0.990678928
SLC22A23,Brain Cortex SMR,ANX,Inverse variance weighted,2,0.686,1.23E-04,NA,0.804793141,NA,0.077588289
ICA1-AS1,Brain Anterior cingulate cortex,ANX,Wald ratio,1,1.253,1.62E-04,NA,NA,NA,0.831840884
ICA1-AS1,Brain Cortex,ANX,Wald ratio,1,1.223,1.62E-04,NA,NA,NA,0.934736846
ZNF709,Brain Cortex SMR,ANX,Wald ratio,1,1.302,2.34E-04,NA,NA,NA,0.92964772
ZNF443,Brain Cortex SMR,ANX,Wald ratio,1,0.497,2.34E-04,NA,NA,NA,0.92874437
ZNF709,Brain Hippocampus,ANX,Wald ratio,1,0.695,2.34E-04,NA,NA,NA,0.562501495
ZNF709,Brain Hypothalamus,ANX,Wald ratio,1,0.623,2.34E-04,NA,NA,NA,0.83087424
RMI2,Brain Spinal cord cervical,ANX,Wald ratio,1,0.851,2.65E-04,NA,NA,NA,0.908502537
RMI2,Brain Substantia nigra,ANX,Wald ratio,1,0.858,2.81E-04,NA,NA,NA,0.90427041
ABHD6,Brain Putamen basal ganglia,ANX,Wald ratio,1,4.414,3.17E-04,NA,NA,NA,0.033765253
TMEM132E,Brain Cortex,ANX,Wald ratio,1,1.31,3.55E-04,NA,NA,NA,0.878312992
ZFP1,Brain Cortex SMR,ANX,Wald ratio,1,0.319,4.09E-04,NA,NA,NA,0.024662057
SRP72,Meta 10 Brain Regions,ANX,Wald ratio,1,0.812,4.97E-04,NA,NA,NA,0.874101963
SOCS5,Brain Frontal Cortex,ANX,Wald ratio,1,0.58,5.02E-04,NA,NA,NA,0.714803881
HLCS-AS1,Brain Substantia nigra,ANX,Wald ratio,1,1.126,5.26E-04,NA,NA,NA,0.838338827
LRP8,Brain Prefrontal Cortex PsychENCODE,ANX,Wald ratio,1,0.451,5.52E-04,NA,NA,NA,0.832790967
BARD1,Brain Cerebellum,ANX,Inverse variance weighted,2,1.267,5.55E-04,NA,0.47910057,NA,0.003468054
RMI2,Brain Hippocampus,ANX,Wald ratio,1,0.87,6.02E-04,NA,NA,NA,0.822244445
CCND2,Brain Cortex SMR,ANX,Wald ratio,1,1.333,6.23E-04,NA,NA,NA,0.821743097
BARD1,Brain Frontal Cortex,ANX,Wald ratio,1,1.244,6.63E-04,NA,NA,NA,0.79945999
BARD1,Brain Hypothalamus,ANX,Wald ratio,1,1.356,6.63E-04,NA,NA,NA,0.726865402
BARD1,Meta 10 Brain Regions,ANX,Wald ratio,1,0.797,6.63E-04,NA,NA,NA,0.790549547
RBM19,Brain Cortex SMR,ANX,Inverse variance weighted,2,1.362,7.92E-04,NA,0.739870701,NA,0.348958684
FANCA,Brain Cerebellum,ANX,Wald ratio,1,0.676,8.14E-04,NA,NA,NA,0.298494739
None,Brain Cerebellum,ANX,Wald ratio,1,0.912,8.14E-04,NA,NA,NA,0.768300982
CERS3,Brain Cerebellar Hemisphere,ANX,Wald ratio,1,0.877,8.22E-04,NA,NA,NA,0.770643038
TRIM51DP,Brain Caudate basal ganglia,ANX,Wald ratio,1,1.132,8.58E-04,NA,NA,NA,0.782072886
GRM5P1,Brain Caudate basal ganglia,ANX,Wald ratio,1,1.308,8.58E-04,NA,NA,NA,0.782072867
CCDC174,Brain Amygdala,ANX,Wald ratio,1,0.88,8.99E-04,NA,NA,NA,0.755937277
CCDC174,Brain Frontal Cortex,ANX,Wald ratio,1,0.897,8.99E-04,NA,NA,NA,0.755937367
CCDC174,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.897,8.99E-04,NA,NA,NA,0.755937367
CCDC174,Brain Substantia nigra,ANX,Wald ratio,1,0.871,8.99E-04,NA,NA,NA,0.755474281
INSYN1,Brain Cortex SMR,ANX,Wald ratio,1,0.651,9.01E-04,NA,NA,NA,0.813637098
INSYN1-AS1,Brain Cortex SMR,ANX,Wald ratio,1,1.385,9.01E-04,NA,NA,NA,0.813808076
CCDC174,Brain Cerebellar Hemisphere,ANX,Wald ratio,1,0.872,9.38E-04,NA,NA,NA,0.749323558
C3orf20,Brain Cerebellar Hemisphere,ANX,Wald ratio,1,1.146,9.38E-04,NA,NA,NA,0.747114113
CCDC174,Brain Cerebellum,ANX,Wald ratio,1,0.858,9.38E-04,NA,NA,NA,0.749323558
C3orf20,Brain Cerebellum,ANX,Wald ratio,1,1.164,9.38E-04,NA,NA,NA,0.748856873
CCDC174,Meta 10 Brain Regions,ANX,Wald ratio,1,1.116,9.38E-04,NA,NA,NA,0.749323558
MYSM1,Brain Cerebellum,ANX,Wald ratio,1,0.69,9.60E-04,NA,NA,NA,0.780987227
CCDC122,Brain Cerebellar Hemisphere,ANX,Wald ratio,1,1.18,1.05E-03,NA,NA,NA,0.743729315
CDKN2A,Brain Cortex SMR,ANX,Wald ratio,1,0.585,1.05E-03,NA,NA,NA,0.778082999
CD300A,Brain Hypothalamus,ANX,Wald ratio,1,0.62,1.06E-03,NA,NA,NA,0.698964102
CCDC174,Brain Anterior cingulate cortex,ANX,Wald ratio,1,0.882,1.10E-03,NA,NA,NA,0.720503468
SUPT20H,Brain Caudate basal ganglia,ANX,Wald ratio,1,1.485,1.10E-03,NA,NA,NA,0.70517336
CCDC174,Brain Cortex,ANX,Wald ratio,1,0.899,1.10E-03,NA,NA,NA,0.720503468
CD300A,Brain Caudate basal ganglia,ANX,Wald ratio,1,0.65,1.11E-03,NA,NA,NA,0.690392174
ZIC4,Brain Cortex SMR,ANX,Inverse variance weighted,2,0.822,1.12E-03,NA,0.449579428,NA,0.144739434
GRM5P1,Brain Hypothalamus,ANX,Wald ratio,1,0.762,1.18E-03,NA,NA,NA,0.050449586
AC072062.1,Brain Cortex SMR,ANX,Inverse variance weighted,2,0.876,1.22E-03,NA,0.870081023,NA,0.038276368
FDX1,Brain Spinal cord cervical,ANX,Wald ratio,1,1.31,1.22E-03,NA,NA,NA,0.12758854
METTL22,Brain Cortex,ANX,Wald ratio,1,1.194,1.27E-03,NA,NA,NA,0.750724604
METTL22,Brain Caudate basal ganglia,ANX,Wald ratio,1,1.245,1.32E-03,NA,NA,NA,0.601669462
METTL22,Brain Hippocampus,ANX,Wald ratio,1,1.217,1.32E-03,NA,NA,NA,0.742344098
POMGNT2,Brain Anterior cingulate cortex,ANX,Wald ratio,1,0.674,1.33E-03,NA,NA,NA,0.386165983
CD300A,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.581,1.34E-03,NA,NA,NA,0.332266601
NOD2,Brain Prefrontal Cortex PsychENCODE,ANX,Wald ratio,1,2.265,1.34E-03,NA,NA,NA,0.042713192
RGS12,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.458,1.34E-03,NA,NA,NA,0.421335197
WDR41,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.232,1.35E-03,NA,NA,NA,0.73373772
LINC00909,Brain Cortex SMR,ANX,Inverse variance weighted,2,1.183,1.39E-03,NA,0.603599624,NA,0.037717243
LY6G5B,Brain Cerebellum,ANX,Wald ratio,1,1.582,1.40E-03,NA,NA,NA,0.755286024
