Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RNF123,Inhibitory neurons,ED,Wald ratio,1,0.465,3.41E-13,NA,NA,NA,0.089653044
UBA7,Astrocytes,ED,Wald ratio,1,0.671,4.27E-13,NA,NA,NA,0.466618484
TUSC2,Excitatory neurons,ED,Wald ratio,1,0.237,4.84E-13,NA,NA,NA,0.098954611
CISH,Pericytes,ED,Wald ratio,1,0.742,4.84E-13,NA,NA,NA,0.090194268
QRICH1,FPP_D30,ED,Wald ratio,1,1.358,6.65E-13,NA,NA,NA,0.99766664
KLHDC8B,P_FPP_D11,ED,Wald ratio,1,0.615,6.65E-13,NA,NA,NA,0.999960993
DALRD3,FPP_D11,ED,Wald ratio,1,0.695,7.18E-13,NA,NA,NA,0.925221889
IP6K1,OPCs / COPs,ED,Wald ratio,1,0.69,7.95E-13,NA,NA,NA,0.105688316
FBXW12,Astrocytes,ED,Wald ratio,1,0.676,3.19E-12,NA,NA,NA,0.089740869
QRICH1,P_FPP_D11,ED,Wald ratio,1,1.428,3.98E-12,NA,NA,NA,0.999953911
FBXW12,OPCs / COPs,ED,Wald ratio,1,0.638,4.16E-12,NA,NA,NA,0.090898984
WDR6,Inhibitory neurons,ED,Wald ratio,1,0.611,4.37E-12,NA,NA,NA,0.115079016
IP6K2,Oligodendrocytes,ED,Wald ratio,1,1.884,4.52E-12,NA,NA,NA,0.088109865
UQCRC1,FPP_D11,ED,Wald ratio,1,0.582,5.15E-11,NA,NA,NA,0.984016627
QRICH1,Excitatory neurons,ED,Wald ratio,1,0.443,9.55E-11,NA,NA,NA,0.088865962
ATRIP,Endothelial cells,ED,Wald ratio,1,0.544,3.29E-10,NA,NA,NA,0.090512583
C3orf18,Astrocytes,ED,Wald ratio,1,1.488,7.57E-10,NA,NA,NA,0.118701136
RHOA,Endothelial cells,ED,Wald ratio,1,0.616,1.56E-09,NA,NA,NA,0.089171871
NME6,Endothelial cells,ED,Wald ratio,1,0.657,4.50E-09,NA,NA,NA,0.089800029
RBM5,Microglia,ED,Wald ratio,1,0.692,4.50E-09,NA,NA,NA,0.088385067
USP19,Oligodendrocytes,ED,Wald ratio,1,1.383,1.99E-08,NA,NA,NA,0.134317158
WDR6,Astro_D52,ED,Wald ratio,1,1.195,4.28E-08,NA,NA,NA,0.999921086
SLC26A6,Microglia,ED,Wald ratio,1,0.649,4.91E-08,NA,NA,NA,0.086705118
P4HTM,FPP_D11,ED,Wald ratio,1,0.765,5.24E-08,NA,NA,NA,0.999820552
CCDC51,Inhibitory neurons,ED,Wald ratio,1,1.508,7.05E-08,NA,NA,NA,0.085184987
DALRD3,P_FPP_D11,ED,Wald ratio,1,0.75,7.05E-08,NA,NA,NA,0.955215392
WDR6,Excitatory neurons,ED,Wald ratio,1,0.695,8.78E-08,NA,NA,NA,0.9404049
ARIH2,Oligodendrocytes,ED,Wald ratio,1,1.384,1.41E-07,NA,NA,NA,0.08664441
HYAL2,Astrocytes,ED,Wald ratio,1,0.608,1.57E-07,NA,NA,NA,0.079367115
MGMT,Excitatory neurons,ED,Wald ratio,1,1.205,2.99E-07,NA,NA,NA,0.998900519
