Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SGIP1,Stem-cell-iPSC,ED,Wald ratio,1,0.815,1.42E-02,NA,NA,NA,0.118227401
GNG12-AS1,Stem-cell-iPSC,ED,Wald ratio,1,0.884,1.74E-02,NA,NA,NA,0.111136453
H6PD,Stem-cell-iPSC,ED,Wald ratio,1,0.831,1.98E-02,NA,NA,NA,0.027551798
MFSD14A,Stem-cell-iPSC,ED,Wald ratio,1,1.166,2.92E-02,NA,NA,NA,0.000233193
C1orf52,Stem-cell-iPSC,ED,Wald ratio,1,0.956,4.63E-02,NA,NA,NA,3.72E-05
VAV3,Stem-cell-iPSC,ED,Wald ratio,1,0.956,5.29E-02,NA,NA,NA,0.042596875
CAMTA1,Stem-cell-iPSC,ED,Wald ratio,1,1.056,1.20E-01,NA,NA,NA,5.21E-05
COL24A1,Stem-cell-iPSC,ED,Wald ratio,1,0.833,1.31E-01,NA,NA,NA,0.030399151
FAM212B,Stem-cell-iPSC,ED,Wald ratio,1,0.913,1.46E-01,NA,NA,NA,0.001613797
KCNA10,Stem-cell-iPSC,ED,Wald ratio,1,0.922,1.53E-01,NA,NA,NA,0.010179534
CD101,Stem-cell-iPSC,ED,Wald ratio,1,1.08,1.68E-01,NA,NA,NA,0.000558347
ETV3,Stem-cell-iPSC,ED,Wald ratio,1,1.081,1.95E-01,NA,NA,NA,0.001497875
RIIAD1,Stem-cell-iPSC,ED,Wald ratio,1,0.969,2.24E-01,NA,NA,NA,0.001477103
LINC01307,Stem-cell-iPSC,ED,Wald ratio,1,1.078,2.51E-01,NA,NA,NA,0.006726253
OLFML3,Stem-cell-iPSC,ED,Inverse variance weighted,2,1.035,2.63E-01,NA,0.848227686,NA,0.009457619
SSX2IP,Stem-cell-iPSC,ED,Wald ratio,1,0.954,2.71E-01,NA,NA,NA,0.000247788
RIMS3,Stem-cell-iPSC,ED,Wald ratio,1,0.962,2.88E-01,NA,NA,NA,1.20E-05
LMO4,Stem-cell-iPSC,ED,Wald ratio,1,1.016,3.57E-01,NA,NA,NA,0.010365882
C1orf141,Stem-cell-iPSC,ED,Wald ratio,1,1.073,3.63E-01,NA,NA,NA,0.010523676
ROR1,Stem-cell-iPSC,ED,Wald ratio,1,1.045,4.31E-01,NA,NA,NA,3.04E-05
S100A14,Stem-cell-iPSC,ED,Wald ratio,1,0.956,4.44E-01,NA,NA,NA,0.002975895
ADGRL2,Stem-cell-iPSC,ED,Wald ratio,1,0.964,4.47E-01,NA,NA,NA,0.009313248
PNRC2P1,Stem-cell-iPSC,ED,Wald ratio,1,0.976,4.86E-01,NA,NA,NA,4.80E-05
VDAC1P9,Stem-cell-iPSC,ED,Wald ratio,1,0.982,5.04E-01,NA,NA,NA,6.20E-05
C1orf109,Stem-cell-iPSC,ED,Wald ratio,1,0.973,5.11E-01,NA,NA,NA,4.36E-05
PSAT1P3,Stem-cell-iPSC,ED,Wald ratio,1,0.985,5.21E-01,NA,NA,NA,1.47E-05
ST3GAL3,Stem-cell-iPSC,ED,Wald ratio,1,0.987,5.37E-01,NA,NA,NA,3.23E-06
MEF2D,Stem-cell-iPSC,ED,Wald ratio,1,1.015,5.55E-01,NA,NA,NA,0.006160446
C1orf216,Stem-cell-iPSC,ED,Wald ratio,1,1.041,5.61E-01,NA,NA,NA,2.32E-05
CYP4X1,Stem-cell-iPSC,ED,Wald ratio,1,0.968,5.70E-01,NA,NA,NA,0.001011253
LOR,Stem-cell-iPSC,ED,Wald ratio,1,1.014,5.94E-01,NA,NA,NA,8.02E-06
S100A10,Stem-cell-iPSC,ED,Wald ratio,1,1.02,6.24E-01,NA,NA,NA,1.71E-05
PAQR6,Stem-cell-iPSC,ED,Wald ratio,1,0.984,7.37E-01,NA,NA,NA,7.61E-05
MRPL57P1,Stem-cell-iPSC,ED,Wald ratio,1,0.943,7.49E-01,NA,NA,NA,0.013177116
NFIA,Stem-cell-iPSC,ED,Wald ratio,1,0.984,7.67E-01,NA,NA,NA,0.000637292
TSPAN2,Stem-cell-iPSC,ED,Wald ratio,1,1.007,7.90E-01,NA,NA,NA,0.000155058
WARS2,Stem-cell-iPSC,ED,Wald ratio,1,1.016,8.03E-01,NA,NA,NA,0.002235446
PRKCZ,Stem-cell-iPSC,ED,Wald ratio,1,1.014,8.08E-01,NA,NA,NA,7.25E-05
PKN2-AS1,Stem-cell-iPSC,ED,Wald ratio,1,1.009,8.19E-01,NA,NA,NA,0.000715887
MAGI3,Stem-cell-iPSC,ED,Wald ratio,1,1.004,8.55E-01,NA,NA,NA,2.59E-05
TNNI3K,Stem-cell-iPSC,ED,Wald ratio,1,0.995,9.16E-01,NA,NA,NA,5.75E-06
INADL,Stem-cell-iPSC,ED,Wald ratio,1,1.002,9.33E-01,NA,NA,NA,0.000816293
