Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
MYLK,Stem-cell-iPSC,ADHD,Wald ratio,1,1.073,9.88E-06,NA,NA,NA,0.98802887
CD40,Stem-cell-iPSC,ADHD,Wald ratio,1,1.052,5.34E-04,NA,NA,NA,0.643699522
SYDE1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.935,1.10E-03,NA,NA,NA,0.029881222
ALDH16A1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.957,1.93E-03,NA,NA,NA,0.396644036
DHX38,Stem-cell-iPSC,ADHD,Wald ratio,1,0.939,2.70E-03,NA,NA,NA,0.014236201
TRMT61B,Stem-cell-iPSC,ADHD,Wald ratio,1,1.039,2.79E-03,NA,NA,NA,0.28852693
RMDN1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.034,3.06E-03,NA,NA,NA,0.295908105
MANBA,Stem-cell-iPSC,ADHD,Wald ratio,1,1.039,5.31E-03,NA,NA,NA,0.192497146
ALPL,Stem-cell-iPSC,ADHD,Wald ratio,1,0.944,5.34E-03,NA,NA,NA,0.008702342
TARS,Stem-cell-iPSC,ADHD,Wald ratio,1,1.087,6.04E-03,NA,NA,NA,0.020434019
C14orf159,Stem-cell-iPSC,ADHD,Wald ratio,1,0.977,7.73E-03,NA,NA,NA,0.147966444
MCCC1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.944,9.29E-03,NA,NA,NA,0.010193067
PSMB7,Stem-cell-iPSC,ADHD,Wald ratio,1,0.906,1.40E-02,NA,NA,NA,0.212614407
IQCB1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.968,1.64E-02,NA,NA,NA,0.088377316
IMMT,Stem-cell-iPSC,ADHD,Wald ratio,1,0.958,1.68E-02,NA,NA,NA,0.073741678
LTA4H,Stem-cell-iPSC,ADHD,Wald ratio,1,1.103,1.83E-02,NA,NA,NA,0.022997347
MTAP,Stem-cell-iPSC,ADHD,Wald ratio,1,1.098,2.05E-02,NA,NA,NA,0.023064016
DLG1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.047,2.15E-02,NA,NA,NA,0.063088815
PLEKHA7,Stem-cell-iPSC,ADHD,Wald ratio,1,0.959,2.21E-02,NA,NA,NA,0.044759556
BRD3,Stem-cell-iPSC,ADHD,Wald ratio,1,1.047,2.44E-02,NA,NA,NA,0.007933892
KHK,Stem-cell-iPSC,ADHD,Wald ratio,1,0.964,2.60E-02,NA,NA,NA,0.039094672
SLC25A1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.084,3.69E-02,NA,NA,NA,0.00306543
DCP1B,Stem-cell-iPSC,ADHD,Wald ratio,1,1.042,3.80E-02,NA,NA,NA,0.008754453
CHMP2B,Stem-cell-iPSC,ADHD,Wald ratio,1,0.944,3.96E-02,NA,NA,NA,0.007841379
CHMP1A,Stem-cell-iPSC,ADHD,Wald ratio,1,0.959,4.11E-02,NA,NA,NA,0.009306011
ALDH7A1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.045,4.12E-02,NA,NA,NA,0.033167071
TMEM143,Stem-cell-iPSC,ADHD,Wald ratio,1,1.046,4.55E-02,NA,NA,NA,0.00048114
MON2,Stem-cell-iPSC,ADHD,Wald ratio,1,1.042,4.55E-02,NA,NA,NA,0.032200085
MLH1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.95,4.66E-02,NA,NA,NA,0.001354213
HDDC3,Stem-cell-iPSC,ADHD,Wald ratio,1,1.036,4.97E-02,NA,NA,NA,0.01783273
FAHD1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.971,5.11E-02,NA,NA,NA,0.038894194
VAMP4,Stem-cell-iPSC,ADHD,Wald ratio,1,1.035,5.30E-02,NA,NA,NA,0.002346201
SLC1A5,Stem-cell-iPSC,ADHD,Wald ratio,1,0.944,5.78E-02,NA,NA,NA,0.008145253
MDH2,Stem-cell-iPSC,ADHD,Wald ratio,1,0.977,5.84E-02,NA,NA,NA,0.02948727
PROSC,Stem-cell-iPSC,ADHD,Wald ratio,1,0.931,5.95E-02,NA,NA,NA,0.005166442
MRI1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.031,6.11E-02,NA,NA,NA,0.030574229
METTL18,Stem-cell-iPSC,ADHD,Wald ratio,1,1.027,6.12E-02,NA,NA,NA,0.038717583
MZT2A,Stem-cell-iPSC,ADHD,Wald ratio,1,0.963,6.13E-02,NA,NA,NA,0.002906846
ADA,Stem-cell-iPSC,ADHD,Wald ratio,1,0.958,6.52E-02,NA,NA,NA,0.024981984
HIBCH,Stem-cell-iPSC,ADHD,Wald ratio,1,0.971,6.54E-02,NA,NA,NA,0.025133878
AP5M1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.041,7.16E-02,NA,NA,NA,0.002111615
TBCD,Stem-cell-iPSC,ADHD,Wald ratio,1,1.048,7.39E-02,NA,NA,NA,0.032785354
GSTZ1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.015,7.54E-02,NA,NA,NA,0.023374036
ACP6,Stem-cell-iPSC,ADHD,Wald ratio,1,0.965,7.73E-02,NA,NA,NA,0.002275605
VWA5A,Stem-cell-iPSC,ADHD,Wald ratio,1,1.035,7.92E-02,NA,NA,NA,0.02191878
WNK2,Stem-cell-iPSC,ADHD,Wald ratio,1,0.957,7.95E-02,NA,NA,NA,0.031040091
KDR,Stem-cell-iPSC,ADHD,Wald ratio,1,1.041,8.10E-02,NA,NA,NA,0.001710546
TTF2,Stem-cell-iPSC,ADHD,Wald ratio,1,0.972,8.25E-02,NA,NA,NA,0.019605435
MCAT,Stem-cell-iPSC,ADHD,Wald ratio,1,1.03,8.32E-02,NA,NA,NA,0.022006402
OXNAD1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.967,8.65E-02,NA,NA,NA,0.007348521
PEPD,Stem-cell-iPSC,ADHD,Wald ratio,1,1.046,8.67E-02,NA,NA,NA,0.020098556
TXN,Stem-cell-iPSC,ADHD,Wald ratio,1,0.962,8.70E-02,NA,NA,NA,0.027372275
LRPPRC,Stem-cell-iPSC,ADHD,Wald ratio,1,0.979,9.08E-02,NA,NA,NA,0.019177409
NUP50,Stem-cell-iPSC,ADHD,Wald ratio,1,0.964,9.97E-02,NA,NA,NA,0.006604798
UMPS,Stem-cell-iPSC,ADHD,Wald ratio,1,1.06,1.02E-01,NA,NA,NA,0.005012985
ATIC,Stem-cell-iPSC,ADHD,Wald ratio,1,0.978,1.08E-01,NA,NA,NA,0.018166413
TBCE,Stem-cell-iPSC,ADHD,Wald ratio,1,1.047,1.09E-01,NA,NA,NA,0.016925305
EPHX2,Stem-cell-iPSC,ADHD,Wald ratio,1,1.022,1.15E-01,NA,NA,NA,0.021878232
RAB5A,Stem-cell-iPSC,ADHD,Wald ratio,1,1.035,1.17E-01,NA,NA,NA,0.007738228
PRKAB1,Stem-cell-iPSC,ADHD,Wald ratio,1,1.052,1.19E-01,NA,NA,NA,0.000712079
GSTM4,Stem-cell-iPSC,ADHD,Wald ratio,1,0.962,1.20E-01,NA,NA,NA,0.000357108
