Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
GPER1,Pericytes,ADHD,Wald ratio,1,1.196,2.72E-06,NA,NA,NA,0.020701842
MRM2,Oligodendrocytes,ADHD,Wald ratio,1,0.709,3.11E-06,NA,NA,NA,0.018282178
AC024257.1,Microglia,ADHD,Wald ratio,1,0.885,3.66E-06,NA,NA,NA,0.900683262
ST3GAL3,Astrocytes,ADHD,Wald ratio,1,0.771,4.18E-06,NA,NA,NA,0.014785325
MPHOSPH9,DA_D30,ADHD,Wald ratio,1,1.07,4.19E-06,NA,NA,NA,0.995396264
ICA1L,Astrocytes,ADHD,Wald ratio,1,1.176,4.31E-06,NA,NA,NA,0.046859417
ZMYND10,Astrocytes,ADHD,Wald ratio,1,0.741,4.40E-06,NA,NA,NA,0.013354273
ATG14,Endothelial cells,ADHD,Wald ratio,1,0.862,4.56E-06,NA,NA,NA,0.01603758
SEMA3F,Inhibitory neurons,ADHD,Wald ratio,1,1.22,5.21E-06,NA,NA,NA,0.015461193
DDX49,Astrocytes,ADHD,Wald ratio,1,0.797,5.45E-06,NA,NA,NA,0.012094475
KIZ,Astrocytes,ADHD,Wald ratio,1,1.221,5.64E-06,NA,NA,NA,0.013465165
STX17,Astrocytes,ADHD,Wald ratio,1,0.82,5.94E-06,NA,NA,NA,0.017819746
TSC22D2,OPCs / COPs,ADHD,Wald ratio,1,0.863,6.12E-06,NA,NA,NA,0.012637506
TMEM125,Oligodendrocytes,ADHD,Wald ratio,1,1.368,6.48E-06,NA,NA,NA,0.350718577
KCNV2,Oligodendrocytes,ADHD,Wald ratio,1,1.349,6.49E-06,NA,NA,NA,0.011556942
HYI,Oligodendrocytes,ADHD,Wald ratio,1,1.171,6.97E-06,NA,NA,NA,0.052874002
SPINK8,Oligodendrocytes,ADHD,Wald ratio,1,1.218,6.98E-06,NA,NA,NA,0.021164189
