Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SMARCA2,Stem-cell-iPSC,ADHD,Wald ratio,1,1.209,7.22E-08,NA,NA,NA,0.924579999
LRRC27,Stem-cell-iPSC,ADHD,Wald ratio,1,0.887,3.80E-06,NA,NA,NA,0.95732178
LINC01088,Stem-cell-iPSC,ADHD,Wald ratio,1,1.053,5.14E-06,NA,NA,NA,0.645913719
PITPNM2,Stem-cell-iPSC,ADHD,Wald ratio,1,0.925,1.19E-05,NA,NA,NA,0.028116258
CDH8,Stem-cell-iPSC,ADHD,Wald ratio,1,1.093,6.51E-05,NA,NA,NA,0.013444061
RPL5P28,Stem-cell-iPSC,ADHD,Wald ratio,1,0.847,6.56E-05,NA,NA,NA,0.942927538
TOX3,Stem-cell-iPSC,ADHD,Wald ratio,1,0.942,1.12E-04,NA,NA,NA,0.002269333
IGF1R,Stem-cell-iPSC,ADHD,Wald ratio,1,0.946,1.22E-04,NA,NA,NA,0.05271347
PRICKLE2,Stem-cell-iPSC,ADHD,Wald ratio,1,0.935,1.66E-04,NA,NA,NA,0.040516392
DPP10,Stem-cell-iPSC,ADHD,Wald ratio,1,1.196,2.05E-04,NA,NA,NA,0.818684349
ARHGEF7,Stem-cell-iPSC,ADHD,Wald ratio,1,1.128,2.11E-04,NA,NA,NA,0.813575342
PRKCA,Stem-cell-iPSC,ADHD,Wald ratio,1,0.95,2.11E-04,NA,NA,NA,0.17613012
PARN,Stem-cell-iPSC,ADHD,Wald ratio,1,1.102,2.42E-04,NA,NA,NA,0.002767624
RNF123,Stem-cell-iPSC,ADHD,Wald ratio,1,1.083,2.71E-04,NA,NA,NA,0.001350589
CNN3,Stem-cell-iPSC,ADHD,Wald ratio,1,0.953,4.47E-04,NA,NA,NA,0.69113454
ASPM,Stem-cell-iPSC,ADHD,Wald ratio,1,0.949,4.47E-04,NA,NA,NA,0.009114435
TBX20,Stem-cell-iPSC,ADHD,Wald ratio,1,0.872,8.79E-04,NA,NA,NA,0.423044105
COL11A1,Stem-cell-iPSC,ADHD,Wald ratio,1,0.951,9.52E-04,NA,NA,NA,0.000832552
HSF2BP,Stem-cell-iPSC,ADHD,Wald ratio,1,0.958,1.14E-03,NA,NA,NA,0.000375038
