Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
LSM6,Lymphocyte,ADHD,Wald ratio,1,0.944,2.14E-08,NA,NA,NA,0.999967713
FOXP2,Lymphocyte,ADHD,Wald ratio,1,0.954,1.04E-06,NA,NA,NA,0.998572177
PLK1S1,Lymphocyte,ADHD,Wald ratio,1,0.885,2.63E-06,NA,NA,NA,0.996558505
CEND1,Lymphocyte,ADHD,Wald ratio,1,0.953,3.21E-06,NA,NA,NA,0.99583685
LRDD,Lymphocyte,ADHD,Wald ratio,1,0.931,3.21E-06,NA,NA,NA,0.99583685
ERBB3,Lymphocyte,ADHD,Wald ratio,1,1.166,6.80E-06,NA,NA,NA,0.991829349
AGXT2L1,Lymphocyte,ADHD,Wald ratio,1,0.913,2.22E-05,NA,NA,NA,0.98188705
LOC400931,Lymphocyte,ADHD,Wald ratio,1,1.044,3.74E-05,NA,NA,NA,0.956978122
C22orf26,Lymphocyte,ADHD,Wald ratio,1,1.385,3.74E-05,NA,NA,NA,0.959236728
LOC150381,Lymphocyte,ADHD,Wald ratio,1,1.067,3.74E-05,NA,NA,NA,0.959236728
KIAA0892,Lymphocyte,ADHD,Wald ratio,1,0.027,4.08E-05,NA,NA,NA,0.955507082
HAPLN4,Lymphocyte,ADHD,Wald ratio,1,0.63,4.08E-05,NA,NA,NA,0.955507082
ABCB9,Lymphocyte,ADHD,Wald ratio,1,1.232,4.19E-05,NA,NA,NA,0.956891136
ARL6IP4,Lymphocyte,ADHD,Wald ratio,1,2.287,4.19E-05,NA,NA,NA,0.956891136
ZAK,Lymphocyte,ADHD,Wald ratio,1,0.912,5.80E-05,NA,NA,NA,0.93730776
CUX1,Lymphocyte,ADHD,Wald ratio,1,0.952,6.81E-05,NA,NA,NA,0.939152054
RAPGEF4,Lymphocyte,ADHD,Wald ratio,1,1.041,7.52E-05,NA,NA,NA,0.923353789
LMO3,Lymphocyte,ADHD,Wald ratio,1,1.091,9.98E-05,NA,NA,NA,0.912339039
JOSD1,Lymphocyte,ADHD,Wald ratio,1,0.96,1.14E-04,NA,NA,NA,0.892518053
CDC25B,Lymphocyte,ADHD,Wald ratio,1,1.084,1.40E-04,NA,NA,NA,0.867203224
SPEF1,Lymphocyte,ADHD,Wald ratio,1,1.217,1.40E-04,NA,NA,NA,0.867179075
GPC1,Lymphocyte,ADHD,Wald ratio,1,1.059,1.69E-04,NA,NA,NA,0.886938629
NFKB1,Lymphocyte,ADHD,Wald ratio,1,0.964,2.01E-04,NA,NA,NA,0.819291073
