Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PP16A,ROSMAP,ASD,Wald ratio,1,3.346,3.01E-03,NA,NA,NA,0.018419325
KIFC2,ROSMAP,ASD,Wald ratio,1,0.012,3.01E-03,NA,NA,NA,2.63E-06
CH082,ROSMAP,ASD,Wald ratio,1,0.004,3.01E-03,NA,NA,NA,1.95E-06
RHG39,ROSMAP,ASD,Wald ratio,1,0,3.01E-03,NA,NA,NA,4.28E-06
RALA,BannerBBDP,ASD,Inverse variance weighted,2,6.392,3.13E-03,NA,0.438851302,NA,1.23E-05
RINT1,BannerBBDP,ASD,Inverse variance weighted,3,0.253,3.19E-03,0.807450089,0.513984836,0.461835009,8.02E-08
UBP10,BannerBBDP,ASD,Inverse variance weighted,7,200.504,3.22E-03,0.868747233,0.881795436,0.501942416,7.40E-08
S39A6,ROSMAP,ASD,Wald ratio,1,0.004,3.29E-03,NA,NA,NA,0.000523714
RPR1A,ROSMAP,ASD,Wald ratio,1,0,3.29E-03,NA,NA,NA,1.51E-06
RN114,BannerBBDP,ASD,Inverse variance weighted,2,0.288,3.50E-03,NA,0.388193952,NA,1.65E-07
C4BPA,ROSMAP,ASD,Inverse variance weighted,3,0.177,3.59E-03,0.550284371,0.24760363,0.362813239,1.93E-07
FERM2,BannerBBDP,ASD,Inverse variance weighted,2,0,3.69E-03,NA,0.831794472,NA,1.37E-07
AUHM,BannerBBDP,ASD,Inverse variance weighted,4,2.869,3.73E-03,0.54167627,0.658552454,0.601518393,5.82E-08
CYRIB,ROSMAP,ASD,Inverse variance weighted,2,37.036,3.79E-03,NA,0.804309712,NA,4.00E-06
LAMB1,BannerBBDP,ASD,Inverse variance weighted,6,2.163,3.94E-03,0.959540312,0.979917598,0.744365072,1.78E-07
FRDA,ROSMAP,ASD,Weighted median,4,0.419,3.99E-03,0.107856615,0.216203243,0.975863775,5.90E-05
LIFR,BannerBBDP,ASD,Inverse variance weighted,4,0.366,4.11E-03,0.837251311,0.944474274,0.890907585,7.48E-07
OTU1,ROSMAP,ASD,Inverse variance weighted,3,0.239,4.20E-03,0.310260533,0.238131516,0.408836873,6.23E-07
GID8,ROSMAP,ASD,Inverse variance weighted,3,3966.526,4.23E-03,0.871923041,0.867663084,0.700846729,3.80E-08
SND1,ROSMAP,ASD,Wald ratio,1,23.648,4.40E-03,NA,NA,NA,2.77E-07
LY6H,BannerBBDP,ASD,Inverse variance weighted,3,1.711,4.44E-03,0.690883253,0.550162372,0.494225157,6.69E-06
GLRX3,ROSMAP,ASD,Inverse variance weighted,4,0.284,4.50E-03,0.694210779,0.756740255,0.569696136,9.55E-07
GNL3,ROSMAP,ASD,Wald ratio,1,34.388,4.52E-03,NA,NA,NA,1.23E-06
