Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NKX2-2,Brain Hypothalamus,ASD,Wald ratio,1,1.186,8.82E-08,NA,NA,NA,0.610574497
KIZ,Brain Cortex,ASD,Wald ratio,1,1.902,9.88E-08,NA,NA,NA,0.999899099
CRHR1,Brain Hippocampus,ASD,Wald ratio,1,0.894,2.34E-06,NA,NA,NA,0.998208206
LINC02210,Brain Hippocampus,ASD,Wald ratio,1,0.894,2.34E-06,NA,NA,NA,0.998208206
C17orf58,Brain Cortex,ASD,Wald ratio,1,2.693,3.06E-05,NA,NA,NA,0.978846098
BPTF,Brain Cortex,ASD,Wald ratio,1,2.967,3.06E-05,NA,NA,NA,0.97884274
KANSL1,Brain Nucleus accumbens basal ganglia,ASD,Wald ratio,1,1.046,4.61E-05,NA,NA,NA,0.970543535
SRPK2,Brain Spinal cord cervical,ASD,Wald ratio,1,1.077,4.72E-05,NA,NA,NA,0.237820571
CTD-2366F13.1,Brain Cortex,ASD,Wald ratio,1,0.743,5.26E-05,NA,NA,NA,0.95922176
CXXC4-AS1,Brain Cortex,ASD,Wald ratio,1,0.517,5.96E-05,NA,NA,NA,0.954651669
AC004053.1,Brain Cortex,ASD,Wald ratio,1,0.825,5.96E-05,NA,NA,NA,0.954651669
PSMC6,Brain Substantia nigra,ASD,Wald ratio,1,0.897,8.03E-05,NA,NA,NA,0.214383794
TPST2,Brain Nucleus accumbens basal ganglia,ASD,Wald ratio,1,0.889,8.30E-05,NA,NA,NA,0.381316932
FAM86B3P,Brain Putamen basal ganglia,ASD,Wald ratio,1,1.105,8.55E-05,NA,NA,NA,0.816008827
PRKACA,Brain Spinal cord cervical,ASD,Wald ratio,1,1.121,8.75E-05,NA,NA,NA,0.010120256
CHAD,Brain Putamen basal ganglia,ASD,Wald ratio,1,1.122,1.46E-04,NA,NA,NA,0.002863642
CXXC4,Brain Cortex,ASD,Wald ratio,1,2.669,1.47E-04,NA,NA,NA,0.904665982
WDPCP,Brain Hippocampus,ASD,Wald ratio,1,0.906,1.56E-04,NA,NA,NA,0.289440064
RP11-665J16.1,Brain Cortex,ASD,Inverse variance weighted,2,0.906,1.67E-04,NA,0.494882095,NA,0.103080387
BMAL1,Brain Hippocampus,ASD,Wald ratio,1,0.897,1.96E-04,NA,NA,NA,0.010564301
CD55,Brain Substantia nigra,ASD,Wald ratio,1,1.1,2.14E-04,NA,NA,NA,0.116600346
MPPE1,Brain Cortex,ASD,Inverse variance weighted,3,1.245,2.29E-04,0.707580769,0.627446296,0.537132174,0.591054925
