Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
XRN2,Brain Meta Analysis,ASD,Wald ratio,1,0.947,1.27E-06,NA,NA,NA,0.998924668
MAGI2,Brain Meta Analysis,ASD,Inverse variance weighted,5,1.048,7.00E-06,0.771009491,0.883437557,0.850293628,0.008806423
LITAFD,Brain Meta Analysis,ASD,Wald ratio,1,1.133,3.28E-05,NA,NA,NA,0.974492317
ATG10,Brain Meta Analysis,ASD,Wald ratio,1,1.046,1.54E-04,NA,NA,NA,0.908361284
PKP4,Brain Meta Analysis,ASD,Wald ratio,1,0.95,1.59E-04,NA,NA,NA,0.893444208
CDC20B,Fetal Brain,ASD,Wald ratio,1,0.209,2.22E-04,NA,NA,NA,0.870105714
LOC651250,Fetal Brain,ASD,Wald ratio,1,3.049,2.46E-04,NA,NA,NA,0.863121641
KPNA2,Brain Meta Analysis,ASD,Wald ratio,1,1.133,2.52E-04,NA,NA,NA,0.860505217
WNT5B,Brain Cortex,ASD,Wald ratio,1,1.203,2.59E-04,NA,NA,NA,0.011660233
PUM2,Brain Meta Analysis,ASD,Wald ratio,1,0.848,3.61E-04,NA,NA,NA,0.870830421
DCUN1D2,Brain Meta Analysis,ASD,Wald ratio,1,1.107,4.89E-04,NA,NA,NA,0.761630444
LOC148709,Fetal Brain,ASD,Wald ratio,1,0.019,6.99E-04,NA,NA,NA,0.681456303
HERC4,Brain Meta Analysis,ASD,Wald ratio,1,1.137,7.91E-04,NA,NA,NA,0.687573624
PPP1R12A,Fetal Brain,ASD,Wald ratio,1,0.001,8.19E-04,NA,NA,NA,0.769395545
BNC2,Fetal Brain,ASD,Wald ratio,1,0.214,9.22E-04,NA,NA,NA,0.73330929
SLC25A21,Brain Meta Analysis,ASD,Wald ratio,1,1.096,9.45E-04,NA,NA,NA,0.627287182
PHF10,Fetal Brain,ASD,Wald ratio,1,0.448,9.86E-04,NA,NA,NA,0.616630168
