Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CNTNAP2,Stem-cell-iPSC,BP,sQTL,Weighted median,148.413,8.62E-03,0.466151631,0.001960917,0.001867525,0.549206367
ERC2,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,8.84E-03,0.700062414,NA,0.493857122,NA
MAGI2,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,54.598,9.55E-03,0.513473334,0.692050725,0.694404071,0.487760113
KCNIP4,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,20.086,1.01E-02,0.75978352,0.41047834,0.341733542,0.439055796
GPC5,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.04E-02,0.326746391,NA,0.402881581,NA
LINC01090,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.05E-02,0.30091259,NA,0.340703249,NA
AUTS2,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.06E-02,0.630131954,NA,0.858528083,NA
ROBO1,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.07E-02,0.760700809,NA,0.657969132,NA
ADAM12,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.08E-02,0.662790019,NA,0.908182422,NA
ADAMTS17,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.09E-02,0.803731418,NA,0.384250179,NA
MEAF6P1,Stem-cell-iPSC,BP,sQTL,Wald ratio,2.718,1.09E-02,0.771868758,NA,NA,NA
ROBO2,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,20.086,1.10E-02,0.005359892,0.443580158,0.709541543,0.805688253
WWOX,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.10E-02,0.303107161,NA,0.425806849,NA
RNU6-1012P,Stem-cell-iPSC,BP,sQTL,Wald ratio,2.718,1.12E-02,0.620709161,NA,NA,NA
DLG2,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,54.598,1.12E-02,0.464058919,0.871663124,0.964445941,0.972931057
NME7,Stem-cell-iPSC,BP,sQTL,Wald ratio,2.718,1.13E-02,0.121738848,NA,NA,NA
ERBB4,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.13E-02,0.040808732,NA,0.670423806,NA
OSBPL10,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,20.086,1.13E-02,0.000443533,0.799781152,0.968140351,0.986830274
OSBPL1A,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.13E-02,0.067474968,NA,0.543574076,NA
GFPT2,Stem-cell-iPSC,BP,sQTL,Wald ratio,2.718,1.13E-02,0.886323955,NA,NA,NA
KCNQ3,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,20.086,1.13E-02,0.632598278,0.709582804,0.738284108,0.617991399
PTPRD,Stem-cell-iPSC,BP,sQTL,Weighted mode,54.598,1.14E-02,0.80322041,0.275924204,0.118465835,0.25115697
RPS3AP1,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.14E-02,0.0299736,NA,0.860044291,NA
RPL30P3,Stem-cell-iPSC,BP,sQTL,Wald ratio,2.718,1.14E-02,0.518442944,NA,NA,NA
CLSTN2,Stem-cell-iPSC,BP,sQTL,Inverse variance weighted,7.389,1.15E-02,0.98885867,NA,0.786588773,NA
