Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
THAP5,Epen1_D30,BP,Wald ratio,1,1.169,2.55E-05,NA,NA,NA,0.971826834
THAP5,Epen1_D52,BP,Wald ratio,1,1.112,2.55E-05,NA,NA,NA,0.971828659
SIL1,Astrocytes,BP,Wald ratio,1,1.222,2.72E-05,NA,NA,NA,0.00709056
CTNNA1,Astrocytes,BP,Wald ratio,1,1.213,2.72E-05,NA,NA,NA,0.026381574
MOCOS,Pericytes,BP,Wald ratio,1,1.146,2.78E-05,NA,NA,NA,0.003897309
ZBTB37,OPCs / COPs,BP,Wald ratio,1,0.805,2.88E-05,NA,NA,NA,0.002988033
C4orf33,Excitatory neurons,BP,Wald ratio,1,1.163,3.81E-05,NA,NA,NA,0.005741278
PLCH1,P_FPP_D11,BP,Wald ratio,1,1.172,3.83E-05,NA,NA,NA,0.921998037
VPS26C,Endothelial cells,BP,Wald ratio,1,1.089,4.21E-05,NA,NA,NA,0.002217349
ADGRB3,FPP_D11,BP,Wald ratio,1,1.113,4.43E-05,NA,NA,NA,0.939391387
RGS17,FPP_D11,BP,Wald ratio,1,0.911,4.70E-05,NA,NA,NA,0.821894992
SLC37A3,Astrocytes,BP,Wald ratio,1,1.134,5.22E-05,NA,NA,NA,0.004066778
ARHGAP29,Inhibitory neurons,BP,Wald ratio,1,0.875,5.75E-05,NA,NA,NA,0.002994429
KLHDC10,Sert_D52,BP,Wald ratio,1,1.068,5.80E-05,NA,NA,NA,0.939582021
OPRK1,Inhibitory neurons,BP,Wald ratio,1,1.177,6.14E-05,NA,NA,NA,0.002465677
ZNHIT3,P_FPP_D11,BP,Wald ratio,1,0.909,6.34E-05,NA,NA,NA,0.93281485
ZNHIT3,DA_D52_ROT,BP,Wald ratio,1,0.915,6.34E-05,NA,NA,NA,0.93281458
ZNHIT3,FPP_D11,BP,Wald ratio,1,0.91,6.34E-05,NA,NA,NA,0.93281485
BLOC1S5,FPP_D11,BP,Wald ratio,1,0.913,7.20E-05,NA,NA,NA,0.926952091
TMX1,FPP_D11,BP,Wald ratio,1,0.833,7.67E-05,NA,NA,NA,0.906172107
CDHR1,Excitatory neurons,BP,Wald ratio,1,0.942,7.82E-05,NA,NA,NA,0.92287318
CDHR1,Inhibitory neurons,BP,Wald ratio,1,0.865,7.82E-05,NA,NA,NA,0.00186945
BTN3A1,Microglia,BP,Wald ratio,1,0.881,8.39E-05,NA,NA,NA,0.002143093
AK8,Oligodendrocytes,BP,Wald ratio,1,1.188,8.75E-05,NA,NA,NA,0.001212417
SPATA6L,Astrocytes,BP,Wald ratio,1,0.928,9.13E-05,NA,NA,NA,0.914061247
PPAPDC2,Sert_D52,BP,Wald ratio,1,0.892,1.03E-04,NA,NA,NA,0.901404247
RNF10,Endothelial cells,BP,Wald ratio,1,1.137,1.13E-04,NA,NA,NA,0.002236275
NGEF,Epen1_D52_ROT,BP,Wald ratio,1,0.888,1.13E-04,NA,NA,NA,0.886736589
NGEF,Epen1_D52,BP,Wald ratio,1,0.924,1.13E-04,NA,NA,NA,0.888849137
UBE2Q2L,DA_D52,BP,Wald ratio,1,1.092,1.29E-04,NA,NA,NA,0.872582903
ATP11B,Excitatory neurons,BP,Wald ratio,1,1.191,1.32E-04,NA,NA,NA,0.002878876
MSH3,Excitatory neurons,BP,Wald ratio,1,1.101,1.50E-04,NA,NA,NA,0.864222104
MSH3,Inhibitory neurons,BP,Wald ratio,1,1.112,1.50E-04,NA,NA,NA,0.020166383
NCOA6,Oligodendrocytes,BP,Wald ratio,1,1.137,1.89E-04,NA,NA,NA,0.024083855
ALDH1A1,Astrocytes,BP,Wald ratio,1,0.827,2.06E-04,NA,NA,NA,0.00047638
EML1,FPP_D11,BP,Wald ratio,1,0.849,2.06E-04,NA,NA,NA,0.719522138
RPRM,Inhibitory neurons,BP,Wald ratio,1,1.15,2.14E-04,NA,NA,NA,0.002876381
SRGAP3,Excitatory neurons,BP,Wald ratio,1,0.74,2.14E-04,NA,NA,NA,0.000679371
KLHDC10,Excitatory neurons,BP,Wald ratio,1,1.215,2.17E-04,NA,NA,NA,0.010979587
ACSM1,Epen1_D30,BP,Wald ratio,1,1.058,2.20E-04,NA,NA,NA,0.822732416
TPO,Pericytes,BP,Wald ratio,1,0.886,2.25E-04,NA,NA,NA,0.000465258
VWA5B2,Excitatory neurons,BP,Wald ratio,1,0.821,2.34E-04,NA,NA,NA,0.061139355
PRKCB,DA_D30,BP,Wald ratio,1,1.077,2.43E-04,NA,NA,NA,0.804941345
RCOR2,Excitatory neurons,BP,Wald ratio,1,0.785,2.45E-04,NA,NA,NA,0.000475275
RCBTB1,Oligodendrocytes,BP,Wald ratio,1,0.956,2.49E-04,NA,NA,NA,0.792909522
SYNRG,FPP_D11,BP,Wald ratio,1,0.933,2.59E-04,NA,NA,NA,0.786750573
AL450423.1,Excitatory neurons,BP,Wald ratio,1,0.95,2.80E-04,NA,NA,NA,0.784749539
AC004828.1,Inhibitory neurons,BP,Wald ratio,1,1.183,2.81E-04,NA,NA,NA,0.000656206
GRID2,Inhibitory neurons,BP,Wald ratio,1,0.807,2.84E-04,NA,NA,NA,0.000912807
CNNM2,Oligodendrocytes,BP,Wald ratio,1,1.146,2.84E-04,NA,NA,NA,0.007777769
ARL3,OPCs / COPs,BP,Wald ratio,1,0.839,2.84E-04,NA,NA,NA,0.000340206
AC139768.1,Inhibitory neurons,BP,Wald ratio,1,0.88,2.93E-04,NA,NA,NA,0.003727889
AC007221.2,OPCs / COPs,BP,Wald ratio,1,1.081,2.95E-04,NA,NA,NA,0.001359967
MOB3A,Microglia,BP,Wald ratio,1,1.176,2.99E-04,NA,NA,NA,0.000373167
NEIL2,Microglia,BP,Wald ratio,1,0.869,3.08E-04,NA,NA,NA,0.000312367
C7orf26,Inhibitory neurons,BP,Wald ratio,1,1.17,3.12E-04,NA,NA,NA,0.000495145
ZSCAN2,Excitatory neurons,BP,Wald ratio,1,1.128,3.37E-04,NA,NA,NA,0.00060842
AC055713.1,Inhibitory neurons,BP,Wald ratio,1,1.098,3.51E-04,NA,NA,NA,0.001401187
SETD6,Sert_D52,BP,Wald ratio,1,0.92,3.58E-04,NA,NA,NA,0.706954444
LINC01010,Oligodendrocytes,BP,Wald ratio,1,0.864,3.60E-04,NA,NA,NA,0.000330271
RAB7B,Microglia,BP,Wald ratio,1,1.141,3.68E-04,NA,NA,NA,0.000512836
NDUFS5,Epen1_D52,BP,Wald ratio,1,1.036,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,P_FPP_D11,BP,Wald ratio,1,1.161,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,FPP_D11,BP,Wald ratio,1,1.181,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Astro_D52,BP,Wald ratio,1,1.04,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Sert_D30,BP,Wald ratio,1,1.07,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,FPP_D30,BP,Wald ratio,1,1.081,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,DA_D30,BP,Wald ratio,1,1.112,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Sert_D52,BP,Wald ratio,1,1.039,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Sert_D52_ROT,BP,Wald ratio,1,1.048,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Epen1_D30,BP,Wald ratio,1,1.077,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Epen1_D52_ROT,BP,Wald ratio,1,1.042,3.72E-04,NA,NA,NA,0.738350782
NDUFS5,Astro_D52_ROT,BP,Wald ratio,1,1.056,3.72E-04,NA,NA,NA,0.738347497
TGIF1,Endothelial cells,BP,Wald ratio,1,0.902,3.97E-04,NA,NA,NA,0.000281705
MRPS14,P_FPP_D11,BP,Wald ratio,1,1.219,4.13E-04,NA,NA,NA,0.735104613
NDUFA10,P_FPP_D11,BP,Wald ratio,1,0.872,4.16E-04,NA,NA,NA,0.717583661
NDUFA10,FPP_D11,BP,Wald ratio,1,0.89,4.16E-04,NA,NA,NA,0.717583661
NDUFA10,Epen1_D52,BP,Wald ratio,1,0.911,4.16E-04,NA,NA,NA,0.717580783
BCL2L13,Astrocytes,BP,Wald ratio,1,0.751,4.39E-04,NA,NA,NA,0.000642986
AC006305.1,OPCs / COPs,BP,Wald ratio,1,0.888,4.75E-04,NA,NA,NA,0.000230585
ZNF541,Inhibitory neurons,BP,Wald ratio,1,1.107,5.00E-04,NA,NA,NA,0.000380478
RASSF9,Endothelial cells,BP,Wald ratio,1,0.877,5.03E-04,NA,NA,NA,0.000519529
DCTN5,Astrocytes,BP,Wald ratio,1,0.831,5.04E-04,NA,NA,NA,0.000412403
TMEM179,Sert_D52_ROT,BP,Wald ratio,1,0.945,5.27E-04,NA,NA,NA,0.67302203
MTBP,Excitatory neurons,BP,Wald ratio,1,0.906,5.67E-04,NA,NA,NA,0.061624246
SERPINI1,Oligodendrocytes,BP,Wald ratio,1,0.951,5.67E-04,NA,NA,NA,0.637757518
IQCH-AS1,Sert_D52,BP,Wald ratio,1,1.112,5.70E-04,NA,NA,NA,0.670323816
